channel,dataset,n_observations,p_value,seed_a,seed_b,spearman_rho
rna_spatial_attention,placenta,1662,0.0,1,4,0.7880649630745138
rna_spatial_attention,placenta,1662,9.86e-321,2,3,0.7658988275435047
rna_spatial_attention,placenta,1662,0.0,2,4,0.7853258063071699
rna_spatial_attention,placenta,1662,0.0,3,4,0.799085643671382
rna_feature_attention,placenta,1662,0.0,0,1,0.7781406498910108
rna_feature_attention,placenta,1662,0.0,0,2,0.7805921238514856
rna_feature_attention,placenta,1662,0.0,0,3,0.7827092778682813
rna_feature_attention,placenta,1662,0.0,0,4,0.7960378903133097
rna_feature_attention,placenta,1662,0.0,1,2,0.777432788490491
rna_feature_attention,placenta,1662,0.0,1,3,0.7832689052127262
rna_feature_attention,placenta,1662,0.0,1,4,0.7880649630745138
rna_feature_attention,placenta,1662,9.86e-321,2,3,0.7658988275435047
rna_feature_attention,placenta,1662,0.0,2,4,0.7853258063071699
rna_feature_attention,placenta,1662,0.0,3,4,0.799085643671382
modality2_spatial_attention,placenta,1662,5.162375930857806e-196,0,1,0.6448447067608697
modality2_spatial_attention,placenta,1662,3.2470013683659404e-128,0,2,0.5432141165249501
modality2_spatial_attention,placenta,1662,1.4113317031406559e-109,0,3,0.5076756955472215
modality2_spatial_attention,placenta,1662,1.3766386431156882e-136,0,4,0.5578927223810557
modality2_spatial_attention,placenta,1662,6.487495296215189e-240,1,2,0.6948114355503823
modality2_spatial_attention,placenta,1662,2.3851867780449135e-199,1,3,0.6489996860841301
modality2_spatial_attention,placenta,1662,1.4567805768069675e-188,1,4,0.6353229205234502
modality2_spatial_attention,placenta,1662,9.805554008203293e-143,2,3,0.5682216164750012
modality2_spatial_attention,placenta,1662,2.5274138979825847e-127,2,4,0.5416079086478759
modality2_spatial_attention,placenta,1662,8.367179120139359e-159,3,4,0.5936025329794294
modality2_feature_attention,placenta,1662,5.158327375383886e-196,0,1,0.6448451345542956
modality2_feature_attention,placenta,1662,3.247666140897279e-128,0,2,0.5432139567223028
modality2_feature_attention,placenta,1662,1.4093281215195722e-109,0,3,0.5076769446578738
modality2_feature_attention,placenta,1662,1.3766386431156882e-136,0,4,0.5578927223810557
modality2_feature_attention,placenta,1662,6.479516340267151e-240,1,2,0.6948119870824906
modality2_feature_attention,placenta,1662,2.382018172472761e-199,1,3,0.6490003996778059
modality2_feature_attention,placenta,1662,1.455448968775159e-188,1,4,0.6353234371831263
modality2_feature_attention,placenta,1662,9.804044946900328e-143,2,3,0.5682217268229555
modality2_feature_attention,placenta,1662,2.5225628913902147e-127,2,4,0.5416094165120827
modality2_feature_attention,placenta,1662,8.343282483272019e-159,3,4,0.5936044106759777
cross_omics_rna_attention,p22,9196,0.0,0,1,0.6560724187184085
cross_omics_rna_attention,p22,9196,0.0,0,2,0.46463421635166474
cross_omics_rna_attention,p22,9196,0.0,0,3,0.6863425584001409
cross_omics_rna_attention,p22,9196,0.0,0,4,0.6316271083087861
cross_omics_rna_attention,p22,9196,0.0,1,2,0.46935252135666655
cross_omics_rna_attention,p22,9196,0.0,1,3,0.6605468810921538
cross_omics_rna_attention,p22,9196,0.0,1,4,0.6088475791497138
cross_omics_rna_attention,p22,9196,0.0,2,3,0.5052702087669027
cross_omics_rna_attention,p22,9196,0.0,2,4,0.4425220259213724
cross_omics_rna_attention,p22,9196,0.0,3,4,0.6015920035111904
cross_omics_modality2_attention,p22,9196,0.0,0,1,0.6536908810045414
cross_omics_modality2_attention,p22,9196,0.0,0,2,0.4626825776365794
cross_omics_modality2_attention,p22,9196,0.0,0,3,0.6833591306134219
cross_omics_modality2_attention,p22,9196,0.0,0,4,0.6298295311467113
cross_omics_modality2_attention,p22,9196,0.0,1,2,0.46789653693975713
cross_omics_modality2_attention,p22,9196,0.0,1,3,0.6581157548384088
cross_omics_modality2_attention,p22,9196,0.0,1,4,0.6063253367194454
cross_omics_modality2_attention,p22,9196,0.0,2,3,0.502227549626058
cross_omics_modality2_attention,p22,9196,0.0,2,4,0.4408687586173646
cross_omics_modality2_attention,p22,9196,0.0,3,4,0.5986027288325702
rna_spatial_attention,p22,9196,0.0,0,1,0.6998859204128487
rna_spatial_attention,p22,9196,0.0,0,2,0.6067095669749648
rna_spatial_attention,p22,9196,0.0,0,3,0.7057578032328116
rna_spatial_attention,p22,9196,0.0,0,4,0.6866045880743149
rna_spatial_attention,p22,9196,0.0,1,2,0.5827343138405823
rna_spatial_attention,p22,9196,0.0,1,3,0.6841000154331821
rna_spatial_attention,p22,9196,0.0,1,4,0.6408913687760824
rna_spatial_attention,p22,9196,0.0,2,3,0.5909720975231524
rna_spatial_attention,p22,9196,0.0,2,4,0.587908096905394
rna_spatial_attention,p22,9196,0.0,3,4,0.6253317146863167
rna_feature_attention,p22,9196,0.0,0,1,0.699886023231192
rna_feature_attention,p22,9196,0.0,0,2,0.6067094940531226
rna_feature_attention,p22,9196,0.0,0,3,0.7057576875120202
rna_feature_attention,p22,9196,0.0,0,4,0.6866040192145676
rna_feature_attention,p22,9196,0.0,1,2,0.5827345044446962
rna_feature_attention,p22,9196,0.0,1,3,0.6841000986255658
rna_feature_attention,p22,9196,0.0,1,4,0.6408911979749906
rna_feature_attention,p22,9196,0.0,2,3,0.5909717129373736
rna_feature_attention,p22,9196,0.0,2,4,0.5879078865182694
rna_feature_attention,p22,9196,0.0,3,4,0.6253314974457165
modality2_spatial_attention,p22,9196,0.0,0,1,0.903297230748966
modality2_spatial_attention,p22,9196,0.0,0,2,0.8752801876041125
modality2_spatial_attention,p22,9196,0.0,0,3,0.9078058288699316
modality2_spatial_attention,p22,9196,0.0,0,4,0.9072599212455863
modality2_spatial_attention,p22,9196,0.0,1,2,0.8503500600440744
modality2_spatial_attention,p22,9196,0.0,1,3,0.9136452940703148
modality2_spatial_attention,p22,9196,0.0,1,4,0.9058696072241714
modality2_spatial_attention,p22,9196,0.0,2,3,0.857411162025904
modality2_spatial_attention,p22,9196,0.0,2,4,0.8449798280080686
modality2_spatial_attention,p22,9196,0.0,3,4,0.9080414442542168
modality2_feature_attention,p22,9196,0.0,0,1,0.9032971933407
modality2_feature_attention,p22,9196,0.0,0,2,0.8752801410194374
modality2_feature_attention,p22,9196,0.0,0,3,0.9078057995433149
modality2_feature_attention,p22,9196,0.0,0,4,0.9072599763674638
modality2_feature_attention,p22,9196,0.0,1,2,0.8503500597609163
modality2_feature_attention,p22,9196,0.0,1,3,0.91364531157001
modality2_feature_attention,p22,9196,0.0,1,4,0.9058696724475083
modality2_feature_attention,p22,9196,0.0,2,3,0.8574111308118889
modality2_feature_attention,p22,9196,0.0,2,4,0.8449798194817639
modality2_feature_attention,p22,9196,0.0,3,4,0.9080414578233941
