dataset,hungarian_f1,seed,true_domain,variant
a1,0.011560693641618497,4,hilum,DROP_RNA_RECON
a1,0.40757238307349664,4,medulla cords,DROP_RNA_RECON
a1,0.3750997605746209,4,medulla sinuses,DROP_RNA_RECON
a1,0.028747433264887063,4,medulla vessels,DROP_RNA_RECON
a1,0.5641025641025642,4,pericapsular adipose tissue,DROP_RNA_RECON
a1,0.014634146341463414,4,subcapsular sinus,DROP_RNA_RECON
a1,0.0,4,trabeculae,DROP_RNA_RECON
a1,0.30808080808080807,0,capsule,DROP_MOD2_RECON
a1,0.5536193029490617,0,cortex,DROP_MOD2_RECON
a1,0.45378151260504207,0,follicle,DROP_MOD2_RECON
a1,0.00966183574879227,0,hilum,DROP_MOD2_RECON
a1,0.3140065146579804,0,medulla cords,DROP_MOD2_RECON
a1,0.6250735726898176,0,medulla sinuses,DROP_MOD2_RECON
a1,0.017045454545454544,0,medulla vessels,DROP_MOD2_RECON
a1,0.7641681901279708,0,pericapsular adipose tissue,DROP_MOD2_RECON
a1,0.08333333333333333,0,subcapsular sinus,DROP_MOD2_RECON
a1,0.10169491525423728,0,trabeculae,DROP_MOD2_RECON
a1,0.3240223463687151,1,capsule,DROP_MOD2_RECON
a1,0.6507177033492823,1,cortex,DROP_MOD2_RECON
a1,0.4145454545454545,1,follicle,DROP_MOD2_RECON
a1,0.1688888888888889,1,hilum,DROP_MOD2_RECON
a1,0.4484917472965282,1,medulla cords,DROP_MOD2_RECON
a1,0.6170347003154574,1,medulla sinuses,DROP_MOD2_RECON
a1,0.03797468354430379,1,medulla vessels,DROP_MOD2_RECON
a1,0.7210144927536232,1,pericapsular adipose tissue,DROP_MOD2_RECON
a1,0.07035175879396985,1,subcapsular sinus,DROP_MOD2_RECON
a1,0.0,1,trabeculae,DROP_MOD2_RECON
a1,0.3204419889502762,2,capsule,DROP_MOD2_RECON
a1,0.7037037037037037,2,cortex,DROP_MOD2_RECON
a1,0.4098939929328622,2,follicle,DROP_MOD2_RECON
a1,0.0,2,hilum,DROP_MOD2_RECON
a1,0.46337308347529815,2,medulla cords,DROP_MOD2_RECON
a1,0.609167671893848,2,medulla sinuses,DROP_MOD2_RECON
a1,0.038910505836575876,2,medulla vessels,DROP_MOD2_RECON
a1,0.7651245551601423,2,pericapsular adipose tissue,DROP_MOD2_RECON
a1,0.16033755274261602,2,subcapsular sinus,DROP_MOD2_RECON
a1,0.0,2,trabeculae,DROP_MOD2_RECON
a1,0.33516483516483514,3,capsule,DROP_MOD2_RECON
a1,0.6887009992313605,3,cortex,DROP_MOD2_RECON
a1,0.4028268551236749,3,follicle,DROP_MOD2_RECON
a1,0.00970873786407767,3,hilum,DROP_MOD2_RECON
a1,0.3678849610545237,3,medulla cords,DROP_MOD2_RECON
a1,0.634828188701223,3,medulla sinuses,DROP_MOD2_RECON
a1,0.04809619238476954,3,medulla vessels,DROP_MOD2_RECON
a1,0.7703180212014135,3,pericapsular adipose tissue,DROP_MOD2_RECON
a1,0.17813765182186234,3,subcapsular sinus,DROP_MOD2_RECON
a1,0.0,3,trabeculae,DROP_MOD2_RECON
a1,0.35579514824797853,4,capsule,DROP_MOD2_RECON
a1,0.6732223903177004,4,cortex,DROP_MOD2_RECON
a1,0.39310344827586213,4,follicle,DROP_MOD2_RECON
a1,0.0,4,hilum,DROP_MOD2_RECON
a1,0.34360655737704915,4,medulla cords,DROP_MOD2_RECON
a1,0.6455399061032864,4,medulla sinuses,DROP_MOD2_RECON
a1,0.09808102345415778,4,medulla vessels,DROP_MOD2_RECON
a1,0.7737478411053541,4,pericapsular adipose tissue,DROP_MOD2_RECON
a1,0.1982758620689655,4,subcapsular sinus,DROP_MOD2_RECON
a1,0.0,4,trabeculae,DROP_MOD2_RECON
a1,0.3770491803278689,0,capsule,DROP_CORR1
a1,0.6606260296540362,0,cortex,DROP_CORR1
a1,0.4496124031007752,0,follicle,DROP_CORR1
a1,0.16740088105726872,0,hilum,DROP_CORR1
a1,0.4302600472813239,0,medulla cords,DROP_CORR1
a1,0.6163366336633662,0,medulla sinuses,DROP_CORR1
a1,0.0778588807785888,0,medulla vessels,DROP_CORR1
a1,0.6693711967545639,0,pericapsular adipose tissue,DROP_CORR1
a1,0.05194805194805196,0,subcapsular sinus,DROP_CORR1
a1,0.0,0,trabeculae,DROP_CORR1
a1,0.33972602739726027,1,capsule,DROP_CORR1
a1,0.7126760563380281,1,cortex,DROP_CORR1
a1,0.4410646387832699,1,follicle,DROP_CORR1
a1,0.17061611374407584,1,hilum,DROP_CORR1
a1,0.40408899579073965,1,medulla cords,DROP_CORR1
a1,0.6383467278989666,1,medulla sinuses,DROP_CORR1
a1,0.07865168539325842,1,medulla vessels,DROP_CORR1
a1,0.7251908396946565,1,pericapsular adipose tissue,DROP_CORR1
a1,0.011299435028248588,1,subcapsular sinus,DROP_CORR1
a1,0.0,1,trabeculae,DROP_CORR1
a1,0.36604774535809026,2,capsule,DROP_CORR1
a1,0.6946022727272727,2,cortex,DROP_CORR1
a1,0.42181818181818187,2,follicle,DROP_CORR1
a1,0.1683168316831683,2,hilum,DROP_CORR1
a1,0.41309523809523807,2,medulla cords,DROP_CORR1
a1,0.6264775413711584,2,medulla sinuses,DROP_CORR1
a1,0.07936507936507936,2,medulla vessels,DROP_CORR1
a1,0.7015503875968992,2,pericapsular adipose tissue,DROP_CORR1
a1,0.02710027100271003,2,subcapsular sinus,DROP_CORR1
a1,0.0,2,trabeculae,DROP_CORR1
a1,0.27835051546391754,3,capsule,DROP_CORR1
a1,0.6973232669869595,3,cortex,DROP_CORR1
a1,0.42962962962962964,3,follicle,DROP_CORR1
a1,0.05769230769230769,3,hilum,DROP_CORR1
a1,0.4108241082410824,3,medulla cords,DROP_CORR1
a1,0.643993417443774,3,medulla sinuses,DROP_CORR1
a1,0.05417607223476298,3,medulla vessels,DROP_CORR1
a1,0.6771653543307087,3,pericapsular adipose tissue,DROP_CORR1
a1,0.15476190476190477,3,subcapsular sinus,DROP_CORR1
a1,0.022099447513812154,3,trabeculae,DROP_CORR1
a1,0.36745406824146987,4,capsule,DROP_CORR1
a1,0.7000771010023131,4,cortex,DROP_CORR1
a1,0.45038167938931295,4,follicle,DROP_CORR1
a1,0.1978021978021978,4,hilum,DROP_CORR1
a1,0.39359810314167165,4,medulla cords,DROP_CORR1
a1,0.6091307066916823,4,medulla sinuses,DROP_CORR1
a1,0.06027397260273973,4,medulla vessels,DROP_CORR1
a1,0.7388059701492536,4,pericapsular adipose tissue,DROP_CORR1
a1,0.012195121951219513,4,subcapsular sinus,DROP_CORR1
a1,0.0,4,trabeculae,DROP_CORR1
a1,0.3615819209039548,0,capsule,DROP_CORR2
a1,0.6790322580645162,0,cortex,DROP_CORR2
a1,0.379746835443038,0,follicle,DROP_CORR2
a1,0.3008849557522124,0,hilum,DROP_CORR2
a1,0.5031982942430703,0,medulla cords,DROP_CORR2
a1,0.6457883369330453,0,medulla sinuses,DROP_CORR2
a1,0.022222222222222223,0,medulla vessels,DROP_CORR2
a1,0.5961945031712473,0,pericapsular adipose tissue,DROP_CORR2
a1,0.09230769230769231,0,subcapsular sinus,DROP_CORR2
a1,0.0,0,trabeculae,DROP_CORR2
a1,0.30143540669856456,1,capsule,DROP_CORR2
a1,0.6607407407407406,1,cortex,DROP_CORR2
a1,0.4145454545454545,1,follicle,DROP_CORR2
a1,0.005988023952095808,1,hilum,DROP_CORR2
a1,0.3240628778718259,1,medulla cords,DROP_CORR2
a1,0.6207324643078833,1,medulla sinuses,DROP_CORR2
a1,0.033426183844011144,1,medulla vessels,DROP_CORR2
a1,0.6272912423625254,1,pericapsular adipose tissue,DROP_CORR2
a1,0.1180811808118081,1,subcapsular sinus,DROP_CORR2
a1,0.0,1,trabeculae,DROP_CORR2
a1,0.34426229508196726,2,capsule,DROP_CORR2
a1,0.7166172106824925,2,cortex,DROP_CORR2
a1,0.41758241758241754,2,follicle,DROP_CORR2
a1,0.008064516129032258,2,hilum,DROP_CORR2
a1,0.4830699774266366,2,medulla cords,DROP_CORR2
a1,0.5982694684796044,2,medulla sinuses,DROP_CORR2
a1,0.04118993135011442,2,medulla vessels,DROP_CORR2
a1,0.7830687830687831,2,pericapsular adipose tissue,DROP_CORR2
a1,0.15315315315315314,2,subcapsular sinus,DROP_CORR2
a1,0.0,2,trabeculae,DROP_CORR2
a1,0.31831831831831836,3,capsule,DROP_CORR2
a1,0.6051282051282052,3,cortex,DROP_CORR2
a1,0.4954954954954955,3,follicle,DROP_CORR2
a1,0.15261044176706828,3,hilum,DROP_CORR2
a1,0.48027444253859347,3,medulla cords,DROP_CORR2
a1,0.6368952684742158,3,medulla sinuses,DROP_CORR2
a1,0.11506849315068492,3,medulla vessels,DROP_CORR2
a1,0.6882129277566541,3,pericapsular adipose tissue,DROP_CORR2
a1,0.087248322147651,3,subcapsular sinus,DROP_CORR2
a1,0.0,3,trabeculae,DROP_CORR2
a1,0.37640449438202245,4,capsule,DROP_CORR2
a1,0.6563769293257514,4,cortex,DROP_CORR2
a1,0.4113475177304964,4,follicle,DROP_CORR2
a1,0.004081632653061225,4,hilum,DROP_CORR2
a1,0.3632911392405064,4,medulla cords,DROP_CORR2
a1,0.5440874914559124,4,medulla sinuses,DROP_CORR2
a1,0.13180515759312322,4,medulla vessels,DROP_CORR2
a1,0.7134935304990759,4,pericapsular adipose tissue,DROP_CORR2
a1,0.152317880794702,4,subcapsular sinus,DROP_CORR2
a1,0.0,4,trabeculae,DROP_CORR2
a1,0.3966942148760331,0,capsule,UNIFORM_WITHIN
a1,0.6901300688599848,0,cortex,UNIFORM_WITHIN
a1,0.39999999999999997,0,follicle,UNIFORM_WITHIN
a1,0.16513761467889906,0,hilum,UNIFORM_WITHIN
a1,0.4613674263479711,0,medulla cords,UNIFORM_WITHIN
a1,0.5760309278350515,0,medulla sinuses,UNIFORM_WITHIN
a1,0.0199203187250996,0,medulla vessels,UNIFORM_WITHIN
a1,0.595289079229122,0,pericapsular adipose tissue,UNIFORM_WITHIN
a1,0.08888888888888888,0,subcapsular sinus,UNIFORM_WITHIN
a1,0.0,0,trabeculae,UNIFORM_WITHIN
a1,0.3641456582633053,1,capsule,UNIFORM_WITHIN
a1,0.5742753623188406,1,cortex,UNIFORM_WITHIN
a1,0.4936170212765957,1,follicle,UNIFORM_WITHIN
a1,0.20388349514563106,1,hilum,UNIFORM_WITHIN
a1,0.44986149584487534,1,medulla cords,UNIFORM_WITHIN
a1,0.661036036036036,1,medulla sinuses,UNIFORM_WITHIN
a1,0.04268292682926829,1,medulla vessels,UNIFORM_WITHIN
a1,0.7695099818511796,1,pericapsular adipose tissue,UNIFORM_WITHIN
a1,0.08552631578947369,1,subcapsular sinus,UNIFORM_WITHIN
a1,0.0,1,trabeculae,UNIFORM_WITHIN
a1,0.38848920863309355,2,capsule,UNIFORM_WITHIN
a1,0.717948717948718,2,cortex,UNIFORM_WITHIN
a1,0.4312267657992565,2,follicle,UNIFORM_WITHIN
a1,0.0,2,hilum,UNIFORM_WITHIN
a1,0.4336231884057971,2,medulla cords,UNIFORM_WITHIN
a1,0.5597444089456868,2,medulla sinuses,UNIFORM_WITHIN
a1,0.023411371237458196,2,medulla vessels,UNIFORM_WITHIN
a1,0.7924528301886792,2,pericapsular adipose tissue,UNIFORM_WITHIN
a1,0.2112676056338028,2,subcapsular sinus,UNIFORM_WITHIN
a1,0.0,2,trabeculae,UNIFORM_WITHIN
a1,0.3862928348909658,3,capsule,UNIFORM_WITHIN
a1,0.703125,3,cortex,UNIFORM_WITHIN
a1,0.4098939929328622,3,follicle,UNIFORM_WITHIN
a1,0.1467181467181467,3,hilum,UNIFORM_WITHIN
a1,0.37999999999999995,3,medulla cords,UNIFORM_WITHIN
a1,0.6003683241252302,3,medulla sinuses,UNIFORM_WITHIN
a1,0.14246575342465756,3,medulla vessels,UNIFORM_WITHIN
a1,0.697936210131332,3,pericapsular adipose tissue,UNIFORM_WITHIN
a1,0.02177858439201452,3,subcapsular sinus,UNIFORM_WITHIN
