cpu_peak_rss_mib_c0,cpu_peak_rss_mib_delta,cpu_peak_rss_mib_full_ige,cpu_peak_rss_mib_percent,dataset,gpu_peak_allocated_mib_c0,gpu_peak_allocated_mib_delta,gpu_peak_allocated_mib_full_ige,gpu_peak_allocated_mib_percent,gpu_peak_reserved_mib_c0,gpu_peak_reserved_mib_delta,gpu_peak_reserved_mib_full_ige,gpu_peak_reserved_mib_percent,reference,runtime_seconds_c0,runtime_seconds_delta,runtime_seconds_full_ige,runtime_seconds_percent,seed
1436.9140625,-145.9375,1290.9765625,-10.156313714829414,a1,599.73193359375,147.53271484375,747.2646484375,24.599776430061933,638.0,202.0,840.0,31.661442006269592,Night-3AF C0,11.2446834333241,1.7671639658510667,13.011847399175167,15.715551054234224,0
1420.1953125,-89.54296875,1330.65234375,-6.304975658057596,a1,599.73193359375,147.44091796875,747.1728515625,24.58447011237931,638.0,202.0,840.0,31.661442006269592,Night-3AF C0,11.393526148051023,6.465431673452258,17.85895782150328,56.74653824846169,1
1436.9140625,-83.96875,1352.9453125,-5.843686285170586,a1,599.73193359375,147.44091796875,747.1728515625,24.58447011237931,638.0,202.0,840.0,31.661442006269592,Night-3AF C0,13.587238360196352,-3.9523374419659376,9.634900918230414,-29.088600179005187,2
1436.9140625,-79.51953125,1357.39453125,-5.5340492048389285,a1,599.73193359375,147.44091796875,747.1728515625,24.58447011237931,638.0,202.0,840.0,31.661442006269592,Night-3AF C0,11.35947317443788,1.218233112245798,12.577706286683679,10.724380378723698,3
1275.26171875,82.1328125,1357.39453125,6.440467183513189,a1,599.12548828125,148.04736328125,747.1728515625,24.710576695036465,638.0,202.0,840.0,31.661442006269592,Night-3AF C0,15.68964819982648,-4.5113999284803885,11.178248271346092,-28.75399034460366,4
1436.9140625,-71.90625,1365.0078125,-5.004213674051924,placenta,363.65185546875,81.146484375,444.79833984375,22.314332555900634,386.0,128.0,514.0,33.16062176165803,Night-3AF C0,8.268314423039556,-0.49652089551091194,7.771793527528644,-6.005104185774099,0
1375.81640625,-10.80859375,1365.0078125,-0.7856130876837333,placenta,363.65185546875,81.146484375,444.79833984375,22.314332555900634,386.0,128.0,514.0,33.16062176165803,Night-3AF C0,7.107673307880759,0.3725493997335434,7.480222707614303,5.241509894953565,1
1436.9140625,-71.90625,1365.0078125,-5.004213674051924,placenta,363.65185546875,81.146484375,444.79833984375,22.314332555900634,386.0,128.0,514.0,33.16062176165803,Night-3AF C0,7.408043891191482,0.15495607815682977,7.562999969348311,2.091727322796777,2
1420.1953125,-55.1875,1365.0078125,-3.8859091784250626,placenta,363.65185546875,81.146484375,444.79833984375,22.314332555900634,386.0,128.0,514.0,33.16062176165803,Night-3AF C0,8.232471991330385,-1.59925346262753,6.633218528702855,-19.426163421044173,3
1436.9140625,-71.90625,1365.0078125,-5.004213674051924,placenta,363.65185546875,81.146484375,444.79833984375,22.314332555900634,386.0,128.0,514.0,33.16062176165803,Night-3AF C0,7.1863852720707655,-0.05292809568345547,7.13345717638731,-0.7365051229462427,4
1420.1953125,-44.04296875,1376.15234375,-3.101190967351542,p22,1117.46923828125,394.021484375,1511.49072265625,35.260163848539946,1224.0,362.0,1586.0,29.575163398692812,Night-3AF C0,47.88591055944562,-1.1989074498414993,46.68700310960412,-2.503674746569086,0
1421.81640625,-45.6640625,1376.15234375,-3.2116708106103276,p22,1117.46923828125,394.021484375,1511.49072265625,35.260163848539946,1224.0,362.0,1586.0,29.575163398692812,Night-3AF C0,52.08270048163831,-4.171378966420889,47.91132151521742,-8.009144932666276,1
1436.9140625,-30.390625,1406.5234375,-2.114992524126682,p22,1117.46923828125,394.021484375,1511.49072265625,35.260163848539946,1224.0,362.0,1586.0,29.575163398692812,Night-3AF C0,52.83393349684775,-5.620226079598069,47.21370741724968,-10.637531047983378,2
1420.1953125,-12.67578125,1407.51953125,-0.89253788816459,p22,1117.46923828125,394.021484375,1511.49072265625,35.260163848539946,1224.0,362.0,1586.0,29.575163398692812,Night-3AF C0,48.35932311043143,-1.0935413390398026,47.26578177139163,-2.2612833859205077,3
1420.1953125,-11.83203125,1408.36328125,-0.8331270456858376,p22,1117.46923828125,394.021484375,1511.49072265625,35.260163848539946,1224.0,362.0,1586.0,29.575163398692812,Night-3AF C0,48.23670323379338,2.5203035101294518,50.75700674392283,5.224866836180862,4
