bh_fdr_q_value,channel,dataset,domain,domain_mean,domain_median,domain_n,epsilon_squared,kruskal_h,n_domains,n_observations,p_value,seed
0.0,cross_omics_rna_attention,a1,capsule,0.6859943534375406,0.6966389715671539,204,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,cortex,0.6378969169984934,0.6513946056365967,753,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,follicle,0.8076408699154853,0.8558067083358765,60,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,hilum,0.6535039557063061,0.6711629629135132,23,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,medulla cords,0.44534811640929695,0.43926629424095154,1188,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,medulla sinuses,0.5301688172325136,0.5411888360977173,797,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,medulla vessels,0.4736372093882477,0.4605414569377899,57,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,pericapsular adipose tissue,0.8824881426990032,0.9035370051860809,320,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,subcapsular sinus,0.5779776879259058,0.5759718120098114,74,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_rna_attention,a1,trabeculae,0.6536858454346657,0.6674996912479401,8,0.4280725660389592,1496.1240944193444,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,capsule,0.31400564743899834,0.30336104333400726,204,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,cortex,0.3621030836149674,0.3486053943634033,753,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,follicle,0.19235912362734478,0.14419329166412354,60,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,hilum,0.3464960436458173,0.3288370966911316,23,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,medulla cords,0.5546518842178563,0.5607337355613708,1188,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,medulla sinuses,0.469831182823576,0.45881110429763794,797,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,medulla vessels,0.5263627903503284,0.5394585728645325,57,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,pericapsular adipose tissue,0.11751185999601148,0.09646295383572578,320,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,subcapsular sinus,0.42202231871920665,0.4240281730890274,74,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
0.0,cross_omics_modality2_attention,a1,trabeculae,0.3463141489773989,0.3325003385543823,8,0.4280725660389587,1496.1240944193426,10,3484,0.0,0
2.6401857815498243e-13,rna_spatial_attention,a1,capsule,0.5221626296931622,0.5252890884876251,204,0.020286762635314523,79.47621339508265,10,3484,2.0534778300943077e-13,0
