step,fraction_of_training,state_sha256,state_file_saved
0,0.0,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,False
1,0.000625,1b4ac58f5cd245e2b8a52591c73b5f8e1fd02e04f36f263cddf116090fdde549,False
5,0.003125,4388f2b8f24e4ef2b28a133807bb490f9a49019e78228b3a598e7c923e342042,False
10,0.00625,49273e34862073bd98b0f59f658cadbd1b0d4d7385a73b5cd5ece3598825858d,False
20,0.0125,57c7c6a80a6898240293a6129031a4394123787225acb63fe9bb4d673fb86a13,False
40,0.025,bd4f3f3018cb90f50b2d249ffcc79c6f806395cfca77102c448204fb4c3bb133,False
80,0.05,837aba4c4302b8fcd2decd42364e61b58771df5139d78f9ca703d194016b390a,False
320,0.2,99609231d2f8e1e3690730324df588b44f40ab58d18273ef584d6d4bf983b0e2,False
800,0.5,c4e5fa71793a9c1b08f169e2bafbe3c2068e52f267af3c7e7a2ae547787ccc3e,False
1600,1.0,0d7eac4a1d82ca086d894849dba44eb379ef8322e076e482b56c626a00497550,True
