lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,start_candidate,training_seed,family,candidate_bank_sha256,checkpoint_bank_sha256,changed_spots_vs_start
A1_K10,RETAINED_CARRIER,J02_BALANCED__FULL__S0,2d80033fc0418333bad833f564cdc2f3bceff11788d9c1c2c35cecadf2e7d8e1,0.26904371430595725,0.39889682804294285,0.3951010352159635,0.40420298816990163,0.4583324104639625,0.39889682804294285,3484,3484,10,111,111|176|205|255|319|333|400|469|602|614,111,111|176|205|255|319|333|400|469|602|614,0.6053931949738811,0.5633841767263731,0.44272323031069016,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,103
A1_K10,RETAINED_CARRIER,J03_EMISSION_LEAN__EMISSION_ONLY__S0,e0981f5c2597e4588fdda6eb93e37eeae2de3625d3b4f04ad884e03ba62ffc79,0.26791581643755813,0.3954270750968489,0.39162006702930324,0.40287006521581203,0.4556952813074619,0.3954270750968489,3484,3484,10,117,117|183|217|264|319|342|392|468|588|594,117,117|183|217|264|319|342|392|468|588|594,0.5876041225469434,0.5435940566191233,0.4622090468463028,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,1
A1_K10,RETAINED_CARRIER,J03_EMISSION_LEAN__SHARED_GRAPH_ONLY__S0,b198dcbf2dc6ae309618b6f44d4038dd059b5032ec2a7655a4576aefaf9588e0,0.26971184429830247,0.4060525270083146,0.4023021610372253,0.40479193902127897,0.4665997393645341,0.4060525270083146,3484,3484,10,112,112|182|205|254|307|323|419|468|604|610,112,112|182|205|254|307|323|419|468|604|610,0.6480304955527318,0.6155182065633393,0.39073110613483636,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,188
A1_K10,RETAINED_CARRIER,J03_EMISSION_LEAN__CLUSTER_GRAPH_ONLY__S0,584a747f2f81db8151207876232222965bd9fd28892b5a7145c856ffa5edf3a5,0.26839950804446777,0.3975012881058777,0.3937000190863955,0.40352443936359944,0.45715391463768634,0.39750128810587765,3484,3484,10,113,113|177|208|260|320|333|402|465|599|607,113,113|177|208|260|320|333|402|465|599|607,0.6008753353098969,0.5584621839010417,0.4475019579531203,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,79
A1_K10,RETAINED_CARRIER,J03_EMISSION_LEAN__ADDITIVE_SHARED__S0,3952ac5cd4f5c118f9db3aa62c74b9a9867aff942125a16a41763e6167100eaf,0.27074609176270464,0.40436552645274226,0.40060302640824696,0.4057566996378344,0.46445668386387906,0.4043655264527422,3484,3484,10,110,110|180|205|254|312|323|412|465|607|616,110,110|180|205|254|312|323|412|465|607|616,0.6409713398277566,0.6061399261595055,0.40016723134789817,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,169
A1_K10,RETAINED_CARRIER,J03_EMISSION_LEAN__FULL__S0,52c825f76ab00e952398ebd61bf73b6ba7768a1e7cd908f0154d3e4cc5176288,0.2701451480852545,0.4008583904666125,0.3970776239688898,0.4050919870383283,0.460923500192125,0.40085839046661254,3484,3484,10,112,112|178|208|258|320|334|398|467|601|608,112,112|178|208|258|320|334|398|467|601|608,0.6018636171113935,0.5600358050447183,0.4459388492248486,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,0410cb026152e747ca46061876458858336a382664cd04e2abaf7992eb785dd0,bea4898849349d58e6b1a5e09994bdf33672dcc03bb0ce193fae2175fc13620f,75
A1_K10,RETAINED_CARRIER,INPUT_GEOMETRY_START,e367c0a4541ec15c5b80cf90d1d2d4cbbfa928fe43305aae83d3ea72741e8988,0.2628398625298799,0.384972236638401,0.3810137018838378,0.4025657224341812,0.4329506167588187,0.384972236638401,3484,3484,10,66,66|167|199|229|261|266|311|509|705|771,66,66|167|199|229|261|266|311|509|705|771,0.6135818156148525,0.5710329905908964,0.43680421553031124,independent_evaluator_after_bank_lock,GEOM_LEIDEN_FEATURE,0,RNA_PROTEIN,0c7344f665a1e6b733c71ebf8216779fef83d6815730ca99602ef872eb9caf0b,f4713deb5771d21d65ac3c9965369fde47d03c7aca3e20b754c0592b1ec56a7f,0
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__EMISSION_ONLY__S0,e367c0a4541ec15c5b80cf90d1d2d4cbbfa928fe43305aae83d3ea72741e8988,0.2628398625298799,0.384972236638401,0.3810137018838378,0.4025657224341812,0.4329506167588187,0.384972236638401,3484,3484,10,66,66|167|199|229|261|266|311|509|705|771,66,66|167|199|229|261|266|311|509|705|771,0.6135818156148525,0.5710329905908964,0.43680421553031124,independent_evaluator_after_bank_lock,GEOM_LEIDEN_FEATURE,0,RNA_PROTEIN,0c7344f665a1e6b733c71ebf8216779fef83d6815730ca99602ef872eb9caf0b,f4713deb5771d21d65ac3c9965369fde47d03c7aca3e20b754c0592b1ec56a7f,0
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,1aece60eabffcecabc82c59e640243dbfdea77acae585bebfea061965d2cb34a,0.2636630083042054,0.39833165765774864,0.39445857743282114,0.4032932664861979,0.4479582118720076,0.3983316576577486,3484,3484,10,67,67|163|213|235|253|257|302|520|704|770,67,67|163|213|235|253|257|302|520|704|770,0.6658195679796697,0.6424916756080666,0.36601527128327666,independent_evaluator_after_bank_lock,GEOM_LEIDEN_FEATURE,0,RNA_PROTEIN,0c7344f665a1e6b733c71ebf8216779fef83d6815730ca99602ef872eb9caf0b,f4713deb5771d21d65ac3c9965369fde47d03c7aca3e20b754c0592b1ec56a7f,196
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,eabc1b0fe849c6cc5250e30aa19af39031a3dd0314c6e30009dfdd64cbd4b364,0.2625691725600415,0.38718803259099466,0.3832401161632445,0.4025428503179669,0.43498715733319543,0.3871880325909947,3484,3484,10,65,65|163|198|227|260|265|310|512|710|774,65,65|163|198|227|260|265|310|512|710|774,0.615699562332345,0.575184611724987,0.43289910131937737,independent_evaluator_after_bank_lock,GEOM_LEIDEN_FEATURE,0,RNA_PROTEIN,0c7344f665a1e6b733c71ebf8216779fef83d6815730ca99602ef872eb9caf0b,f4713deb5771d21d65ac3c9965369fde47d03c7aca3e20b754c0592b1ec56a7f,13
