lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,evidence_board
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_KMEANS_RAW,e2d4a3febca2bf0da5c5569791e12d11daa406af37bd643c0afceaf33253a144,0.1766658396738246,0.3300817104050987,0.32567795013252354,0.33625832895716773,0.362039587373972,0.33008171040509865,3484,3484,10,49,49|99|120|169|214|265|443|582|640|903,49,49|99|120|169|214|265|443|582|640|903,0.7899195256247353,0.7581401770690438,0.2564958997489547,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_GMM_FULL,8426efbbd297b35a43f5c9803047bf45268185fec9c03f3a6e51512bdd836c4d,0.2111032965191964,0.36959580937694114,0.3654868939226033,0.3613834278910411,0.4104543793391859,0.3695958093769411,3484,3484,10,77,77|110|142|184|197|298|413|558|748|757,77,77|110|142|184|197|298|413|558|748|757,0.7516589015953692,0.723078615118662,0.2911151403870032,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_FEATURE_NCUT_K12,0d468b50dd5ab18afb3644bb8f2dee4a3f00c5843d5d591cdfb05fe28d7a9626,0.16681212970324782,0.3422406150120709,0.3380915782797612,0.3138008868810431,0.39385404137915125,0.3422406150120709,3484,3484,10,154,154|178|184|249|297|321|413|478|564|646,154,154|178|184|249|297|321|413|478|564|646,0.8243682055626147,0.8059088385381836,0.19877055243266795,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_FEATURE_NCUT_K24,efb9e51f2d366a2528a8fca8355a573f63173828508ee604e9c2b21ce4bc0dcc,0.1413239857741366,0.3075839690458694,0.30323383540216053,0.28976919696713144,0.3553934248150577,0.3075839690458693,3484,3484,10,156,156|160|198|284|330|346|444|457|478|631,156,156|160|198|284|330|346|444|457|478|631,0.8089792460821685,0.7891914814113157,0.21531586683851875,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_JOINT_NCUT_S025,decfe10ab042eb2079d918f2d5764719c0f86a096bc27f44cadd3631c8219637,0.1803931748649215,0.3391034729786165,0.33495473200518927,0.3250307563902641,0.3922690109624633,0.3391034729786165,3484,3484,10,216,216|243|248|252|253|276|284|472|572|668,216,216|243|248|252|253|276|284|472|572|668,0.86573485811097,0.8488301931965985,0.1551100988692301,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_JOINT_NCUT_S100,2c621f983170d0475f35c2b89445050cfb030a31c83c8da79b5424b1a3894c0a,0.16165363157294318,0.2966048478993599,0.2921834693959767,0.30859671499982627,0.34262377322307686,0.2966048478993598,3484,3484,10,190,190|197|235|268|272|300|306|485|579|652,190,190|197|235|268|272|300|306|485|579|652,0.9120429196668078,0.9039237330262127,0.09988202493694129,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_DENSITY_CORRECTED_NCUT,0ef73ef8a4c49668bb2a6fee48dc92f028238b7d7ef8a18c5a91c9e3d8f29c82,0.17321443906518322,0.34876744860449993,0.3446796443863178,0.3184219055801486,0.4034280575950496,0.3487674486045,3484,3484,10,162,162|230|239|262|291|299|327|472|537|665,162,162|230|239|262|291|299|327|472|537|665,0.8269095016236058,0.808968669582702,0.19520792125528175,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_DIFFUSION_T2,a0f5709c5a29c8ca52e013050026e9507070795301c45e39390b51c20c943513,0.16131749607076026,0.28706835837590433,0.2822677818892438,0.33263019791006726,0.30707032714502414,0.2870683583759043,3484,3484,10,59,59|72|88|125|183|252|290|704|748|963,59,59|72|88|125|183|252|290|704|748|963,0.8987717069038543,0.8800234866516915,0.13236160656349436,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_SPATIAL_NCUT,2bbe5adadbbef2f8847105218881d4c7ee8b10970856bd4a8a966376919c7217,0.07154483254307781,0.15508556473162186,0.14988869598519491,0.21836822893524596,0.18313212386398664,0.15508556473162188,3484,3484,10,294,294|319|321|325|329|346|365|377|388|420,294,294|319|321|325|329|346|365|377|388|420,0.9551037695891571,0.9510369741462474,0.0494801751566686,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_LEIDEN_FEATURE,93319417560993104d77de357a13dd6cf98ce42ae27daf764c892df561081fb3,0.1716384791326804,0.3327573246232376,0.32857567901789586,0.3167298388830494,0.38556766654720076,0.3327573246232376,3484,3484,10,212,212|216|253|264|266|295|328|408|609|633,212,212|216|253|264|266|295|328|408|609|633,0.8400395312720599,0.8258861753281778,0.1778377682421049,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
