lane,ids_shape,view1_shape,view2_shape,locked_representation_shape,soft_partition_shape,graph_names,graph_edges,actual_backward_and_parameter_update,parameter_l1_change,strict_checkpoint_reload,fresh_process_partition_replay,replayed_candidate_count,labels_read_by_producer
A1_K10,[3484],"[3484, 30]","[3484, 30]","[3484, 64]","[3484,10]",retained_feature_k12|retained_feature_k24|view1_feature_k12|view2_feature_k12|registered_spatial,"{""registered_spatial"": 7083, ""retained_feature_k12"": 30630, ""retained_feature_k24"": 59653, ""view1_feature_k12"": 26968, ""view2_feature_k12"": 28920}",PASS,68732.16827487946,PASS,PASS,15,0
P22_K9,[9196],"[9196, 30]","[9196, 50]","[9196, 64]","[9196,9]",retained_feature_k12|retained_feature_k24|view1_feature_k12|view2_feature_k12|registered_spatial,"{""registered_spatial"": 18584, ""retained_feature_k12"": 78897, ""retained_feature_k24"": 164162, ""view1_feature_k12"": 71018, ""view2_feature_k12"": 86381}",PASS,162200.00572180748,PASS,PASS,15,0
PLACENTA_K10,[1662],"[1662, 30]","[1662, 30]","[1662, 30]","[1662,10]",retained_feature_k12|retained_feature_k24|view1_feature_k12|view2_feature_k12|registered_spatial,"{""registered_spatial"": 4154, ""retained_feature_k12"": 13422, ""retained_feature_k24"": 25262, ""view1_feature_k12"": 14348, ""view2_feature_k12"": 13154}",PASS,34399.906352996826,PASS,PASS,15,0
TONSIL_S1_K4,[4326],"[4326, 30]","[4326, 30]","[4326, 16]","[4326,4]",retained_feature_k12|retained_feature_k24|view1_feature_k12|view2_feature_k12|registered_spatial,"{""registered_spatial"": 8917, ""retained_feature_k12"": 35145, ""retained_feature_k24"": 68021, ""view1_feature_k12"": 36921, ""view2_feature_k12"": 36260}",PASS,33824.45913860202,PASS,PASS,15,0
