lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,start_candidate,training_seed,family,candidate_bank_sha256,checkpoint_bank_sha256,changed_spots_vs_start
A1_K10,RETAINED_CARRIER,INPUT_GEOMETRY_START,41369d537dcab2cbc7c0c5ea32661c1b43d23b29dc65b903c1e5f5a2d0220235,0.26806593463595035,0.39594080155513667,0.39213729607494496,0.40299711450814574,0.4563278450575884,0.3959408015551366,3484,3484,10,118,118|183|217|264|319|342|391|468|588|594,118,118|183|217|264|319|342|391|468|588|594,0.5874629394324439,0.5433928183039223,0.4623782874790254,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,0
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__EMISSION_ONLY__S0,41369d537dcab2cbc7c0c5ea32661c1b43d23b29dc65b903c1e5f5a2d0220235,0.26806593463595035,0.39594080155513667,0.39213729607494496,0.40299711450814574,0.4563278450575884,0.3959408015551366,3484,3484,10,118,118|183|217|264|319|342|391|468|588|594,118,118|183|217|264|319|342|391|468|588|594,0.5874629394324439,0.5433928183039223,0.4623782874790254,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,0
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,7f001afa48b5c001245df8bbc6aee8fac467fd4919c8ae00bbe05e5f379dd0ba,0.26993833320330474,0.4066622902107453,0.4029111670167481,0.4051542298459714,0.46669016621518594,0.40666229021074535,3484,3484,10,109,109|181|198|254|307|321|419|460|614|621,109,109|181|198|254|307|321|419|460|614|621,0.650571791613723,0.6149580597322009,0.3913217849955104,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,217
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,62a35052499a6eeced842a62f8831000fa5abdf3e8a11e1a2b1f14b016c46e3c,0.26940256389023437,0.3981676766461811,0.3943654013001696,0.4045708246899058,0.45725113281229635,0.3981676766461811,3484,3484,10,110,110|175|199|254|320|334|400|477|601|614,110,110|175|199|254|320|334|400|477|601|614,0.602287166454892,0.5597934164856777,0.44630260490385315,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,113
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,4fab2545da092f56cfea683f9ea7cbf469169716d36ee05a842097128303a645,0.27111560794314715,0.4070187839740413,0.4032695897255896,0.40619744967838195,0.46705591484836584,0.40701878397404123,3484,3484,10,109,109|180|196|254|309|323|415|464|612|622,109,109|180|196|254|309|323|415|464|612|622,0.6471833968657349,0.6111521646275676,0.39512444254245094,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,205
A1_K10,RETAINED_CARRIER,J01_GRAPH_LEAN__FULL__S0,1993805d760f158c15b845ee734f50fde1189980487bb8677a6463dbefe93bab,0.2690691256921273,0.39787993675526734,0.3940757084913516,0.40428295421600113,0.45690479813699103,0.3978799367552674,3484,3484,10,110,110|175|199|254|320|334|400|475|603|614,110,110|175|199|254|320|334|400|475|603|614,0.6024283495693915,0.5598370749971671,0.44625903288573554,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,112
A1_K10,RETAINED_CARRIER,J02_BALANCED__EMISSION_ONLY__S0,41369d537dcab2cbc7c0c5ea32661c1b43d23b29dc65b903c1e5f5a2d0220235,0.26806593463595035,0.39594080155513667,0.39213729607494496,0.40299711450814574,0.4563278450575884,0.3959408015551366,3484,3484,10,118,118|183|217|264|319|342|391|468|588|594,118,118|183|217|264|319|342|391|468|588|594,0.5874629394324439,0.5433928183039223,0.4623782874790254,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,0
A1_K10,RETAINED_CARRIER,J02_BALANCED__SHARED_GRAPH_ONLY__S0,06cffc78d524e61429a509d3de342debf3dec5598c5068dc420cb4d881cd09a9,0.27249285560407577,0.40788757072743004,0.40414601104890824,0.4073406725273536,0.4683452790149722,0.40788757072743,3484,3484,10,111,111|180|199|255|310|325|411|465|612|616,111,111|180|199|255|310|325|411|465|612|616,0.6428067203162502,0.6071343051385794,0.39904679485337496,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,183
A1_K10,RETAINED_CARRIER,J02_BALANCED__CLUSTER_GRAPH_ONLY__S0,b8ca6f4fe7dcf76f73325bb09a2660cbe390f8afc423e059094f4b0f54399b52,0.26956351530155276,0.39899615752023837,0.3952014035916052,0.4046417312210615,0.4584941814323885,0.39899615752023837,3484,3484,10,111,111|176|201|260|320|334|400|470|600|612,111,111|176|201|260|320|334|400|470|600|612,0.5998870535084004,0.5580135139605352,0.4480511009838943,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,86
A1_K10,RETAINED_CARRIER,J02_BALANCED__ADDITIVE_SHARED__S0,468a67b9565374be1da3afb8a407a9fed2e08bb8aa2554922c22098c7c9b64b2,0.2722994442920077,0.40685257711715717,0.40310492317931435,0.40715289204786254,0.4672115223574725,0.4068525771171572,3484,3484,10,111,111|178|201|255|313|325|412|463|606|620,111,111|178|201|255|313|325|412|463|606|620,0.636312297049273,0.6013328217949064,0.40486449012498155,independent_evaluator_after_bank_lock,GEOM_FEATURE_NCUT_K24,0,RNA_PROTEIN,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001,165
