lane,family,start_candidate,profile_id,full_candidate_id,full_ari,full_nmi,input_start_ari,input_start_nmi,strongest_atomic_ari,strongest_atomic_nmi,delta_ari_vs_coordinatewise_atomic,delta_nmi_vs_coordinatewise_atomic,stage_a_best_head_ari,stage_a_best_head_nmi,delta_ari_vs_stage_a_best_head,delta_nmi_vs_stage_a_best_head,changed_spots_vs_start,min_cluster_size,strict_full_double_beats_each_matched_atomic,independent_lane_pass,partition_sha256
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.2684787165924016,0.3983416935484367,0.26806593463595035,0.39594080155513667,0.2692438812700054,0.4057128059230063,-0.0007651646776038468,-0.0073711123745696105,0.26806593463595035,0.39594080155513667,0.00041278195645122473,0.002400891993300014,128,110,False,False,6b5cbac49fee18ab6f2a142f7de9f4c9efbd7e00c2ed136aa694091df775ca79
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.26904371430595725,0.39889682804294285,0.26806593463595035,0.39594080155513667,0.27135476697684313,0.40651094850338654,-0.0023110526708858825,-0.007614120460443685,0.26806593463595035,0.39594080155513667,0.0009777796700068953,0.002956026487806185,103,111,False,False,2d80033fc0418333bad833f564cdc2f3bceff11788d9c1c2c35cecadf2e7d8e1
A1_K10,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.2701451480852545,0.4008583904666125,0.26806593463595035,0.39594080155513667,0.27074609176270464,0.4060525270083146,-0.0006009436774501165,-0.0051941365417021435,0.26806593463595035,0.39594080155513667,0.0020792134493041736,0.004917588911475812,75,112,False,False,52c825f76ab00e952398ebd61bf73b6ba7768a1e7cd908f0154d3e4cc5176288
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.26228488920538257,0.38698388737329736,0.2628398625298799,0.384972236638401,0.2636630083042054,0.39833165765774864,-0.0013781190988228498,-0.011347770284451275,0.26806593463595035,0.39594080155513667,-0.005781045430567788,-0.008956914181839304,14,65,False,False,2a55d1010d1bada8d929a0f2c1f2316d79555c3453b8f46cdd7c26cb0e4c1ab9
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.2636532118579978,0.3877757711197409,0.2628398625298799,0.384972236638401,0.2650979812405275,0.3988930780764286,-0.0014447693825297425,-0.011117306956687723,0.26806593463595035,0.39594080155513667,-0.004412722777952571,-0.008165030435395793,14,65,False,False,d5550a2e8fe070fca6dd2aad055c0516f275a9e0d68fb443131659b46adc6556
A1_K10,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.2632898113199365,0.3873972815034466,0.2628398625298799,0.384972236638401,0.26517474595821516,0.3986826069398747,-0.001884934638278657,-0.011285325436428073,0.26806593463595035,0.39594080155513667,-0.004776123316013847,-0.008543520051690068,12,65,False,False,36d8b0118c437c3c9f55ca738d30ec22bd8d8c20ee4a504bd20dcf238729f7bc
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.4781865424989838,0.6347862374221104,0.47633967387899295,0.6293803654615128,0.47877839348025514,0.6358565457930548,-0.0005918509812713468,-0.0010703083709444616,0.5034009988382184,0.641908045066574,-0.025214456339234637,-0.007121807644463574,120,435,False,False,8467cea400c0cf829ccf7351d9605aa42ae02e28af3df10c2397c223bbcbef19
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.47642783382117426,0.6327803743921904,0.47633967387899295,0.6293803654615128,0.478059392855924,0.6348744887169071,-0.0016315590347497633,-0.0020941143247167338,0.5034009988382184,0.641908045066574,-0.026973165017044165,-0.009127670674383581,101,434,False,False,d029d805b180f9747391ef50e89ac3261d60aa989713950fddfb8ca8f103d7a0
P22_K9,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.47625388996711265,0.631944029013697,0.47633967387899295,0.6293803654615128,0.47804200252287754,0.6343585244148977,-0.001788112555764887,-0.002414495401200756,0.5034009988382184,0.641908045066574,-0.027147108871105774,-0.009964016052877,82,434,False,False,4f2a10093c153ee43baf003e0b263a1f35c21d7844344b65d73a27287e61dca3
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.504456292218086,0.6434614539729726,0.5034009988382184,0.641908045066574,0.5040003712992848,0.6431834157707748,0.00045592091880120034,0.00027803820219785,0.5034009988382184,0.641908045066574,0.001055293379867539,0.0015534089063986567,21,44,True,True,55efaa0eae424360e875d5c0f5ac88242ccdeef95d89f76c6bf2d8de72db5f9b
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.5043793591812998,0.6431272474998248,0.5034009988382184,0.641908045066574,0.5036368552642201,0.6426530396052977,0.0007425039170797509,0.0004742078945270123,0.5034009988382184,0.641908045066574,0.000978360343081408,0.001219202433250799,18,44,True,True,ea689b04eb9ffff87a3378f1a5ba04ebf52025ddedab06a647af7580bfb743ed
P22_K9,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.504158680245675,0.6429180225004686,0.5034009988382184,0.641908045066574,0.5039099407030825,0.6426391158274939,0.0002487395425925243,0.0002789066729746992,0.5034009988382184,0.641908045066574,0.0007576814074565785,0.0010099774338946377,18,44,True,True,e6cd73e5be5133cf8dfceacbda5fd47996a0a97eaffb53f84dfa82a67590ae0e
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.4734873208712379,0.6100465756822858,0.4634017685769465,0.5836917415201206,0.4683749337865169,0.6054071066115699,0.005112387084721004,0.004639469070715885,0.5351464387496713,0.5920843173869431,-0.06165911787843337,0.017962258295342703,95,62,True,False,a7683d28a4db49c11127a51a3445e5f0cd22ebb3aa9b54fd80d324995f397ba9
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.4738388948672788,0.6086798719211817,0.4634017685769465,0.5836917415201206,0.4717751588620059,0.6077659869239292,0.0020637360052729314,0.0009138849972524232,0.5351464387496713,0.5920843173869431,-0.06130754388239246,0.016595554534238555,87,61,True,False,38c5f9cdd6923183f54fa484e8ab5646d9347a68ca1797ed55b0b85959d2ddd6
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.47026106223465586,0.6016544476582127,0.4634017685769465,0.5836917415201206,0.4709217414690397,0.6019040086789357,-0.000660679234383843,-0.0002495610207229326,0.5351464387496713,0.5920843173869431,-0.06488537651501541,0.009570130271269628,69,61,False,False,93b7e870f117b36ec56b585b8c99075919705bf12961baff2147b768d8bd767a
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.5475608818504464,0.6302789713588728,0.5351464387496713,0.5920843173869431,0.5468878758086944,0.6308133311640516,0.0006730060417520223,-0.0005343598051787968,0.5351464387496713,0.5920843173869431,0.012414443100775108,0.03819465397192967,74,43,False,False,9dfa61d8a2d602cc8dfd88ee3a6b4c96965bc32cf84ddef1d80d4f3eb2b89d98
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.5471504740293968,0.6283615075727484,0.5351464387496713,0.5920843173869431,0.5469588682033593,0.6290123764177823,0.00019160582603749976,-0.0006508688450338473,0.5351464387496713,0.5920843173869431,0.012004035279725489,0.03627719018580533,63,44,False,False,95e124dd51d3dc1a949d1b87e5322f87e28f20f3c53459d9e8ce088aaa9ec7fd
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.5519462122941052,0.6285609087108122,0.5351464387496713,0.5920843173869431,0.5463922485617349,0.6259897224250125,0.005553963732370382,0.002571186285799665,0.5351464387496713,0.5920843173869431,0.01679977354443396,0.036476591323869045,50,44,True,True,f5413a022a5075336607f01b1b325e1364ef553e42af503250f42c0e27cc297e
