family,discovery_lanes,strict_independent_passes,family_config_frozen,confirmation_lanes_run,reason
RNA_PROTEIN,A1_K10|TONSIL_S1_K4,0/2,False,NONE,FULL was dominated by matched shared/additive controls on both discovery lanes
RNA_CHROMATIN,P22_K9|PLACENTA_K10,2/2,False,NONE,local signal did not satisfy the cross-family and macro-delta taskbook gate
