lane,start_candidate,replay_process,status,candidate_count,bank_sha256,checkpoint_sha256
A1_K10,GEOM_FEATURE_NCUT_K24,fresh independent Python process,PASS,15,5c7461d8641e68b76174e0aab501e3a8644e6df2dab6faf0376da49a5fc5d808,fa1a2fc97b5a8ead286e65511a33b4b8347cccf35281fc326ab2a867f7416001
P22_K9,GEOM_LEIDEN_FEATURE,fresh independent Python process,PASS,15,81b876e65acb51631fe12e6de8c0e5ec6e2b341e5e12cd767a7a923dd93c9680,faf95a75eaea88e91e9af6bda46847c0d371cb9e33d98530412f6f5dbb8b3e2a
PLACENTA_K10,GEOM_LEIDEN_FEATURE,fresh independent Python process,PASS,15,bf2ab34feb993f375dc9b05b0db5e710800b566faf6e5f5f857d5701b90cf21d,e99bd6c15a99dff2f8e72657ad484b1e8323c91cfa5a58b0032b30ea799e252f
TONSIL_S1_K4,GEOM_FEATURE_NCUT_K24,fresh independent Python process,PASS,15,70bc428c4d8ab3583e79652ccf78167b19391c2957ee21730aa0950d4d77b99a,fd9a44ef7865a0e2be860ebbe536f1f18dc72d8024cec33776e0ae075bf2345b
