stage,dataset,candidate_id,seed,ari,nmi,q,spatial_neighbor_agreement,spatial_cluster_moran_mean,spatial_cluster_geary_mean,boundary_disagreement,runtime_seconds,gpu_peak_allocated_mib,run_manifest_sha256
R1,a1,N00,0,0.2729580921127103,0.4024043549480489,0.3376812235303796,0.5855019772930221,0.4802678123721029,0.5283847009408186,0.4144980227069779,13.34369901753962,768.0009765625,e881c5b0429780e8b96bd95a64be545ebfe1d3b06a0729f78f2e9e6171f20fa4
R1,a1,N00,1,0.2622912490191753,0.3827997907127039,0.3225455198659396,0.5775609133818089,0.4842400098276302,0.5230389280917416,0.4224390866181911,12.297935681417584,768.7822265625,24ae0349b744e593bfc8734560e9e36048c14db3ce39570c8ce23f3324021d59
R2,a1,N00,2,0.2736397135976252,0.3845672252890987,0.329103469443362,0.5835565760938896,0.4981459517239258,0.5107254620776323,0.4164434239061104,11.638948362320662,768.0009765625,fdecf7e310dd3f09391d754aa4f8bf51143bd6a2fd83916d48a04cda1e872186
R3,a1,N00,3,0.23901670144447143,0.3672017577971367,0.30310922962080405,0.5956276310753923,0.5396928568632529,0.4684962586083644,0.4043723689246077,14.721564243547618,768.0009765625,06e7fe8ec5bd17918851fedd0b833af242180e47888a0b616fff60c98de3c3d3
R3,a1,N00,4,0.26326997141014435,0.3826214897455333,0.3229457305778388,0.5954681719607092,0.5206332695319721,0.4875611962318098,0.4045318280392908,13.115473287180066,768.7822265625,89b26ef911397525f3202da5d1787da43ec30643f246a468b9bd06ac8ad1ad94
R1,a1,N01,0,0.2782212445983333,0.3885272143860609,0.3333742294921971,0.4705000637836459,0.3461970888132966,0.6633208258994576,0.5294999362163542,9.69259383250028,622.06494140625,c857cdbd2f3f850bcd161f17446184b9208dceedbe267d3a406a09837ddc85a0
R1,a1,N01,1,0.265955790274859,0.3771072921821,0.3215315412284795,0.4617617042990177,0.3493535531550609,0.6595721788009764,0.5382382957009822,10.505485231988132,622.06494140625,fc879a9d8e4838554aa5f5da06a35b007d34313d6b19106de76a4eb73a523009
R1,a1,N02,0,0.2620201770773736,0.3821450045650298,0.3220825908212017,0.469973848705192,0.3731212887068982,0.6339143507332008,0.530026151294808,10.468046934343874,625.28662109375,ad1cc86c6f7828325ff4ff8ceedd6d21702e5cf8ee87317d9d42d837fdb7f74e
R1,a1,N02,1,0.2398039394128653,0.3655437838146173,0.3026738616137413,0.4908470468171961,0.3961012618573605,0.6118817537030302,0.5091529531828038,12.46556091029197,625.28662109375,aa972a58cb445c1d66ce79cf000a32aaf00f87716979cdd39f60008cfbc6e2bc
R1,a1,N03,0,0.258776076129846,0.3890241759513008,0.3239001260405734,0.4986605434366628,0.4061837950100349,0.6010914598770815,0.5013394565633371,11.207767012529075,625.28662109375,a144f6e2b392494abd87334c142d223628b93b86fe2da25b27f4fdcc31beb4e0
R1,a1,N03,1,0.2436962726064423,0.3720536094224583,0.3078749410144503,0.5302493940553642,0.432018648190538,0.5774793405379881,0.4697506059446358,12.078850624151528,625.28662109375,0d0a9f9fa8cab26408fc86f99eb2da5772c8f15eefcde7511b0b3ad09e7c81d3
R1,a1,N04,0,0.2474620558391688,0.3833359434332881,0.3153989996362284,0.5381585661436408,0.4594207848820347,0.5481501527493056,0.4618414338563592,10.529080267064272,625.28662109375,c02656098980f58a4fd8afc497882af0f29e76ada3ed1908994f51974a687e02
R1,a1,N04,1,0.2593327276656942,0.3885775634881343,0.3239551455769143,0.5517604286261003,0.4549930635256526,0.5554147408634819,0.4482395713738997,10.819451494142411,625.28662109375,5190bf0c6197e2918280a552bca7e886dbbf738b6c6db0274adaea76422be44c
R1,a1,N05,0,0.2672914848955625,0.3917426474361539,0.3295170661658582,0.5655217502232428,0.4550784948712034,0.5543024870803782,0.4344782497767572,16.81921674963087,625.28662109375,f09121583e48ad16369fba2b3160e8daa465447e0b339d39d4247e89009ac939
R1,a1,N05,1,0.2679658388615896,0.3833899351501411,0.3256778870058653,0.5755198367138665,0.4718953949884205,0.5363261294587609,0.4244801632861334,16.497940944507718,625.28662109375,e805067e2d9c3b8c130f7016c4c7928f0d5c5799a49bef2d338f4ed13edb1489
R1,a1,N06,0,0.2507141526730821,0.3858930163537606,0.3183035845134214,0.5137294297742059,0.4283107312768156,0.5798878459722862,0.4862705702257941,18.17476320173592,625.28662109375,bcb122a80ed201c30bbb6560739f297a53c294f0ea1b5f41c98309b25ba415ca
R1,a1,N06,1,0.283105121355732,0.3875166481003345,0.3353108847280333,0.5589360887868351,0.4492564597177976,0.5584110992031731,0.4410639112131649,21.14074979070574,625.28662109375,6a01766b9268f1866a1fe919d4ef90622db5931ddaaa30b02ada064e983169b6
R1,a1,N07,0,0.2551439551948941,0.3759225953781503,0.3155332752865222,0.5841625207296849,0.4987887263440046,0.5082634205410373,0.4158374792703151,11.7468070872128,625.33349609375,0a8c4f00d18a53261236565d5c301a5db6f86eac8d4229b8d6b7af00e59d27a8
R1,a1,N07,1,0.2578064539654568,0.3892321498379496,0.3235193019017032,0.5905408853170048,0.48926262518383,0.5195911171956377,0.4094591146829952,11.271414086222649,625.33349609375,766853bcfc016eda4f7f6eb80b140688b0e0c3ae8282dfdc9897f57a0627a74a
R1,a1,N08,0,0.2605410822140446,0.384724496209603,0.3226327892118238,0.5794584768465365,0.5018411835528432,0.5053753241990135,0.4205415231534635,658.298556048423,785.0546875,fea7b7280176903752625a8c3894b5670a2f231c05fa6e19fe121592f3979a6e
R1,a1,N08,1,0.2691937261529604,0.3854653902644097,0.327329558208685,0.5879735935706085,0.5067242705387249,0.5016078556440826,0.4120264064293915,663.6130182342604,785.0546875,25620675ef6dd65d84f2a3ad9b1ed18eb2e5d5165f90c9267e0b561631f1fe7b
R1,a1,N09,0,0.2515975023193869,0.3788016751307255,0.3151995887250562,0.5697474167623421,0.4858038455999994,0.5224380408981615,0.4302525832376579,14.709599948488176,625.33349609375,35ec97d0d0e51c3d19c4fecfc31151647d023d4665f1ed2d527df0ec63dc48b5
R1,a1,N09,1,0.2657380126754122,0.384882441201511,0.3253102269384616,0.5864427860696517,0.4775311191185671,0.5299837968929093,0.4135572139303483,11.483451349660754,625.33349609375,5de3c933aab4b21ad78038bc869de3be510897e9734a138cb134ae424557440b
R1,a1,N10,0,0.2788344013436771,0.3939893015168115,0.3364118514302443,0.4679327720372496,0.3570314105787939,0.6497939796011174,0.5320672279627503,15.513200668618085,625.28662109375,b5efde6c82fa39a36173b97d168f9678384623e8eb4d425d2e5e20bca3be6042
R1,a1,N10,1,0.2606930641321577,0.3834205531292453,0.3220568086307015,0.4904802908534252,0.3800258398928805,0.6303077038323586,0.5095197091465749,14.770128746517004,625.28662109375,ab1e7966ef12cd2bf21f8b5abb85867fc1e624964d1d6a93818c07f9341185e8
