unit_id,dataset,seed,c00_affinity_sha_exact,c00_partition_exact,c06_affinity_max_abs,c06_affinity_within_1e_12,c06_affinity_sha_exact,c06_partition_exact,repeat_sha_exact
u000,a1,0,True,True,0.0,True,True,True,True
u001,a1,1,True,True,0.0,True,True,True,True
u002,a1,2,True,True,0.0,True,True,True,True
u003,a1,3,True,True,0.0,True,True,True,True
u004,a1,4,True,True,0.0,True,True,True,True
u005,tonsil,0,True,True,0.0,True,True,True,True
u006,tonsil,1,True,True,0.0,True,True,True,True
u007,tonsil,2,True,True,0.0,True,True,True,True
u008,tonsil,3,True,True,0.0,True,True,True,True
u009,tonsil,4,True,True,0.0,True,True,True,True
u010,d1,0,True,True,0.0,True,True,True,True
u011,d1,1,True,True,0.0,True,True,True,True
u012,d1,2,True,True,0.0,True,True,True,True
u013,d1,3,True,True,0.0,True,True,True,True
u014,d1,4,True,True,0.0,True,True,True,True
u015,d1,5,True,True,0.0,True,True,True,True
u016,d1,6,True,True,0.0,True,True,True,True
u017,d1,7,True,True,0.0,True,True,True,True
u018,d1,8,True,True,0.0,True,True,True,True
u019,d1,9,True,True,0.0,True,True,True,True
u020,p22,0,True,True,0.0,True,True,True,True
u021,p22,1,True,True,0.0,True,True,True,True
u022,p22,2,True,True,0.0,True,True,True,True
u023,p22,3,True,True,0.0,True,True,True,True
u024,p22,4,True,True,0.0,True,True,True,True
u025,p22,5,True,True,0.0,True,True,True,True
u026,p22,6,True,True,0.0,True,True,True,True
u027,p22,7,True,True,0.0,True,True,True,True
u028,p22,8,True,True,0.0,True,True,True,True
u029,p22,9,True,True,0.0,True,True,True,True
