stage,recipe_id,unit_id,dataset,seed,status,checkpoint_sha256,state_tensor_sha256,embedding_sha256,gate_sha256,reload_status,reload_embedding_exact,reload_gate_exact,fresh_process
R1,R07,u001,a1,1,success,2fd9bc3d1a1b391a0f00e51217ab6d2271b2068a3597a73ca37d9a0001d2d9c6,3284e3ed48c819f8d9afe9a045995040b41ccfd57fee44376dbd4528cae20cf0,ce85288c6067e3e104f81f1c20f4484760d9070b7184210ff4b85c40588020a9,70339257fc17206e513e9d2f1e97c039ab23f9031439abbc9d16b357b8191807,PASS,True,True,True
R1,R07,u005,tonsil,0,success,1f5b212c95c950ca4aba3a2918e5aed437d69aec746e3c0051a4d0be1b609cba,8c6f0e637cea454ac553e3c716ee316df8d99576b0edf0ea457017b3878c86a2,1114b5801c096a39e8353f78c5085d7667e094254ff2b8bc19a32f830549abb3,3e82c1745eedc686e24d4f726510077f8c620154e0aac6857aa1f62c3135a540,PASS,True,True,True
R1,R07,u006,tonsil,1,success,a549bd1940af8ab416b974b949c94b83ce0b145614af4323ca0c1e7bbfde6daf,6325a285bcf54305e737c930cd7714b1e0176f1fe5cf85ff029a51b4eb7ce764,ee573872de68959eae65957e7a424bf200fcbde594355602f70786c2608eff00,5dcaca5d6894bbc1755c702518afdb7a879edc9baa2a30bd79e5044659956228,PASS,True,True,True
R1,R07,u010,d1,0,success,e6e4d9c1e1cdc85486c5aaa2ac55577bb32dbbb0e98baa6ae68d1c3eb1118edc,6b770ea6711449190c54cabd713561900432f131a2fd8b86a7596d8c89307281,e6642e6f184a414519547e4a56439f8dde7092474225ee894f5ab6d393ebb898,8d48e74777dc392ec32d8a5f9337533b55b052ab600d3c483f3c7b5be4eb0512,PASS,True,True,True
R1,R07,u011,d1,1,success,7b6b043d255961228a7610b8f0038ddeeb5d2dbab531f86da90b6b5def46fd48,b1809feaf86e7884169fb129c3d4e15dc17603fe37e45861958cd7856850d2af,57592d2c3a7066489a0e7bda1908ee445cc31b7397f72583f650efdc10a06375,1b1f278ad49b6cbec580115ff1444362d9c32c0a8c2a24bd50133accb13a904b,PASS,True,True,True
R1,R07,u020,p22,0,success,05932e4d181ce19343514fd0fe3ea32226adc2f5441f7e3f99fac8ca80cbda77,52b5378fefdc8fddaf195feb2e5ab643b2d74cd7501eb63308ae76244db39cbe,93115b26ee7cafe14ba1a2a4c0009687c24745f41918149cd7f791f084550b7f,b1b16b6fe284dc817344a41b8563505e89c14df662b143ba1e4e5915bf935631,PASS,True,True,True
R1,R07,u021,p22,1,success,7e4f3c06cba638d7f5cccf538ad71ea299851a23954c88d09a4637ce57fba258,0aa478b027b0f483c2cf904ff8a605d02533a44040d84e5d81fc65987b9656b1,3fe8870ff64dab608a65308248135e7f73ea0bd5512e829b49ebb1af46866691,5d6567754af344e7371b60c028127f75cb693c65885a6b4078fcbd7719593e0f,PASS,True,True,True
R1,R08,u000,a1,0,success,0471449a6c728e1515d3f9b014cadd628733cfa3cfada2c256f9de9085b27035,16b8262efedf2fdd506aa5dbd21573f3fb00422cdee37e2e57370620f0c975be,4130274c5e2d78aae6e3d4230b9cec6b64f4c867e60554003a372380668c0ef9,0b97939075735302970f3f034151c58c0d2a6e74f2ccfbf6b12de2302fbfd847,PASS,True,True,True
R1,R08,u001,a1,1,success,1694c7377535464d016fd06a78fd60b28a202716dd173abfd002665b678628be,6022a23e7cacbf855e3c8139cb463ac6e6765b25b1be47c5a1183a6e46e06703,5f34e7b9139e159a0b0f891092da1f1fafc64fa5df627df70a43be8875bfd5bc,4c4732ec135d2d67598fc874109983eef06c96865f634591b78bdbf2806f4d1a,PASS,True,True,True
R1,R08,u005,tonsil,0,success,b0180c7f61cb18504969e8fc1687ad588350acf4f43b70ccb8432a9f202e5e43,50aeed453c0bca9412a723ac30c5a43ee7ad263b1cdb7569cf6acbdd580870c2,ca4fa5f06f10ec587160b8b4afc1894e6a217ca2cb48ceaaa90e8c4647aac136,0d0660db3459064b17b3afc4a45070881eb66fa51642c4534918965108f0d58d,PASS,True,True,True
