loss,present_config_count,absent_config_count,present_mean_priority_delta_q,absent_mean_priority_delta_q,descriptive_present_minus_absent,present_best_priority_delta_q,interpretation
RECON,40,0,0.015332595373975346,,,0.0338523442077268,descriptive_noncausal_registered_recipe_comparison
RELKL,32,8,0.014957948865027739,0.016737519782528874,-0.0017795709175011352,0.0317942827336939,descriptive_noncausal_registered_recipe_comparison
CLIP,12,28,0.007127292686532447,0.01911965815279515,-0.011992365466262703,0.0251802553245769,descriptive_noncausal_registered_recipe_comparison
MNN,16,24,0.017835521093252742,0.01387255537106353,0.003962965722189212,0.0338523442077268,descriptive_noncausal_registered_recipe_comparison
MASK,8,32,-0.005099407625935975,0.020781129507285036,-0.025880537133221013,0.0078595483896822,descriptive_noncausal_registered_recipe_comparison
SEMANTIC,8,32,0.009432274131590973,0.016906014371944514,-0.0074737402403535404,0.0271139437888847,descriptive_noncausal_registered_recipe_comparison
MOE_BALANCE,12,28,0.012754328487139444,0.016253404976416745,-0.0034990764892773012,0.0317942827336939,descriptive_noncausal_registered_recipe_comparison
DCCA,4,36,-0.0044082586834361,0.01765504879249434,-0.02206330747593044,0.0077472531750569,descriptive_noncausal_registered_recipe_comparison
