config_id,registry_order,success_cells,failure_cells,a1_success,a1_mean_ari,a1_mean_delta_ari,a1_wins_ari,a1_std_ari,a1_mean_nmi,a1_mean_delta_nmi,a1_wins_nmi,a1_std_nmi,a1_mean_q,a1_mean_delta_q,a1_wins_q,a1_std_q,a1_mean_neighbor_agreement,a1_mean_delta_neighbor_agreement,a1_wins_neighbor_agreement,a1_std_neighbor_agreement,a1_mean_moran_i,a1_mean_delta_moran_i,a1_wins_moran_i,a1_std_moran_i,a1_mean_geary_c,a1_mean_delta_geary_c,a1_wins_geary_c,a1_std_geary_c,a1_mean_boundary_disagreement,a1_mean_delta_boundary_disagreement,a1_wins_boundary_disagreement,a1_std_boundary_disagreement,tonsil_success,tonsil_mean_ari,tonsil_mean_delta_ari,tonsil_wins_ari,tonsil_std_ari,tonsil_mean_nmi,tonsil_mean_delta_nmi,tonsil_wins_nmi,tonsil_std_nmi,tonsil_mean_q,tonsil_mean_delta_q,tonsil_wins_q,tonsil_std_q,tonsil_mean_neighbor_agreement,tonsil_mean_delta_neighbor_agreement,tonsil_wins_neighbor_agreement,tonsil_std_neighbor_agreement,tonsil_mean_moran_i,tonsil_mean_delta_moran_i,tonsil_wins_moran_i,tonsil_std_moran_i,tonsil_mean_geary_c,tonsil_mean_delta_geary_c,tonsil_wins_geary_c,tonsil_std_geary_c,tonsil_mean_boundary_disagreement,tonsil_mean_delta_boundary_disagreement,tonsil_wins_boundary_disagreement,tonsil_std_boundary_disagreement,d1_success,d1_mean_ari,d1_mean_delta_ari,d1_wins_ari,d1_std_ari,d1_mean_nmi,d1_mean_delta_nmi,d1_wins_nmi,d1_std_nmi,d1_mean_q,d1_mean_delta_q,d1_wins_q,d1_std_q,d1_mean_neighbor_agreement,d1_mean_delta_neighbor_agreement,d1_wins_neighbor_agreement,d1_std_neighbor_agreement,d1_mean_moran_i,d1_mean_delta_moran_i,d1_wins_moran_i,d1_std_moran_i,d1_mean_geary_c,d1_mean_delta_geary_c,d1_wins_geary_c,d1_std_geary_c,d1_mean_boundary_disagreement,d1_mean_delta_boundary_disagreement,d1_wins_boundary_disagreement,d1_std_boundary_disagreement,p22_success,p22_mean_ari,p22_mean_delta_ari,p22_wins_ari,p22_std_ari,p22_mean_nmi,p22_mean_delta_nmi,p22_wins_nmi,p22_std_nmi,p22_mean_q,p22_mean_delta_q,p22_wins_q,p22_std_q,p22_mean_neighbor_agreement,p22_mean_delta_neighbor_agreement,p22_wins_neighbor_agreement,p22_std_neighbor_agreement,p22_mean_moran_i,p22_mean_delta_moran_i,p22_wins_moran_i,p22_std_moran_i,p22_mean_geary_c,p22_mean_delta_geary_c,p22_wins_geary_c,p22_std_geary_c,p22_mean_boundary_disagreement,p22_mean_delta_boundary_disagreement,p22_wins_boundary_disagreement,p22_std_boundary_disagreement,complete_eligible,priority_weighted_q,priority_weighted_delta_q,priority_weighted_delta_ari,priority_weighted_delta_nmi,balanced_macro_q,balanced_macro_delta_q,human_lymph_equal_mean_delta_q,worst_dataset_delta_q,total_q_wins,mean_runtime_seconds,mean_peak_gpu_mib
R02__E1_ADAPTER_C06_MEAN__H01,0,30,0,5,0.2627352722852963,-0.006470180171725748,0,0.005543611231695552,0.4021989134511017,-0.0064749712890990515,1,0.0036455804664895647,0.33246709286819903,-0.006472575730412378,1,0.0040715491981225035,0.6265876914186652,-0.0015082346142733182,2,0.007675678349951851,0.5588034642957392,-0.0017981704162580714,2,0.010258814251707306,0.4530666045948772,0.00042724624694592264,3,0.009614109448267339,0.3734123085813349,0.0015082346142733295,3,0.007675678349951837,5,0.14902841967223682,-0.003925985064154919,0,0.004212111033379844,0.26643387921061795,-0.006288786598338703,0,0.004106431906021011,0.2077311494414274,-0.005107385831246808,0,0.002873946688931866,0.7177702437786849,-0.0035286791669549623,2,0.007021966216415546,0.5797699210719405,0.003122691810835998,4,0.004711807017356133,0.4174722426129824,-0.0031828261369934554,1,0.004252438245510929,0.2822297562213151,0.003528679166954973,3,0.007021966216415549,10,0.2361112859381303,-0.005089310625870311,2,0.008681655668449974,0.3798156893374832,0.0021596418027039765,7,0.007576159467596836,0.30796348763780673,-0.0014648344115831768,4,0.007746726001446025,0.6352742186564483,0.006654891629744952,9,0.004918448015426025,0.5765473658540576,0.011789411034536767,9,0.007881228226917883,0.4326320267591872,-0.0119825944191367,1,0.007809973048693825,0.3647257813435517,-0.00665489162974493,1,0.004918448015426028,10,0.503579568746274,0.08330589081440772,10,0.007732772656187664,0.6504231741663115,0.06011681993013444,10,0.005673240166214877,0.5770013714562927,0.07171135537227107,10,0.006535251119439454,0.9043892248488181,0.008667399670148467,10,0.002684048168603883,0.8614333902528598,0.01957178850075566,10,0.004368792193833382,0.13956187383802487,-0.01903552429071622,0,0.0041472063352656656,0.09561077515118195,-0.008667399670148429,0,0.0026840481686038766,True,0.393217797552418,0.022348513970108962,0.025678291326020446,0.01901873661419748,0.35629077535093145,0.014666639849757176,-0.003968705070997777,-0.006472575730412378,15,26.289564635045828,170.145361328125
R02__E1_ADAPTER_C06_MEAN__H02,1,30,0,5,0.2627352722852963,-0.006470180171725748,0,0.005543611231695552,0.4021989134511017,-0.0064749712890990515,1,0.0036455804664895647,0.33246709286819903,-0.006472575730412378,1,0.0040715491981225035,0.6265876914186652,-0.0015082346142733182,2,0.007675678349951851,0.5588034642957392,-0.0017981704162580714,2,0.010258814251707306,0.4530666045948772,0.00042724624694592264,3,0.009614109448267339,0.3734123085813349,0.0015082346142733295,3,0.007675678349951837,5,0.14902841967223682,-0.003925985064154919,0,0.004212111033379844,0.26643387921061795,-0.006288786598338703,0,0.004106431906021011,0.2077311494414274,-0.005107385831246808,0,0.002873946688931866,0.7177702437786849,-0.0035286791669549623,2,0.007021966216415546,0.5797699210719405,0.003122691810835998,4,0.004711807017356133,0.4174722426129824,-0.0031828261369934554,1,0.004252438245510929,0.2822297562213151,0.003528679166954973,3,0.007021966216415549,10,0.2361112859381303,-0.005089310625870311,2,0.008681655668449974,0.3798156893374832,0.0021596418027039765,7,0.007576159467596836,0.30796348763780673,-0.0014648344115831768,4,0.007746726001446025,0.6352742186564483,0.006654891629744952,9,0.004918448015426025,0.5765473658540576,0.011789411034536767,9,0.007881228226917883,0.4326320267591872,-0.0119825944191367,1,0.007809973048693825,0.3647257813435517,-0.00665489162974493,1,0.004918448015426028,10,0.503579568746274,0.08330589081440772,10,0.007732772656187664,0.6504231741663115,0.06011681993013444,10,0.005673240166214877,0.5770013714562927,0.07171135537227107,10,0.006535251119439454,0.9043892248488181,0.008667399670148467,10,0.002684048168603883,0.8614333902528598,0.01957178850075566,10,0.004368792193833382,0.13956187383802487,-0.01903552429071622,0,0.0041472063352656656,0.09561077515118195,-0.008667399670148429,0,0.0026840481686038766,True,0.393217797552418,0.022348513970108962,0.025678291326020446,0.01901873661419748,0.35629077535093145,0.014666639849757176,-0.003968705070997777,-0.006472575730412378,15,26.289564635045828,170.145361328125
R08__E1_ADAPTER_C06_MEAN__H01,2,30,0,5,0.2610004888850962,-0.00820496357192586,0,0.006404753361612129,0.3974837059257065,-0.011190178814494212,0,0.00426729087652233,0.3292420974054014,-0.00969757119321003,0,0.004828648246659928,0.6617567177116441,0.033660791678705594,5,0.01045957639924297,0.5988010304236117,0.03819939571161435,5,0.010521068735720571,0.41343886276702274,-0.039200495580908525,0,0.010091499834583283,0.33824328228835593,-0.03366079167870558,0,0.010459576399242951,5,0.15117853028714484,-0.0017758744492468947,1,0.019704385217936243,0.26640743388077076,-0.0063152319281858825,1,0.007051190545525493,0.2087929820839578,-0.004045553188716355,1,0.013291377551940958,0.7202933646993703,-0.0010055582462695557,2,0.004860234427920545,0.592440068706593,0.015792839445488684,5,0.011184230291224779,0.40548869770952034,-0.015166371040455484,0,0.010657199835789196,0.2797066353006296,0.0010055582462695557,3,0.004860234427920525,10,0.25174365106256574,0.010543054498565138,8,0.014811180128727897,0.38317576719319557,0.005519719658416344,8,0.008185875741464996,0.3174597091278807,0.008031387078490732,9,0.01121831432103621,0.6663004430607113,0.0376811160340079,10,0.008959385133164402,0.6065133848959677,0.04175543007644685,10,0.013171355203066821,0.4027915875571278,-0.04182303362119616,0,0.01286484573485895,0.33369955693928877,-0.037681116034007874,0,0.008959385133164402,10,0.475322524710045,0.055048846778178694,10,0.011388167289126562,0.6368493596291895,0.04654300539301254,10,0.00792552145084983,0.5560859421696172,0.05079592608559562,10,0.00933128433754013,0.9130984057174271,0.01737658053875759,10,0.003958975657080688,0.8847024821451528,0.042840880393048564,10,0.006485461830951341,0.1174698500143568,-0.04112754811438427,0,0.005908124098794435,0.08690159428257281,-0.01737658053875755,0,0.003958975657080667,True,0.38762447870528016,0.01675519512297119,0.019585237936635327,0.013925152309307038,0.35289518269671427,0.011271047195539992,-0.0008330920573596488,-0.00969757119321003,20,28.29498818187664,714.75615234375
R08__E1_ADAPTER_C06_MEAN__H02,3,30,0,5,0.2610004888850962,-0.00820496357192586,0,0.006404753361612129,0.3974837059257065,-0.011190178814494212,0,0.00426729087652233,0.3292420974054014,-0.00969757119321003,0,0.004828648246659928,0.6617567177116441,0.033660791678705594,5,0.01045957639924297,0.5988010304236117,0.03819939571161435,5,0.010521068735720571,0.41343886276702274,-0.039200495580908525,0,0.010091499834583283,0.33824328228835593,-0.03366079167870558,0,0.010459576399242951,5,0.15117853028714484,-0.0017758744492468947,1,0.019704385217936243,0.26640743388077076,-0.0063152319281858825,1,0.007051190545525493,0.2087929820839578,-0.004045553188716355,1,0.013291377551940958,0.7202933646993703,-0.0010055582462695557,2,0.004860234427920545,0.592440068706593,0.015792839445488684,5,0.011184230291224779,0.40548869770952034,-0.015166371040455484,0,0.010657199835789196,0.2797066353006296,0.0010055582462695557,3,0.004860234427920525,10,0.25174365106256574,0.010543054498565138,8,0.014811180128727897,0.38317576719319557,0.005519719658416344,8,0.008185875741464996,0.3174597091278807,0.008031387078490732,9,0.01121831432103621,0.6663004430607113,0.0376811160340079,10,0.008959385133164402,0.6065133848959677,0.04175543007644685,10,0.013171355203066821,0.4027915875571278,-0.04182303362119616,0,0.01286484573485895,0.33369955693928877,-0.037681116034007874,0,0.008959385133164402,10,0.475322524710045,0.055048846778178694,10,0.011388167289126562,0.6368493596291895,0.04654300539301254,10,0.00792552145084983,0.5560859421696172,0.05079592608559562,10,0.00933128433754013,0.9130984057174271,0.01737658053875759,10,0.003958975657080688,0.8847024821451528,0.042840880393048564,10,0.006485461830951341,0.1174698500143568,-0.04112754811438427,0,0.005908124098794435,0.08690159428257281,-0.01737658053875755,0,0.003958975657080667,True,0.38762447870528016,0.01675519512297119,0.019585237936635327,0.013925152309307038,0.35289518269671427,0.011271047195539992,-0.0008330920573596488,-0.00969757119321003,20,28.29498818187664,714.75615234375
