stage,recipe_id,unit_id,dataset,seed,epochs,initial_total,final_total,loss_curve_sha256,initial_RECON,final_RECON,initial_RELKL,final_RELKL,initial_CLIP,final_CLIP,initial_MNN,final_MNN,initial_MASK,final_MASK,initial_SEMANTIC,final_SEMANTIC,initial_MOE_BALANCE,final_MOE_BALANCE,initial_DCCA,final_DCCA
R1,R00,u000,a1,0,160,0.3132498562335968,0.2246353924274444,5ab97a7c122e0ace9ca81cf2df87406a5506475c92a76d49e566f88bc1a522cf,0.0253599565476179,0.0049189934507012,0.2878898978233337,0.2197163999080658,,,,,,,,,,,,
R1,R00,u001,a1,1,160,0.3235491812229156,0.2243584394454956,62efbfe1555395153fb4c32d8200ac08cda40759f59e614921bc2d01b13e9240,0.0258765649050474,0.0051907962188124,0.2976726293563843,0.2191676497459411,,,,,,,,,,,,
R1,R00,u005,tonsil,0,160,0.2096783369779586,0.149137258529663,b35abbff30b4e5c1ca233ab3cb97f22f660fe95fde39d2d740c82e9c2e05bbbc,0.0257566533982753,0.0035677242558449,0.183921679854393,0.1455695331096649,,,,,,,,,,,,
R1,R00,u006,tonsil,1,160,0.2078884094953537,0.1471516489982605,51575e9e71844be78d9342f1c6e6d0068cbbc0e76a0ed5453d4491e41cf41bc4,0.025803817436099,0.0034950897097587,0.1820845901966095,0.1436565518379211,,,,,,,,,,,,
R1,R00,u010,d1,0,160,0.3723751604557037,0.2578857541084289,84f6a848f49a943412b77600c190261d3b1aaa5c3f153188c3b436ea07d74d02,0.0256799664348363,0.0056475303135812,0.3466951847076416,0.2522382140159607,,,,,,,,,,,,
R1,R00,u011,d1,1,160,0.3650101721286773,0.2606737613677978,3a392f8b819c24b58396a32d3fd64ad61523c8802c20af97207a33832d07113c,0.026373166590929,0.0058712633326649,0.3386369943618774,0.2548024952411651,,,,,,,,,,,,
R1,R00,u020,p22,0,160,0.62515789270401,0.4705769121646881,e0f6bd85befaef6e6c8b19bad8f56facc9d457b481d2ca98f610ce5dfa94e66f,0.0181971862912178,0.0066731474362313,0.6069607138633728,0.4639037549495697,,,,,,,,,,,,
R1,R00,u021,p22,1,160,0.6507683992385864,0.4788116812705993,c1989daaeaddf6dd99b8f4ddcc97efec5664219cbd57b9f15159b8443ebed3cb,0.0182403810322284,0.0066213621757924,0.6325280070304871,0.4721903204917907,,,,,,,,,,,,
R1,R01,u000,a1,0,160,1.8145133256912231,0.782232940196991,e932035479bd62225e894fa867aef1f3303960ceb326a378e9ab5e2a91a890de,0.0253599565476179,0.003913736436516,,,8.94576644897461,3.8915958404541016,,,,,,,,,,
R1,R01,u001,a1,1,160,1.7987799644470217,0.798270046710968,41cbaaacf29a1740b9214faf990a44befb03f725cd3ef1a281b44a7f7c79acdb,0.0258765649050474,0.0039464170113205,,,8.864517211914062,3.971618175506592,,,,,,,,,,
R1,R01,u005,tonsil,0,160,1.8632879257202148,0.8983191251754761,c1e4e983926972de1424d04cdeb40be5a516c2e6e8ac54438b3c4aece78653f4,0.0257566533982753,0.0027376075740903,,,9.18765640258789,4.477907657623291,,,,,,,,,,
R1,R01,u006,tonsil,1,160,1.8160942792892456,0.8867879509925842,f181214ee1796da2ace92294f8c6364ccb986608fb5bf3c8cfc4381288d99a8b,0.025803817436099,0.0027582487091422,,,8.951452255249023,4.4201483726501465,,,,,,,,,,
R1,R01,u010,d1,0,160,1.750550627708435,0.7380739450454712,b70489d66e4a67e974bb77bd49727597e2f61a9e34e7f4cbf72f961c8c849a97,0.0256799664348363,0.0044178590178489,,,8.624353408813477,3.6682803630828857,,,,,,,,,,
R1,R01,u011,d1,1,160,1.8381247520446775,0.7484087944030762,65710ff8c31792f9662d44bec1517ea8f073c66063e511630b963219d3b30358,0.026373166590929,0.00457748118788,,,9.058757781982422,3.7191567420959473,,,,,,,,,,
R1,R01,u020,p22,0,160,1.976381778717041,0.5569575428962708,57bfe48c03993c5c1f608503f0e8db289c14ddb19e2d0bfca557ef4e6f54a6a9,0.0181971862912178,0.0064103556796908,,,9.790923118591309,2.7527358531951904,,,,,,,,,,
R1,R01,u021,p22,1,160,1.993761777877808,0.5585829019546509,0f112ec7da03406e9a0e61be3d5cd49f8d10cdc18f4f493829e221cb338be301,0.0182403810322284,0.0064553124830126,,,9.877607345581056,2.7606379985809326,,,,,,,,,,
R1,R02,u000,a1,0,160,0.0596687868237495,0.0043909116648137,e22624679907fe870351be66da0d178ae8eaa09d44c17b17d5fc17d4420fdae5,0.0253599565476179,0.0041435859166085,,,,,0.1715441346168518,0.0012366281589493,,,,,,,,
R1,R02,u001,a1,1,160,0.0673152729868888,0.0048083313740789,50232287722d9a72f4e04db6033e78576563ce83c1b972b0a8881081f9e21da1,0.0258765649050474,0.0044681052677333,,,,,0.207193523645401,0.0017011314630508,,,,,,,,
R1,R02,u005,tonsil,0,160,0.0452564768493175,0.0028680006507784,282c968caa0236615567cab3363541ebbc7dd0cf4464cabc1e6a7bdc803bf5b0,0.0257566533982753,0.0028463895432651,,,,,0.0974991172552108,0.0001080549627658,,,,,,,,
R1,R02,u006,tonsil,1,160,0.0564990453422069,0.0028936960734426,ad6864a8926961970ec192a817a3763894fcbe565879f91e8d279958a00de39e,0.025803817436099,0.0028646634891629,,,,,0.153476133942604,0.0001451632706448,,,,,,,,
R1,R02,u010,d1,0,160,0.0660628825426101,0.0051037492230534,133edb62c69eef09f8dd9d87ecc9041e2fbc82a8243fece5253ae4e047b7bcd1,0.0256799664348363,0.0047805486246943,,,,,0.2019145935773849,0.0016160038067027,,,,,,,,
R1,R02,u011,d1,1,160,0.0696747377514839,0.0052278698422014,8fe397f9686f7a73e6785ac6756a73801a0382d504208b4f6cf53f6143e60634,0.026373166590929,0.004911889322102,,,,,0.2165078520774841,0.0015799021348357,,,,,,,,
R1,R02,u020,p22,0,160,0.090565375983715,0.0066297785378992,f6dc11eaecb47d3b4096f77197e9d445097f9ff841b15d05a615b35eacf10885,0.0181971862912178,0.0059511298313736,,,,,0.3618409335613251,0.0033932439982891,,,,,,,,
R1,R02,u021,p22,1,160,0.0861085206270217,0.0063950805924832,6321d4a5a212196fd3f00040891e7e5f96801feb8bafce49e55ecb31c5a4c54b,0.0182403810322284,0.005893568508327,,,,,0.3393407166004181,0.0025075601879507,,,,,,,,
R1,R03,u000,a1,0,160,2.102403163909912,1.012554168701172,389838fd58210056e0ab81270c80a1f52545164d9d024b6a28b6f862cd07e516,0.0253599565476179,0.0054814098402857,0.2878898978233337,0.2274734079837799,8.94576644897461,3.897996664047241,,,,,,,,,,
R1,R03,u001,a1,1,160,2.0964527130126958,1.024052977561951,58672eec4d33143b8af444b24802c5ebef92d1474314244907c4f6921b500ab4,0.0258765649050474,0.0056294817477464,0.2976726293563843,0.2261919230222702,8.864517211914062,3.96115779876709,,,,,,,,,,
R1,R03,u005,tonsil,0,160,2.0472097396850586,1.0491712093353271,25d021b236e3aed231191757a0803c9de1fcb98383d2ed59047c823a12db6027,0.0257566533982753,0.0041486378759145,0.183921679854393,0.1507984399795532,9.18765640258789,4.471120357513428,,,,,,,,,,
