ablation,ablation_config_json,absolute_ari,absolute_nmi,algorithm,ami,changed_observations,cluster_sizes,config_id,config_json,delta_ari,delta_nmi,evaluated_observations,failure,family,fmi,full_config_id,gearys_c,initial_partition_sha256,is_matched_full,k,lane,max_neighbor_mass,max_row_mass,mean_agreement_gate,mean_edge_conflict,mean_edge_weight,mean_neighbor_mass,mean_prototype_margin,mean_retained_weight,mean_self_return,mean_view1_weight,mean_view2_weight,min_cluster_size,min_neighbor_mass,min_row_mass,morans_i,night15d_ari,night15d_nmi,objective,observed_cardinality,partition_sha256,stage,status,study,sweeps_completed,total_moves,total_observations,wall_seconds
FULL,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.2752927992564834,0.4199077568017935,CONTINUOUS_RELIABILITY_ENERGY,0.41611977669809175,11.0,"[274,775,577,181,311,793,158,109,121,185]",A1__CEM_I05_011__FULL,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.0009126435454941961,0.0013587807029885046,3484,,RNA_PROTEIN,0.41599227072287903,A1__CEM_I05_011,0.4545208417448164,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,True,10,A1,0.5567840933799744,1.0000001192092896,0.6389919519424438,0.19103050231933594,0.5948881506919861,0.55244380235672,0.7343446016311646,0.7436038255691528,0.44755619764328003,0.17539601027965546,0.08100011944770813,109.0,0.5432593822479248,0.9999998211860657,0.5487009975818602,0.2743801557109892,0.418548976098805,0.42226051413711113,10.0,70cd702e61556ecb586fc7cfab0ab88af57e4ed51dbcff7b69efd9df50870696,MATCHED_ABLATION,PASS,LYMPH_NODE,2.0,11.0,3484,0.07656159999896772
UNIFORM_EDGE_EVIDENCE,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0001,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.9999,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.27497402096943774,0.419686799004457,CONTINUOUS_RELIABILITY_ENERGY,0.41589762462100294,15.0,"[275,775,576,181,311,793,159,109,121,184]",A1__CEM_I05_011__UNIFORM_EDGE_EVIDENCE,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0001,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.9999,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.0005938652584485116,0.0011378229056520084,3484,,RNA_PROTEIN,0.4157123477974419,A1__CEM_I05_011,0.4521340559089538,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,False,10,A1,0.5573385953903198,1.0000001192092896,0.6389919519424438,0.19103050231933594,0.9680659174919128,0.5572676062583923,0.7335956692695618,0.7440944910049438,0.44273242354393005,0.1744556576013565,0.08144980669021606,109.0,0.5572060942649841,0.9999998807907104,0.5511569149241978,0.2743801557109892,0.418548976098805,0.42186440062099767,10.0,a97f94df324a4d5667530156936cb5be23f8cfbf1e291c5b6176316d6dce29d8,MATCHED_ABLATION,PASS,LYMPH_NODE,4.0,15.0,3484,0.1361561000085203
NO_REJECTED_MASS_SELF_RETURN,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-2.0,""mass_temperature"":0.005,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":1.0,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.21830392395770346,0.37400829566292304,CONTINUOUS_RELIABILITY_ENERGY,0.3698981791531135,819.0,"[268,805,485,200,265,890,121,129,144,177]",A1__CEM_I05_011__NO_REJECTED_MASS_SELF_RETURN,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-2.0,""mass_temperature"":0.005,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":1.0,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",-0.05607623175328577,-0.04454068043588194,3484,,RNA_PROTEIN,0.37092513734548527,A1__CEM_I05_011,0.2493890931490807,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,False,10,A1,1.0,1.000000238418579,0.6389919519424438,0.19103050231933594,0.5948881506919861,1.0,0.7692874670028687,0.7494467496871948,0.0,0.1583336442708969,0.09221959114074707,121.0,1.0,0.9999998211860657,0.7531681007722882,0.2743801557109892,0.418548976098805,0.34920682743972653,10.0,64183429cbc08c7ac43664ac3a12678634012e51ba0d7c23e8d337632bde2020,MATCHED_ABLATION,PASS,LYMPH_NODE,5.0,852.0,3484,0.1776366000121925
RETAINED_UNARY_DOMINANT,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":8.0,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.02,""view_balance"":0.0}",0.2731874719271639,0.41834301025073506,CONTINUOUS_RELIABILITY_ENERGY,0.4145440358218805,20.0,"[274,773,575,181,312,798,156,110,121,184]",A1__CEM_I05_011__RETAINED_UNARY_DOMINANT,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":8.0,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.02,""view_balance"":0.0}",-0.0011926837838253102,-0.00020596584806992224,3484,,RNA_PROTEIN,0.41428851036399805,A1__CEM_I05_011,0.45163271585372977,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,False,10,A1,0.5567840933799744,1.0000001192092896,0.6389919519424438,0.19103050231933594,0.5948881506919861,0.55244380235672,0.7369452118873596,0.5648453831672668,0.44755619764328003,0.20070989429950714,0.23444469273090363,110.0,0.5432593822479248,0.9999998211860657,0.5515125753573576,0.2743801557109892,0.418548976098805,0.4196075255149212,10.0,a2b9056831b45abffaf8fbb3a0a23abb79ad471ad000cb7ef9c7d748812850fc,MATCHED_ABLATION,PASS,LYMPH_NODE,5.0,20.0,3484,0.1657506000046851
SINGLE_SCALE_DOMINANT,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.0001,""low_weight"":0.0001,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.0001,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.2734357780718577,0.4173981733801524,CONTINUOUS_RELIABILITY_ENERGY,0.4135932462514189,12.0,"[271,778,577,181,314,791,155,109,122,186]",A1__CEM_I05_011__SINGLE_SCALE_DOMINANT,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.0001,""low_weight"":0.0001,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.8747771935920972,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.0001,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",-0.0009443776391315217,-0.0011508027186525882,3484,,RNA_PROTEIN,0.4144739994992689,A1__CEM_I05_011,0.4556838975010913,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,False,10,A1,0.5567840933799744,1.0000001192092896,0.6389919519424438,0.19103050231933594,0.5948881506919861,0.55244380235672,0.7010552287101746,0.7499628067016602,0.44755619764328003,0.15652883052825928,0.09350839257240295,109.0,0.5432593822479248,0.9999998211860657,0.5476119914754338,0.2743801557109892,0.418548976098805,0.41952513875491104,10.0,fbfb2d03575954873d2155c7b9d19fcd6c8abc106115cc6fb0fd74213d929e82,MATCHED_ABLATION,PASS,LYMPH_NODE,3.0,12.0,3484,0.10287139999854844
TRUST_TERM_NEAR_ZERO,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.0001,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.2749231782983389,0.41952315640348176,CONTINUOUS_RELIABILITY_ENERGY,0.41573220344942674,13.0,"[274,774,577,181,311,795,157,109,121,185]",A1__CEM_I05_011__TRUST_TERM_NEAR_ZERO,"{""beta"":5.295531993069,""conflict_center"":0.3343122296500229,""conflict_penalty"":0.0474381261805809,""conflict_temperature"":0.23651578270976603,""conflict_union_weight"":0.5219875134145195,""edge_floor"":0.3657063635985952,""high_weight"":0.9800848655496802,""low_weight"":0.16718778407755552,""mass_center"":-0.3161013581382013,""mass_temperature"":0.19072759706386058,""move_fraction"":0.07988448736173517,""move_threshold"":0.22767092605240927,""neighbor_capacity"":0.5579318426747101,""retained_bias"":3.3464221191084587,""sweeps"":5,""trust_center"":0.2997569061966643,""trust_scale"":0.0001,""trust_temperature"":0.18177008478034862,""twohop_weight"":0.047096604414965285,""unary_temperature"":0.24591676637608756,""view_balance"":1.1749241685413434}",0.000543022587349673,0.000974180304676775,3484,,RNA_PROTEIN,0.4157121979044856,A1__CEM_I05_011,0.4540869455669199,e76944ce6c738338495c7415b35f5c6b3fca19daefa1331edf3787f31675500c,False,10,A1,0.5567840933799744,1.0000001192092896,0.6389919519424438,0.19103050231933594,0.5948881506919861,0.55244380235672,0.735329270362854,0.7437870502471924,0.44755619764328003,0.1751459240913391,0.0810670480132103,109.0,0.5432593822479248,0.9999998211860657,0.5492184815813644,0.2743801557109892,0.418548976098805,0.4217562830395575,10.0,ca500cdfdeaccb1e327ac95e06852d00ad474a57405393f419c8f49b25796544,MATCHED_ABLATION,PASS,LYMPH_NODE,4.0,13.0,3484,0.13551340000412893
FULL,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.2546579651152784,0.3890444821916162,CONTINUOUS_RELIABILITY_ENERGY,0.3850499187899952,220.0,"[44,246,227,210,1,480,140,822,145,1044]",D1__CEM_I02_000__FULL,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.009465294981855388,0.0053790387213752955,3359,,RNA_PROTEIN,0.4099142270841515,D1__CEM_I02_000,0.4884403851944813,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,True,10,D1,0.7330867052078247,1.0000001192092896,0.7946847677230835,0.20454920828342438,0.4661575257778168,0.5734230875968933,0.25736138224601746,0.33614426851272583,0.4265769124031067,0.618897557258606,0.044958170503377914,1.0,0.11805257946252823,0.9999998807907104,0.5172905851406905,0.245192670133423,0.3836654434702409,0.39082353388234403,10.0,7fb5479ad72e345ef46e707f3ab50bd20f6a63e5004165884cd9fe966443cb8e,MATCHED_ABLATION,PASS,LYMPH_NODE,3.0,220.0,3359,0.10313580000365619
UNIFORM_EDGE_EVIDENCE,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.0001,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.9999,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.25559785455230327,0.3866548530288871,CONTINUOUS_RELIABILITY_ENERGY,0.38265197183572497,284.0,"[41,246,229,218,1,480,142,804,150,1048]",D1__CEM_I02_000__UNIFORM_EDGE_EVIDENCE,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.0001,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.9999,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.010405184418880276,0.0029894095586461833,3359,,RNA_PROTEIN,0.41019785221308963,D1__CEM_I02_000,0.4730622982103796,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,False,10,D1,0.7423039674758911,1.0000001192092896,0.7946847677230835,0.20454920828342438,0.9664942026138306,0.742247998714447,0.26107537746429443,0.3339066505432129,0.25775203108787537,0.622269332408905,0.04382411018013954,1.0,0.7421738505363464,0.9999998211860657,0.5330265361869182,0.245192670133423,0.3836654434702409,0.3909270531124137,10.0,1b371d4339cc7b64d1fa3dd26a7419c3a902ebb12295e1d8bb617a87dd86e032,MATCHED_ABLATION,PASS,LYMPH_NODE,3.0,284.0,3359,0.10373519999848213
NO_REJECTED_MASS_SELF_RETURN,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":-2.0,""mass_temperature"":0.005,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":1.0,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.2504989875773621,0.3819537420495865,CONTINUOUS_RELIABILITY_ENERGY,0.37792952579868117,435.0,"[43,248,228,228,1,482,146,805,149,1029]",D1__CEM_I02_000__NO_REJECTED_MASS_SELF_RETURN,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":-2.0,""mass_temperature"":0.005,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":1.0,""retained_bias"":2.5402601959068383,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.7235791314465172,""view_balance"":-0.48817760842571367}",0.0053063174439391125,-0.0017117014206544101,3359,,RNA_PROTEIN,0.405198754475187,D1__CEM_I02_000,0.4382591985302611,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,False,10,D1,1.0,1.000000238418579,0.7946847677230835,0.20454920828342438,0.4661575257778168,1.0,0.2671249806880951,0.33120498061180115,0.0,0.6262456178665161,0.04254937544465065,1.0,1.0,0.9999997615814209,0.5668521096668953,0.245192670133423,0.3836654434702409,0.3841827972947174,10.0,2df6b330469764cbdb4dcd8d9f00789bc7736a53f787309195fb035841798640,MATCHED_ABLATION,PASS,LYMPH_NODE,3.0,435.0,3359,0.10974729999725241
RETAINED_UNARY_DOMINANT,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":8.0,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.02,""view_balance"":0.0}",0.2537592173843635,0.3813844679998829,CONTINUOUS_RELIABILITY_ENERGY,0.37736341208499086,386.0,"[43,249,229,236,1,495,145,792,149,1020]",D1__CEM_I02_000__RETAINED_UNARY_DOMINANT,"{""beta"":0.13080288291405456,""conflict_center"":0.5806804407204382,""conflict_penalty"":0.004735959884525661,""conflict_temperature"":0.26048111646168104,""conflict_union_weight"":0.15361995378492538,""edge_floor"":0.20335664666256828,""high_weight"":1.3351894123609402,""low_weight"":0.6221123606382639,""mass_center"":0.3418775512451213,""mass_temperature"":0.08121357671397582,""move_fraction"":0.22969658898166767,""move_threshold"":0.09501316416470539,""neighbor_capacity"":0.7425880927111023,""retained_bias"":8.0,""sweeps"":3,""trust_center"":0.9803271284800648,""trust_scale"":0.6663559752309198,""trust_temperature"":0.12517391037374992,""twohop_weight"":0.49402212117915084,""unary_temperature"":0.02,""view_balance"":0.0}",0.008566547250940526,-0.002280975470357993,3359,,RNA_PROTEIN,0.4071106425049489,D1__CEM_I02_000,0.46975816800343173,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,False,10,D1,0.7330867052078247,1.0000001192092896,0.7946847677230835,0.20454920828342438,0.4661575257778168,0.5734230875968933,0.26662421226501465,0.020952297374606133,0.4265769124031067,0.9694982767105103,0.009549397975206375,1.0,0.11805257946252823,0.9999998807907104,0.5359810310790081,0.245192670133423,0.3836654434702409,0.38724378118432257,10.0,44330582decfed21a4d2bf5e8358884403c04d42f42fa0cb02898f407532befa,MATCHED_ABLATION,PASS,LYMPH_NODE,3.0,386.0,3359,0.11255829999572597
