lane,exact,partition_arrays_exact,formal_array_sha_exact,config_id_exact,ari_exact,nmi_exact,cluster_sizes_exact,config_id,partition_sha256,absolute_ari,absolute_nmi,cluster_sizes,min_cluster_size
A1,True,True,True,True,True,True,True,A1__CEM_I05_011,70cd702e61556ecb586fc7cfab0ab88af57e4ed51dbcff7b69efd9df50870696,0.2752927992564834,0.4199077568017935,"[274,775,577,181,311,793,158,109,121,185]",109.0
D1,True,True,True,True,True,True,True,D1__CEM_I02_000,7fb5479ad72e345ef46e707f3ab50bd20f6a63e5004165884cd9fe966443cb8e,0.2546579651152784,0.3890444821916162,"[44,246,227,210,1,480,140,822,145,1044]",1.0
MISAR_E15_5_S1,True,True,True,True,True,True,True,MISAR_E15_5_S1__night15d_authority__G049_af33b6b74c20,a6c7ab6ec779c52d006404217f934e40a1a93c5c9679c1d9a5df0ebb08e66ed6,0.540931814030495,0.6666169188694607,"[296,438,178,266,354,292,125]",125.0
MISAR_E15_5_S1_K12,True,True,True,True,True,True,True,MISAR_E15_5_S1_K12__CEM_I01_038,2f126a0ca360975033a41e0386d0149e685fc3d896441c6bde4185a4ed595485,0.45236704915733733,0.5977075353765589,"[279,66,477,133,38,147,151,96,67,243,68,184]",38.0
P22,True,True,True,True,True,True,True,P22__CEM_I05_011,8d8de5e6abdac8ba3e9d2d322dcce1e3a9d9c4678716b0debe9dfea560455a2d,0.5891910297854036,0.7100418847809442,"[1154,614,1494,811,993,1527,613,1832,158]",158.0
P22_3DOT_K18,True,True,True,True,True,True,True,P22_3DOT_K18__CEM_I00_020,2fa0bd0aa0099a53444b7d9645cc4020fedb237134db21a8ddef94566d7282c3,0.7283067896750458,0.7501143785801062,"[626,2289,939,642,778,576,573,228,43,32,415,163,310,141,157,434,566,284]",32.0
tonsil_s1,True,True,True,True,True,True,True,tonsil_s1__CEM_I02_040,ad617abca23207de27c5a2252c7bc4765f6a0cf5e37b859127012550e1304764,0.23382458055710792,0.314270251883914,"[479,1302,1149,1396]",479.0
tonsil_s2,True,True,True,True,True,True,True,tonsil_s2__CEM_I02_008,53221a7ac972eebc000ab3f4d61732112c177a488c6e32e87c1e8009da4eee79,0.2547979281144028,0.3052523860699747,"[1015,1388,433,1683]",433.0
tonsil_s3,True,True,True,True,True,True,True,tonsil_s3__CEM_I05_007,a4ddb26b032b423c70fcea19ae71456d5e753186b905d9587133505d8908f4ed,0.32831055003908766,0.2895243534508425,"[2596,560,1168,197]",197.0
