lane,ablation,full_ari,ablation_ari,full_minus_ablation_ari,full_nmi,ablation_nmi,full_minus_ablation_nmi,partition_exact_to_full,interpretation
A1,UNIFORM_EDGE_EVIDENCE,0.2752927992564834,0.27497402096943774,0.00031877828704568456,0.4199077568017935,0.419686799004457,0.00022095779733649623,False,FULL_BETTER_BOTH
A1,NO_REJECTED_MASS_SELF_RETURN,0.2752927992564834,0.21830392395770346,0.05698887529877997,0.4199077568017935,0.37400829566292304,0.045899461138870445,False,FULL_BETTER_BOTH
A1,RETAINED_UNARY_DOMINANT,0.2752927992564834,0.2731874719271639,0.0021053273293195063,0.4199077568017935,0.41834301025073506,0.0015647465510584269,False,FULL_BETTER_BOTH
A1,SINGLE_SCALE_DOMINANT,0.2752927992564834,0.2734357780718577,0.0018570211846257179,0.4199077568017935,0.4173981733801524,0.002509583421641093,False,FULL_BETTER_BOTH
A1,TRUST_TERM_NEAR_ZERO,0.2752927992564834,0.2749231782983389,0.0003696209581445231,0.4199077568017935,0.41952315640348176,0.00038460039831172965,False,FULL_BETTER_BOTH
D1,UNIFORM_EDGE_EVIDENCE,0.2546579651152784,0.25559785455230327,-0.0009398894370248878,0.3890444821916162,0.3866548530288871,0.002389629162729112,False,MIXED
D1,NO_REJECTED_MASS_SELF_RETURN,0.2546579651152784,0.2504989875773621,0.004158977537916275,0.3890444821916162,0.3819537420495865,0.007090740142029706,False,FULL_BETTER_BOTH
D1,RETAINED_UNARY_DOMINANT,0.2546579651152784,0.2537592173843635,0.0008987477309148617,0.3890444821916162,0.3813844679998829,0.007660014191733289,False,FULL_BETTER_BOTH
D1,SINGLE_SCALE_DOMINANT,0.2546579651152784,0.2428978750629581,0.011760090052320288,0.3890444821916162,0.37154737763727874,0.01749710455433745,False,FULL_BETTER_BOTH
D1,TRUST_TERM_NEAR_ZERO,0.2546579651152784,0.2546579651152784,0.0,0.3890444821916162,0.3890444821916162,0.0,True,EXACT_OR_NEAR_EXACT
MISAR_E15_5_S1,UNIFORM_EDGE_EVIDENCE,0.540931814030495,0.5356238181345211,0.0053079958959738605,0.6666169188694607,0.6610913450305406,0.005525573838920161,False,FULL_BETTER_BOTH
MISAR_E15_5_S1,NO_REJECTED_MASS_SELF_RETURN,0.540931814030495,0.5322716391682641,0.008660174862230807,0.6666169188694607,0.6573450233030321,0.0092718955664286,False,FULL_BETTER_BOTH
MISAR_E15_5_S1,RETAINED_UNARY_DOMINANT,0.540931814030495,0.5243719436143941,0.016559870416100853,0.6666169188694607,0.6531157449072159,0.013501173962244817,False,FULL_BETTER_BOTH
MISAR_E15_5_S1,SINGLE_SCALE_DOMINANT,0.540931814030495,0.540370776372905,0.0005610376575899689,0.6666169188694607,0.6620412937205641,0.004575625148896645,False,FULL_BETTER_BOTH
MISAR_E15_5_S1,TRUST_TERM_NEAR_ZERO,0.540931814030495,0.540931814030495,0.0,0.6666169188694607,0.6666169188694607,0.0,True,EXACT_OR_NEAR_EXACT
MISAR_E15_5_S1_K12,UNIFORM_EDGE_EVIDENCE,0.45236704915733733,0.4518998628973125,0.0004671862600248433,0.5977075353765589,0.5967744211122821,0.0009331142642767798,False,FULL_BETTER_BOTH
MISAR_E15_5_S1_K12,NO_REJECTED_MASS_SELF_RETURN,0.45236704915733733,0.451054356511596,0.0013126926457413535,0.5977075353765589,0.5955712584798035,0.002136276896755329,False,FULL_BETTER_BOTH
MISAR_E15_5_S1_K12,RETAINED_UNARY_DOMINANT,0.45236704915733733,0.45198447127149144,0.0003825778858458917,0.5977075353765589,0.5961209105385684,0.0015866248379904357,False,FULL_BETTER_BOTH
MISAR_E15_5_S1_K12,SINGLE_SCALE_DOMINANT,0.45236704915733733,0.45070213812817633,0.001664911029160998,0.5977075353765589,0.593809887068,0.0038976483085588765,False,FULL_BETTER_BOTH
