ablation,ari_bootstrap_ci_high,ari_bootstrap_ci_low,ari_full_minus_ablation,ari_full_minus_ablation_macro_mean,ari_full_minus_ablation_max,ari_full_minus_ablation_mean,ari_full_minus_ablation_median,ari_full_minus_ablation_min,ari_full_minus_ablation_sd,ari_full_win_count,ari_full_win_count_15,boundary_disagreement_bootstrap_ci_high,boundary_disagreement_bootstrap_ci_low,boundary_disagreement_full_minus_ablation,boundary_disagreement_full_minus_ablation_macro_mean,boundary_disagreement_full_minus_ablation_max,boundary_disagreement_full_minus_ablation_mean,boundary_disagreement_full_minus_ablation_median,boundary_disagreement_full_minus_ablation_min,boundary_disagreement_full_minus_ablation_sd,boundary_disagreement_full_win_count,boundary_disagreement_full_win_count_15,dataset,nmi_bootstrap_ci_high,nmi_bootstrap_ci_low,nmi_full_minus_ablation,nmi_full_minus_ablation_macro_mean,nmi_full_minus_ablation_max,nmi_full_minus_ablation_mean,nmi_full_minus_ablation_median,nmi_full_minus_ablation_min,nmi_full_minus_ablation_sd,nmi_full_win_count,nmi_full_win_count_15,row_type,seed,spatial_cluster_geary_mean_bootstrap_ci_high,spatial_cluster_geary_mean_bootstrap_ci_low,spatial_cluster_geary_mean_full_minus_ablation,spatial_cluster_geary_mean_full_minus_ablation_macro_mean,spatial_cluster_geary_mean_full_minus_ablation_max,spatial_cluster_geary_mean_full_minus_ablation_mean,spatial_cluster_geary_mean_full_minus_ablation_median,spatial_cluster_geary_mean_full_minus_ablation_min,spatial_cluster_geary_mean_full_minus_ablation_sd,spatial_cluster_geary_mean_full_win_count,spatial_cluster_geary_mean_full_win_count_15,spatial_cluster_moran_mean_bootstrap_ci_high,spatial_cluster_moran_mean_bootstrap_ci_low,spatial_cluster_moran_mean_full_minus_ablation,spatial_cluster_moran_mean_full_minus_ablation_macro_mean,spatial_cluster_moran_mean_full_minus_ablation_max,spatial_cluster_moran_mean_full_minus_ablation_mean,spatial_cluster_moran_mean_full_minus_ablation_median,spatial_cluster_moran_mean_full_minus_ablation_min,spatial_cluster_moran_mean_full_minus_ablation_sd,spatial_cluster_moran_mean_full_win_count,spatial_cluster_moran_mean_full_win_count_15,spatial_neighbor_agreement_bootstrap_ci_high,spatial_neighbor_agreement_bootstrap_ci_low,spatial_neighbor_agreement_full_minus_ablation,spatial_neighbor_agreement_full_minus_ablation_macro_mean,spatial_neighbor_agreement_full_minus_ablation_max,spatial_neighbor_agreement_full_minus_ablation_mean,spatial_neighbor_agreement_full_minus_ablation_median,spatial_neighbor_agreement_full_minus_ablation_min,spatial_neighbor_agreement_full_minus_ablation_sd,spatial_neighbor_agreement_full_win_count,spatial_neighbor_agreement_full_win_count_15
DROP_RNA_RECON,0.3289514428591287,0.22278444425745006,,,0.34480065426822737,0.27827754819928646,0.27843715281233705,0.1697460207607253,0.0709695539661238,5,,0.01720818291215411,-0.019855595667869985,,,0.017448856799037404,0.0030084235860409645,0.016245487364620947,-0.0403128760529482,0.024851836856875316,4,,placenta,0.2586162419001369,0.1805831115179391,,,0.2670120756042895,0.2253609802262467,0.23319533129444853,0.1381590316786,0.05199011506900484,5,,dataset_summary,,0.01833044007346025,-0.04963619475470944,,,0.03919782631258162,-0.015316015332323695,-0.007003206542973706,-0.0718447000215322,0.04441711351516435,2,,0.06747103024699545,-0.019321209798369078,,,0.10797623761472752,0.019958196291503038,0.015065801246206323,-0.036677495794213366,0.05487521648463894,3,,0.01985559566787004,-0.017208182912154014,,,0.040312876052948254,-0.003008423586040898,-0.016245487364620892,-0.017448856799037293,0.024851836856875302,1,
DROP_RNA_RECON,,,-0.0689826223890625,,,,,,,,,,,0.022638919095258836,,,,,,,,,p22,,,-0.015160686741035545,,,,,,,,,seed,0,,,0.015678962257175827,,,,,,,,,,,-0.01678507188350009,,,,,,,,,,,-0.022638919095258836,,,,,,,,
DROP_RNA_RECON,,,-0.033693494124530876,,,,,,,,,,,0.029299423662461965,,,,,,,,,p22,,,-0.0004072547695010975,,,,,,,,,seed,1,,,0.01604717499297098,,,,,,,,,,,-0.01828218292440764,,,,,,,,,,,-0.029299423662461965,,,,,,,,
DROP_RNA_RECON,,,0.026120436130039837,,,,,,,,,,,0.010826718138321034,,,,,,,,,p22,,,0.013215763312743878,,,,,,,,,seed,2,,,0.016062814323695718,,,,,,,,,,,-0.016490716488044233,,,,,,,,,,,-0.010826718138321034,,,,,,,,
DROP_RNA_RECON,,,-0.04161125655438652,,,,,,,,,,,0.042124293170943905,,,,,,,,,p22,,,-0.0037802849035736275,,,,,,,,,seed,3,,,0.029702791563164688,,,,,,,,,,,-0.03207699805688757,,,,,,,,,,,-0.042124293170943905,,,,,,,,
DROP_RNA_RECON,,,0.030229332948534637,,,,,,,,,,,0.0322082970856894,,,,,,,,,p22,,,0.004067454590072073,,,,,,,,,seed,4,,,0.026110038260360152,,,,,,,,,,,-0.027396395410938523,,,,,,,,,,,-0.0322082970856894,,,,,,,,
DROP_RNA_RECON,0.015801208806523616,-0.05097625040228578,,,0.030229332948534637,-0.017587520797881083,-0.033693494124530876,-0.0689826223890625,0.043803069884096345,2,,0.0361746955197912,0.018215800347977408,,,0.042124293170943905,0.027419530230535026,0.029299423662461965,0.010826718138321034,0.011628327442030293,5,,p22,0.007766556079845888,-0.008364372080507132,,,0.013215763312743878,-0.0004130017022588639,-0.0004072547695010975,-0.015160686741035545,0.010424137465633558,2,,dataset_summary,,0.02625311758856504,0.015903017764797866,,,0.029702791563164688,0.020720356279473474,0.016062814323695718,0.015678962257175827,0.006683557989110311,5,,-0.01696675193349926,-0.02808249229302027,,,-0.016490716488044233,-0.022206272952755613,-0.01828218292440764,-0.03207699805688757,0.007103240008922984,0,,-0.017914038712483715,-0.0361746955197912,,,-0.010826718138321034,-0.027419530230535026,-0.029299423662461965,-0.042124293170943905,0.011628327442030293,0,
DROP_RNA_RECON,,,,0.09765576167199357,,,,,,,11,,,,0.020757313006256706,,,,,,,13,equal_weight_macro,,,,0.08101051338553025,,,,,,,11,macro_summary,,,,,0.024514509804302753,,,,,,,12,,,,-0.02330985602686594,,,,,,,3,,,,-0.020757313006256686,,,,,,,2
DROP_MOD2_RECON,,,0.009719485780728288,,,,,,,,,,,0.021160224518433468,,,,,,,,,a1,,,0.018544609524517253,,,,,,,,,seed,0,,,-0.003070979258296469,,,,,,,,,,,0.0021877333525171516,,,,,,,,,,,-0.021160224518433468,,,,,,,,
DROP_MOD2_RECON,,,0.008601496716401091,,,,,,,,,,,-0.025768592932772116,,,,,,,,,a1,,,0.00968721622413915,,,,,,,,,seed,1,,,-0.019982735754506598,,,,,,,,,,,0.018048015392870376,,,,,,,,,,,0.025768592932772116,,,,,,,,
