cpu_peak_rss_mib,dataset,gpu_peak_allocated_mib,gpu_peak_reserved_mib,runtime_seconds,seed,variant
1290.9765625,a1,747.2646484375,840.0,13.011847399175167,0,FULL_IGE
1330.65234375,a1,747.1728515625,840.0,17.85895782150328,1,FULL_IGE
1352.9453125,a1,747.1728515625,840.0,9.634900918230414,2,FULL_IGE
1357.39453125,a1,747.1728515625,840.0,12.577706286683679,3,FULL_IGE
1357.39453125,a1,747.1728515625,840.0,11.178248271346092,4,FULL_IGE
1357.39453125,a1,747.1728515625,780.0,11.240959662944078,0,DROP_RNA_RECON
1357.39453125,a1,747.1728515625,780.0,14.243548072874546,1,DROP_RNA_RECON
1357.39453125,a1,747.1728515625,780.0,12.654147982597351,2,DROP_RNA_RECON
1357.39453125,a1,747.1728515625,780.0,12.04163640923798,3,DROP_RNA_RECON
1357.39453125,a1,747.1728515625,780.0,17.421238087117672,4,DROP_RNA_RECON
1357.73828125,a1,747.1728515625,780.0,12.107538672164083,0,DROP_MOD2_RECON
1358.3125,a1,747.1728515625,780.0,13.919162822887301,1,DROP_MOD2_RECON
1358.41796875,a1,747.1728515625,780.0,12.798742750659585,2,DROP_MOD2_RECON
1359.07421875,a1,747.1728515625,780.0,13.536898469552398,3,DROP_MOD2_RECON
1359.07421875,a1,747.1728515625,780.0,13.128767380490899,4,DROP_MOD2_RECON
1359.07421875,a1,747.1728515625,780.0,10.880312552675605,0,DROP_CORR1
1365.0078125,a1,747.1728515625,780.0,11.487720008939505,1,DROP_CORR1
1365.0078125,a1,747.1728515625,780.0,12.522829933091998,2,DROP_CORR1
1365.0078125,a1,747.1728515625,780.0,11.488469645380974,3,DROP_CORR1
1365.0078125,a1,747.1728515625,780.0,12.219944586977363,4,DROP_CORR1
1365.0078125,a1,747.1728515625,780.0,13.734509862959385,0,DROP_CORR2
1365.0078125,a1,747.1728515625,780.0,12.259219944477081,1,DROP_CORR2
1365.0078125,a1,747.1728515625,780.0,11.840769231319427,2,DROP_CORR2
1365.0078125,a1,747.1728515625,780.0,14.830705270171165,3,DROP_CORR2
1365.0078125,a1,747.1728515625,780.0,12.501957843080163,4,DROP_CORR2
1365.0078125,a1,719.9541015625,800.0,14.101355796679854,0,UNIFORM_WITHIN
1365.0078125,a1,719.9541015625,800.0,12.502578530460596,1,UNIFORM_WITHIN
1365.0078125,a1,719.9541015625,800.0,12.249157888814807,2,UNIFORM_WITHIN
1365.0078125,a1,719.9541015625,800.0,11.864633593708277,3,UNIFORM_WITHIN
1365.0078125,a1,719.9541015625,800.0,17.11750199086964,4,UNIFORM_WITHIN
1365.0078125,a1,733.5634765625,840.0,15.293086644262075,0,UNIFORM_CROSS
1365.0078125,a1,733.5634765625,840.0,9.424659976735711,1,UNIFORM_CROSS
1365.0078125,a1,733.5634765625,840.0,10.404766140505672,2,UNIFORM_CROSS
1365.0078125,a1,733.5634765625,840.0,11.576162183657289,3,UNIFORM_CROSS
1365.0078125,a1,733.5634765625,840.0,11.157009834423661,4,UNIFORM_CROSS
1365.0078125,a1,705.62841796875,800.0,18.441175328567624,0,UNIFORM_ALL
1365.0078125,a1,705.62841796875,800.0,11.949967443943024,1,UNIFORM_ALL
1365.0078125,a1,705.62841796875,800.0,12.331179708242416,2,UNIFORM_ALL
1365.0078125,a1,705.62841796875,800.0,11.442068280652165,3,UNIFORM_ALL
1365.0078125,a1,705.62841796875,800.0,11.285540221258998,4,UNIFORM_ALL
1365.0078125,placenta,444.79833984375,514.0,7.771793527528644,0,FULL_IGE
1365.0078125,placenta,444.79833984375,514.0,7.480222707614303,1,FULL_IGE
1365.0078125,placenta,444.79833984375,514.0,7.562999969348311,2,FULL_IGE
1365.0078125,placenta,444.79833984375,514.0,6.633218528702855,3,FULL_IGE
1365.0078125,placenta,444.79833984375,514.0,7.13345717638731,4,FULL_IGE
1365.0078125,placenta,444.79833984375,474.0,7.656485283747315,0,DROP_RNA_RECON
1365.0078125,placenta,444.79833984375,474.0,8.081384228542447,1,DROP_RNA_RECON
1365.0078125,placenta,444.79833984375,474.0,7.675849562510848,2,DROP_RNA_RECON
1365.0078125,placenta,444.79833984375,474.0,9.22676632553339,3,DROP_RNA_RECON
1365.0078125,placenta,444.79833984375,474.0,7.142401849851012,4,DROP_RNA_RECON
1365.0078125,placenta,444.79833984375,474.0,7.108182094991207,0,DROP_MOD2_RECON
1365.0078125,placenta,444.79833984375,474.0,7.175927197560668,1,DROP_MOD2_RECON
1365.0078125,placenta,444.79833984375,474.0,6.865354297682643,2,DROP_MOD2_RECON
1365.0078125,placenta,444.79833984375,474.0,7.435756720602512,3,DROP_MOD2_RECON
1365.0078125,placenta,444.79833984375,474.0,6.932020841166377,4,DROP_MOD2_RECON
1365.0078125,placenta,444.79833984375,474.0,8.018174452707171,0,DROP_CORR1
1365.0078125,placenta,444.79833984375,474.0,8.010634940117598,1,DROP_CORR1
1365.0078125,placenta,444.79833984375,474.0,7.839136587455869,2,DROP_CORR1
1365.0078125,placenta,444.79833984375,474.0,7.315053099766374,3,DROP_CORR1
1365.0078125,placenta,444.79833984375,474.0,7.252124555408955,4,DROP_CORR1
