bh_fdr_q_value,channel,dataset,label_values_read,n_observations,p_value,qc_variable,seed,spearman_rho
0.05068482392446166,cross_omics_rna_attention,a1,False,3484,0.03998469442929753,rna_log_library_size,0,0.03479894061632066
1.2248758141033132e-35,cross_omics_rna_attention,a1,False,3484,1.691495171856956e-36,rna_feature_l2_norm,0,-0.21141869212153902
0.004064128109498909,cross_omics_rna_attention,a1,False,3484,0.0028771446616452597,modality2_row_sum,0,0.0504822634020616
7.849453641426558e-306,cross_omics_rna_attention,a1,False,3484,2.4918900448973202e-307,modality2_l2_norm,0,0.5761250368826594
0.0003624100766104848,cross_omics_rna_attention,a1,False,3484,0.00022434909504458582,spatial_graph_degree,0,-0.06247496194948371
8.6114413499281445e-19,cross_omics_rna_attention,a1,False,3484,2.35106017807562e-19,feature_graph_degree,0,0.1515739583934818
3.266312332324793e-19,cross_omics_rna_attention,a1,False,3484,8.606473764538343e-20,local_modality_neighborhood_consistency,0,-0.153401092371277
0.05068482392446166,cross_omics_modality2_attention,a1,False,3484,0.03998469442929753,rna_log_library_size,0,-0.03479894061632066
1.2248758141033132e-35,cross_omics_modality2_attention,a1,False,3484,1.691495171856956e-36,rna_feature_l2_norm,0,0.21141869212153902
0.004064128109498909,cross_omics_modality2_attention,a1,False,3484,0.0028771446616452597,modality2_row_sum,0,-0.0504822634020616
7.849453641426558e-306,cross_omics_modality2_attention,a1,False,3484,2.4918900448973202e-307,modality2_l2_norm,0,-0.5761250368826594
0.0003624100766104848,cross_omics_modality2_attention,a1,False,3484,0.00022434909504458582,spatial_graph_degree,0,0.06247496194948371
8.6114413499281445e-19,cross_omics_modality2_attention,a1,False,3484,2.35106017807562e-19,feature_graph_degree,0,-0.1515739583934818
3.266312332324793e-19,cross_omics_modality2_attention,a1,False,3484,8.606473764538343e-20,local_modality_neighborhood_consistency,0,0.153401092371277
0.0007580463105138549,rna_spatial_attention,a1,False,3484,0.0004909252292115796,rna_log_library_size,0,0.05902322998504563
0.41965024882539714,rna_spatial_attention,a1,False,3484,0.3776852239428574,rna_feature_l2_norm,0,-0.014950113922966609
0.003848576673012501,rna_spatial_attention,a1,False,3484,0.0027122215202403576,modality2_row_sum,0,0.050787301365763364
0.9029287384775554,rna_spatial_attention,a1,False,3484,0.8971904988226208,modality2_l2_norm,0,-0.0021898611927739318
0.07902847996918848,rna_spatial_attention,a1,False,3484,0.0643517622606249,spatial_graph_degree,0,0.03134148721817031
3.4680283222327944e-06,rna_spatial_attention,a1,False,3484,1.8165815546876899e-06,feature_graph_degree,0,0.08075741661616162
0.002987562096821372,rna_spatial_attention,a1,False,3484,0.002086551305716514,local_modality_neighborhood_consistency,0,0.05212398505413847
0.0007580463105138549,rna_feature_attention,a1,False,3484,0.0004909252296661156,rna_log_library_size,0,-0.059023229980858564
0.41965024882539714,rna_feature_attention,a1,False,3484,0.37767903087954535,rna_feature_l2_norm,0,0.014950308011809754
0.003848576673012501,rna_feature_attention,a1,False,3484,0.0027123302266945245,modality2_row_sum,0,-0.050787094786941406
0.9029287384775554,rna_feature_attention,a1,False,3484,0.8971958575983328,modality2_l2_norm,0,0.0021897464128436653
0.07902847996918848,rna_feature_attention,a1,False,3484,0.06435135757806397,spatial_graph_degree,0,-0.031341534745751465
3.4680283222327944e-06,rna_feature_attention,a1,False,3484,1.816586264026702e-06,feature_graph_degree,0,-0.0807574078139605
0.002987562096821372,rna_feature_attention,a1,False,3484,0.00208652458573059,local_modality_neighborhood_consistency,0,-0.05212404960519681
2.4506547791897936e-11,modality2_spatial_attention,a1,False,3484,8.635065773987162e-12,rna_log_library_size,0,-0.11532734659959112
9.420592000757606e-06,modality2_spatial_attention,a1,False,3484,5.143784563280569e-06,rna_feature_l2_norm,0,-0.07714769711187144
7.519819958578493e-07,modality2_spatial_attention,a1,False,3484,3.771746425428719e-07,modality2_row_sum,0,0.08593841759752886
1.362872307273602e-62,modality2_spatial_attention,a1,False,3484,1.1244559741127452e-63,modality2_l2_norm,0,0.2797826999516494
1.9719538179734947e-08,modality2_spatial_attention,a1,False,3484,8.575622509153115e-09,spatial_graph_degree,0,-0.09733305461261828
0.0811248102164513,modality2_spatial_attention,a1,False,3484,0.0663163131134483,feature_graph_degree,0,0.031113614076348703
1.0844430066933676e-10,modality2_spatial_attention,a1,False,3484,3.993214698498255e-11,local_modality_neighborhood_consistency,0,0.11158007658455604
2.4506547791897936e-11,modality2_feature_attention,a1,False,3484,8.63564065047832e-12,rna_log_library_size,0,0.11532718630531864
9.420592000757606e-06,modality2_feature_attention,a1,False,3484,5.1439422988263746e-06,rna_feature_l2_norm,0,0.07714758843834846
7.519819958578493e-07,modality2_feature_attention,a1,False,3484,3.7718462014457203e-07,modality2_row_sum,0,-0.0859383329021103
1.362872307273602e-62,modality2_feature_attention,a1,False,3484,1.1249104758448777e-63,modality2_l2_norm,0,-0.2797823188856188
1.9719538179734947e-08,modality2_feature_attention,a1,False,3484,8.576434065472025e-09,spatial_graph_degree,0,0.09733278568595753
0.0811248102164513,modality2_feature_attention,a1,False,3484,0.06631566914222924,feature_graph_degree,0,-0.03111368785541986
1.0844430066933676e-10,modality2_feature_attention,a1,False,3484,3.9935044056009726e-11,local_modality_neighborhood_consistency,0,-0.11157989612291187
1.9408750381705248e-13,cross_omics_rna_attention,a1,False,3484,6.407968379991574e-14,rna_log_library_size,1,0.1265888179519311
1.4676165685543047e-40,cross_omics_rna_attention,a1,False,3484,1.817049084876758e-41,rna_feature_l2_norm,1,-0.22565488803000988
0.019610243215943266,cross_omics_rna_attention,a1,False,3484,0.014692118726865433,modality2_row_sum,1,0.0413332672803395
1.45778342424e-313,cross_omics_rna_attention,a1,False,3484,4.1650955e-315,modality2_l2_norm,1,0.5820244722483056
0.006465834206272077,cross_omics_rna_attention,a1,False,3484,0.004649046601376085,spatial_graph_degree,1,-0.0479417807874639
5.958282170686989e-20,cross_omics_rna_attention,a1,False,3484,1.5510448825280414e-20,feature_graph_degree,1,0.1564662270862344
4.373854112352331e-50,cross_omics_rna_attention,a1,False,3484,4.304245092884711e-51,local_modality_neighborhood_consistency,1,-0.2507378260296629
1.9408750381705248e-13,cross_omics_modality2_attention,a1,False,3484,6.406982664886525e-14,rna_log_library_size,1,-0.12658915561276532
1.4676165685543047e-40,cross_omics_modality2_attention,a1,False,3484,1.8168390191748203e-41,rna_feature_l2_norm,1,0.225655026945152
0.019610243215943266,cross_omics_modality2_attention,a1,False,3484,0.014691673180909231,modality2_row_sum,1,-0.04133345271858171
1.45778342424e-313,cross_omics_modality2_attention,a1,False,3484,4.16508772e-315,modality2_l2_norm,1,-0.5820244728571083
