corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,dataset,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,seed,step,variant
0.002037827449213,9.698395340656572e-05,0.2500000015708956,0.0005607258161026,9.698395383586752e-05,0.2500000026775266,a1,True,True,True,True,0.0,0.0016345303374591,9.698395356749022e-05,0.250000001985718,2.6070167680883043e-05,9.69839503787128e-05,0.2499999937658597,0,0,FULL_IGE
0.0018070451709641,8.600060065538287e-05,0.2387005257952209,0.0005332455086363,9.223091983214465e-05,0.2559932011025067,a1,True,True,True,True,0.005,0.0015513699316327,9.20496768810964e-05,0.255490148944938,2.419427036747488e-05,9.000540178684677e-05,0.2498161241573342,0,1,FULL_IGE
0.0012294563364321,5.851208653313333e-05,0.2238707841105844,0.0004333803035501,7.495808850932848e-05,0.2867941829507568,a1,True,True,True,True,0.025,0.0013202961946603,7.833904449722022e-05,0.2997299251691461,1.332116329535112e-05,4.955622287655739e-05,0.1896051077695124,0,5,FULL_IGE
0.0010277857695525,4.891421362721836e-05,0.224477868471262,0.0003314944729926,5.733576686200146e-05,0.2631261913037368,a1,True,True,True,True,0.05,0.001179579235692,6.998968156281779e-05,0.3211977330748961,1.119925971656644e-05,4.166250336112172e-05,0.1911982071501052,0,10,FULL_IGE
0.0010911889404722,5.193168705298869e-05,0.2744737065992145,0.0001948919070594,3.370878810006685e-05,0.1781605131632321,a1,True,True,True,True,0.1,0.0010417082457959,6.18091826293011e-05,0.3266790743928993,1.1224107323872032e-05,4.17549392496612e-05,0.2206867058446539,0,20,FULL_IGE
0.0012046940095091,5.7333601886913487e-05,0.3020219053451133,0.0001108746666529,1.917704383040144e-05,0.1010208172158568,a1,True,True,True,True,0.2,0.0008918356062197,5.291657244973889e-05,0.2787538809636655,1.6237514389000345e-05,6.040537633101653e-05,0.3182033964753643,0,40,FULL_IGE
0.0013838201848418,6.585854576725572e-05,0.3500056674784167,8.024849844053591e-05,1.3879897170153374e-05,0.0737648032912791,a1,True,True,True,True,0.4,0.0008236003271611,4.886786990551022e-05,0.2597086107089615,1.6009708774791007e-05,5.9557913872972135e-05,0.3165209185213428,0,80,FULL_IGE
0.0013022838429544,6.197808141017496e-05,0.3640446606399459,7.075300059911733e-05,1.2237542033552726e-05,0.0718804412028862,a1,True,True,True,True,0.5,0.0007842919889542,4.653553139816814e-05,0.2733387570265196,1.3305354153165916e-05,4.949741109291305e-05,0.2907361411306481,0,100,FULL_IGE
0.0010459880471283,4.97804934690099e-05,0.3777243563229331,5.464572353907466e-05,9.451603933412125e-06,0.0717168666515913,a1,True,True,True,True,1.0,0.0006319449246738,3.749610259730357e-05,0.284512873039361,9.425073358455609e-06,3.506233094091189e-05,0.2660459039861145,0,200,FULL_IGE
0.0016125346083982,6.313310235681292e-05,0.2500000044164217,0.0007032872997935,6.313310201580561e-05,0.250000003066071,a1,True,True,True,True,0.0,0.001835013408575,6.313310227022822e-05,0.250000004073556,1.6455158274392657e-05,6.313309832324652e-05,0.2499999884439512,1,0,FULL_IGE
0.001351883304998,5.292822034603298e-05,0.2302518706593111,0.0006691141925806,6.006543071774039e-05,0.261300638757516,a1,True,True,True,True,0.005,0.0016983153395618,5.843004498965382e-05,0.2541862748004499,1.523383348555001e-05,5.844727174577673e-05,0.2542612157827228,1,1,FULL_IGE
0.0011596846350495,4.54033596456787e-05,0.2376287332547821,0.000540888034204,4.855475060128852e-05,0.2541222492988842,a1,True,True,True,True,0.025,0.0014280576605565,4.913190819772153e-05,0.2571429338825592,1.2505216994373668e-05,4.797845641435895e-05,0.2511060835637743,1,5,FULL_IGE
0.0012792431149902,5.008425003550869e-05,0.2938143058112927,0.000404710577228,3.633029370288838e-05,0.2131280795193424,a1,True,True,True,True,0.05,0.0013917963809643,4.788434942662889e-05,0.2809088061822956,9.425703946342036e-06,3.6163364951419046e-05,0.2121488084870691,1,10,FULL_IGE
0.0010834345605377,4.241805704578477e-05,0.2784144223137263,0.0002176735709855,1.9540247303214764e-05,0.1282540277344576,a1,True,True,True,True,0.1,0.0013774830781551,4.739190440913892e-05,0.3110606804591712,1.120908247868498e-05,4.30056092101805e-05,0.2822708694926448,1,20,FULL_IGE
0.0013085697236854,5.1232429912634416e-05,0.2957073790036175,0.0001388494308497,1.2464316198012958e-05,0.0719425231298231,a1,True,True,True,True,0.2,0.0012815292683086,4.409064150721811e-05,0.2544858415054855,1.7063321181859648e-05,6.546642189227078e-05,0.3778642563610738,1,40,FULL_IGE
0.0013899371240671,5.441808334918605e-05,0.3446717602160269,9.271496344934729e-05,8.322890584768838e-06,0.0527152955669207,a1,True,True,True,True,0.4,0.0012770073118191,4.3935064910240925e-05,0.2782747062341114,1.3346907574276692e-05,5.120774982209613e-05,0.3243382379829407,1,80,FULL_IGE
0.0013246555584619,5.186221401038202e-05,0.3633629520184895,7.596586427508037e-05,6.819347740824083e-06,0.0477784910117878,a1,True,True,True,True,0.5,0.0012073313930724,4.15378852038432e-05,0.2910274633715435,1.1079633751487118e-05,4.250895648367833e-05,0.2978310935981789,1,100,FULL_IGE
0.001043946442853,4.0872039141620735e-05,0.3838283521547723,5.5856256300455375e-05,5.014136794838676e-06,0.0470876399577949,a1,True,True,True,True,1.0,0.0009164065906122,3.152870204428683e-05,0.2960852946266174,7.576956863215248e-06,2.907032279238417e-05,0.2729987132608152,1,200,FULL_IGE
0.0019525214216812,8.131586713354231e-05,0.25000000292532,0.0005544109354079,8.131586730897567e-05,0.2500000034646777,a1,True,True,True,True,0.0,0.0020183594865077,8.131586727577964e-05,0.2500000033626188,2.1561218740913856e-05,8.131586300987276e-05,0.2499999902473834,2,0,FULL_IGE
0.0016305068923748,6.790505873503622e-05,0.2250941400536505,0.0005267769216033,7.726276579845525e-05,0.2561134052387858,a1,True,True,True,True,0.005,0.001985396951134,7.998786937974905e-05,0.2651466769657413,2.0289138533971253e-05,7.651834664086388e-05,0.2536457777418224,2,1,FULL_IGE
0.0011719052999273,4.88058643576542e-05,0.2141670585895643,0.0004244022724722,6.224739930243956e-05,0.2731504213460944,a1,True,True,True,True,0.025,0.0017253983824738,6.951302124570943e-05,0.3050330014600529,1.2547242601440227e-05,4.732060245714611e-05,0.2076495186042883,2,5,FULL_IGE
