lane,ablation,full_ari,full_nmi,ablated_ari,ablated_nmi,full_minus_ablated_ari,full_minus_ablated_nmi,full_partition_sha256,ablated_partition_sha256
MISAR_E15_5_S1,NORMALIZATION_SELF,0.5406647315680221,0.6658997024822209,0.5350634041326525,0.6538367499948943,0.005601327435369563,0.012062952487326584,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,0037a7e3c4a6a0fcced98a0c9fa1f44f48504fd1d55403e81760afe8ce2998c8
MISAR_E15_5_S1,NO_MULTISCALE_FEATURE,0.5406647315680221,0.6658997024822209,0.540039609696731,0.6651792568221949,0.0006251218712910456,0.0007204456600259368,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,2ef042b8077466cf90c670df00b8d30d55f933bce40485d0eeda75d730ba3657
MISAR_E15_5_S1,NO_MODALITY_MARGIN_UNARY,0.5406647315680221,0.6658997024822209,0.5342746520267219,0.6557269659057773,0.00639007954130022,0.010172736576443575,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,c24036708836d894c022fefda96937eb4614d3d5d5ed1372eda823dfcf15009d
MISAR_E15_5_S1,NO_MULTIMODAL_EDGE,0.5406647315680221,0.6658997024822209,0.5379742995704129,0.6607338309712582,0.0026904319976092106,0.005165871510962705,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,90f3a48a0f156d829566d4fee35422a2d45a0f5e9eb1d2c83e5dfda730807265
MISAR_E15_5_S1,NO_SWITCH_TRUST,0.5406647315680221,0.6658997024822209,0.5388474828859928,0.6632551126834508,0.00181724868202926,0.002644589798770025,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,1eca09ed62f82401c691c30ad2c9f294aab1b029f28ee9ce9bb3d85ca9276b6d
MISAR_E15_5_S1,UNIT_EDGE_TEMPERATURE,0.5406647315680221,0.6658997024822209,0.5378185285255498,0.6621478498399399,0.002846203042472295,0.0037518526422809506,c4d17e6e58188e9cb0e8bc589831ac4ca098048d6615532f65909593c1f1d167,73c8f8ceb4d68a086bac68b575982e6ef5daf1aed39905f8b6be8624ce43f19f
MISAR_E15_5_S1_K12,NORMALIZATION_ROW,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
MISAR_E15_5_S1_K12,NORMALIZATION_MASS,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
MISAR_E15_5_S1_K12,NORMALIZATION_SELF,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
MISAR_E15_5_S1_K12,NO_MULTISCALE_FEATURE,0.4511951009551676,0.5965119000197391,0.44033425274637783,0.5859849327328137,0.010860848208789797,0.01052696728692537,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,44e0ccf225416e7bf865017a983b8db19ec0f42cdc7b63d44b1318f816b95661
MISAR_E15_5_S1_K12,NO_MODALITY_MARGIN_UNARY,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
MISAR_E15_5_S1_K12,NO_MULTIMODAL_EDGE,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
MISAR_E15_5_S1_K12,NO_SWITCH_TRUST,0.4511951009551676,0.5965119000197391,0.4486762356005866,0.5942146363866496,0.0025188653545810125,0.0022972636330894636,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,08cf31cd882e26171903340d937fe9a937f152d5fd814c4c38ff8235866360fc
MISAR_E15_5_S1_K12,UNIT_EDGE_TEMPERATURE,0.4511951009551676,0.5965119000197391,0.4511951009551676,0.5965119000197391,0.0,0.0,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db,d69bce79660adb10097944ec7afcb06025469f1b018218573ce9eec395c2f1db
P22,NORMALIZATION_ROW,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22,NORMALIZATION_MASS,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22,NORMALIZATION_SELF,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22,NO_MULTISCALE_FEATURE,0.5871858341020587,0.7080938095442089,0.5816789088733046,0.7010140669548065,0.005506925228754067,0.00707974258940236,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,ed7679cb0122d77c6272ff03f07eda7ed1946ae681969b086f1adbfed79e80ab
P22,NO_MODALITY_MARGIN_UNARY,0.5871858341020587,0.7080938095442089,0.5819662809981068,0.7031747203609555,0.005219553103951946,0.0049190891832533445,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,7bd37a00179209b0f85e87ed446b59e3a84aa725017c2bc0c3ca9aff570b21cc
P22,NO_MULTIMODAL_EDGE,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22,NO_SWITCH_TRUST,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22,UNIT_EDGE_TEMPERATURE,0.5871858341020587,0.7080938095442089,0.5871858341020587,0.7080938095442089,0.0,0.0,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98,fd6859f0de243f28b9a7b23369dc97362ff40ca51aba3d92c3cfca6d44780f98
P22_3DOT_K18,NORMALIZATION_ROW,0.7279521853131126,0.7496741728010312,0.7235894604719105,0.7458304066786927,0.004362724841202037,0.003843766122338499,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,c440fc04e5e8b132b1fcce9d0d06a9141777fa179b26787aabe814705d891536
P22_3DOT_K18,NORMALIZATION_MASS,0.7279521853131126,0.7496741728010312,0.725703576144076,0.7469780677172563,0.002248609169036575,0.0026961050837749356,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,fa8f4a273b376f12fafaab8dd56905f4a432b251ef86e8d903c06bb03bba069a
P22_3DOT_K18,NORMALIZATION_SELF,0.7279521853131126,0.7496741728010312,0.7279521853131126,0.7496741728010312,0.0,0.0,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65
P22_3DOT_K18,NO_MULTISCALE_FEATURE,0.7279521853131126,0.7496741728010312,0.7276294334295175,0.7489060830242783,0.000322751883595096,0.0007680897767529116,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,590d2d31abfb1e6f609b255e0ec7f456475279d209e75b4e9895f15f924687c9
P22_3DOT_K18,NO_MODALITY_MARGIN_UNARY,0.7279521853131126,0.7496741728010312,0.7279521853131126,0.7496741728010312,0.0,0.0,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65
P22_3DOT_K18,NO_MULTIMODAL_EDGE,0.7279521853131126,0.7496741728010312,0.7232321514570998,0.7447470110890196,0.0047200338560127175,0.004927161712011574,08c4766cba372904744d1fab67c41555ba15281ea1ce8ecba212bf060b476d65,40fed6106215a6fe170889939b8dd5ccbf9ecf13d9ce0fdb3f4d05f47dfda4d0
