absolute_ari,absolute_nmi,changed_observations,collapse_guard_triggered,config_json,delta_vs_night15c_ari,delta_vs_night15c_nmi,k,lane,max_rejected_mass,max_row_mass,mean_rejected_mass,mean_retained_weight,mean_row_mass,mean_view1_weight,mean_view2_weight,min_row_mass,observed_cardinality,partition_sha256,steps_completed,variant,wall_seconds
0.24375661199391196,0.38053362058865514,0,False,"{""source"": ""night15c_authority""}",0.0,0.0,10,D1,,,,,,,,,10,cb962b3dbb5423cf3afeb36d495ad0852ac9d8d7182e89b0169949445d86f5c5,0,NIGHT15C_AUTHORITY,0.0
0.245192670133423,0.3836654434702409,65,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",0.0014360581395110317,0.003131822881585755,10,D1,1.0,1.0000001192092896,0.5169133543968201,1.0,1.0,0.0,0.0,0.9999998807907104,10,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,2,FULL,0.045306200001505204
0.2204158678812675,0.351713784170285,543,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""row"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",-0.023340744112644474,-0.02881983641837016,10,D1,0.0,1.000000238418579,0.0,1.0,0.9961463809013367,0.0,0.0,2.431131631332754e-17,10,bf9f54cfb66a041096bce430de8eac0f209d49844277e93573ee115a308ae671,2,NORMALIZATION_ROW,0.046133999989251606
0.23231792187384806,0.36057149569211017,355,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""mass"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",-0.011438690120063905,-0.019962124896544975,10,D1,1.0,0.7610436677932739,0.5169133543968201,1.0,0.4830866754055023,0.0,0.0,4.051886048352157e-26,10,e7a3bf204f6846812bf921e1c4653933248500e338645d26b2fee7fa8e31fa56,2,NORMALIZATION_MASS,0.046427500012214296
0.245192670133423,0.3836654434702409,65,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",0.0014360581395110317,0.003131822881585755,10,D1,1.0,1.0000001192092896,0.5169133543968201,1.0,1.0,0.0,0.0,0.9999998807907104,10,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,2,NORMALIZATION_SELF,0.027902800007723272
0.24325753031636363,0.3760618517858171,9,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""retained"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",-0.0004990816775483353,-0.004471768802838061,10,D1,1.0,1.0000001192092896,0.5169133543968201,1.0,1.0,0.0,0.0,0.9999998807907104,10,cc18630cf0ba9ac02ee9a2aef3c95e4896473aa9d6e1e345f5de655969ab673d,2,NO_MULTISCALE_FEATURE,0.027294600004097447
0.245192670133423,0.3836654434702409,65,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":1.0,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",0.0014360581395110317,0.003131822881585755,10,D1,1.0,1.0000001192092896,0.5169133543968201,1.0,1.0,0.0,0.0,0.9999998807907104,10,89f269bf0e9579b2b148d72be71fb303aeb14eda36e37de1694a31707c2691ca,2,NO_MODALITY_MARGIN_UNARY,0.02866599999833852
0.2186560870273872,0.35253271865424296,540,False,"{""beta"":0.05,""edge_mode"":""spatial"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":2.0,""unary_mode"":""retained""}",-0.025100524966524762,-0.02800090193441218,10,D1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,10,71cd6aa78806d657cb3a3b3ed49d029bb79daca0ea2d7adbf5d631b3e7824035,2,NO_MULTIMODAL_EDGE,0.04569410000112839
0.23931274155554833,0.37272363050716534,242,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.0,""tau"":2.0,""unary_mode"":""retained""}",-0.00444387043836364,-0.007809990081489804,10,D1,1.0,1.0000001192092896,0.5169133543968201,1.0,1.0,0.0,0.0,0.9999998807907104,10,e8445ed8e739cb25598a241fb856f9fb8c4d9a33c09e7569d205fe089230b509,2,NO_SWITCH_TRUST,0.029025699986959808
0.2434286378747585,0.3807074738570895,28,False,"{""beta"":0.05,""edge_mode"":""both"",""feature"":""views_multiscale"",""margin_temperature"":0.5,""normalization"":""self"",""retained_weight"":0.35,""steps"":2,""switch_penalty"":0.02,""tau"":1.0,""unary_mode"":""retained""}",-0.0003279741191534735,0.0001738532684343319,10,D1,1.0,1.0000001192092896,0.7307894825935364,1.0,1.0,0.0,0.0,0.9999998807907104,10,aa6e7cc4989834a3c47b3221b33f2c381e8f490c33fb397b2a85ab01de317203,2,UNIT_EDGE_TEMPERATURE,0.04607310000574216
