gene
ISG15
AJAP1
HES2
ESPN
ERRFI1
AL034417.2
SPSB1
PIK3CD
TNFRSF1B
DHRS3
AADACL3
C1orf158
PDPN
KAZN
MFAP2
PADI1
PLA2G2A
PLA2G5
HSPG2
C1QA
C1QC
C1QB
EPHB2
ASAP3
ID3
RHCE
MAN1C1
AL031280.1
AL391650.2
SH3BGRL3
IFI6
EPB41
LAPTM5
TINAGL1
MARCKSL1
GJA4
CLSPN
EVA1B
CDCA8
MFSD2A
CITED4
HIVEP3
CLDN19
SLC2A1
TIE1
CDC20
PTPRF
KIF2C
RPS8
ZSWIM5
PIK3R3
CYP4A22-AS1
STIL
TRABD2B
AGBL4
AC104170.1
RAB3B
ACOT11
PRKAA2
DAB1
AL136985.3
CYP2J2
LINC01748
PATJ
ROR1
CACHD1
DNAJC6
LEPR
PDE4B
SGIP1
SLC35D1
IL12RB2
GNG12-AS1
DEPDC1
LINC01707
LRRC7
PTGER3
ZRANB2-AS2
NEGR1
AL583808.1
ST6GALNAC3
ST6GALNAC5
PTGFR
IFI44L
ADGRL4
ADGRL2
LINC01725
MCOLN3
AL078459.1
DDAH1
CCN1
COL24A1
PKN2-AS1
GBP4
LRRC8C
LRRC8D
AC098656.1
HFM1
DIPK1A
CCDC18
ARHGAP29
F3
TLCD4
AC092802.1
DPYD
DPYD-AS1
LINC01708
PALMD
LRRC39
VCAM1
COL11A1
NTNG1
KCND3
AL137856.1
PTPN22
OLFML3
TSPAN2
NGF
TENT5C
SPAG17
HSD3B2
HSD3B1
HMGCS2
LINC02798
TXNIP
GJA5
FCGR1A
HORMAD1
CTSS
S100A11
FLG-AS1
S100A9
S100A6
S100A4
S100A16
S100A1
SHE
ADAM15
EFNA1
IQGAP3
NES
CD5L
SPTA1
PYHIN1
IFI16
AIM2
CADM3
AL513323.1
CD84
NECTIN4
FCER1G
FCGR2A
FCGR2B
NOS1AP
NUF2
LRRC52-AS1
UCK2
CD247
RCSD1
DPT
LINC00970
ATP1B1
SLC19A2
F5
LINC01681
PRRX1
BX284613.2
MROH9
DNM3OS
TNFSF18
RABGAP1L-DT
KIAA0040
PAPPA2
LINC01645
ANGPTL1
FAM163A
QSOX1
RGS16
NPL
RGL1
C1orf21
NIBAN1
HMCN1
ERVMER61-1
AL136372.2
BRINP3
AL390957.1
RGS1
AL136456.1
AL353072.2
ASPM
PTPRC
MIR181A1HG
NR5A2
KIF14
REN
KISS1
PLEKHA6
NFASC
TMCC2
DYRK3
CR1
CR1L
CD34
LAMB3
HSD11B1
DTL
ATF3
CENPF
USH2A
ESRRG
TGFB2
LYPLAL1-DT
SLC30A10
MARC1
AL356108.1
AL392172.1
DISP1
SUSD4
CAPN8
DNAH14
STUM
ITPKB
WNT3A
HIST3H2BB
CCSAP
PGBD5
PCNX2
KCNK1
SLC35F3
AL160408.1
GNG4
RYR2
CHRM3
GREM2
KMO
OPN3
EXO1
PLD5
LINC02774
KIF26B
AC118555.1
AL390860.1
TRIM58
SNTG2
PXDN
COLEC11
LINC00299
LINC01814
MBOAT2
ASAP2
GRHL1
RRM2
HPCAL1
GREB1
LINC00276
LRATD1
AC068286.2
LINC01804
MYCNOS
MYCNUT
MYCN
VSNL1
KCNS3
AC079148.3
LAPTM4A
AC098828.2
SDC1
AC018742.1
KLHL29
DTNB
KCNK3
EMILIN1
SPDYA
GALNT14
EHD3
XDH
LTBP1
RASGRP3
AC017050.1
VIT
ARHGEF33
SLC8A1
LINC01794
PLEKHH2
PRKCE
LINC01119
KCNK12
AC092650.1
AC009975.1
AC007402.1
EFEMP1
AC011306.1
AC007743.1
CCDC85A
AC132153.1
BCL11A
LINC01185
LGALSL-DT
LINC02245
LINC01798
LINC01828
PLEK
ARHGAP25
ANTXR1
ANXA4
GMCL1
MXD1
ADD2
AC007881.2
DYSF
TET3
M1AP
HK2
LRRTM4
AC012494.1
CTNNA2
TMSB10
TCF7L1
CAPG
VAMP5
REEP1
CYTOR
FER1L5
MGAT4A
KIAA1211L
AFF3
LONRF2
NPAS2
IL1R2
IL1R1
TMEM182
ST6GAL2
LINC01885
SULT1C2
EDAR
SH3RF3
BUB1
ACOXL
MERTK
CKAP2L
DPP10
MARCO
GLI2
AC011246.1
LINC01889
MYO7B
C2orf27A
GPR39
NCKAP5
MGAT5
TMEM163
CCNT2-AS1
CXCR4
THSD7B
LRP1B
KYNU
ARHGAP15
AC079793.1
AC092652.2
LINC01412
TEX41
LYPD6B
LYPD6
AC007364.1
LINC01931
LINC01818
CACNB4
AC012501.2
GALNT13
LINC01876
GALNT5
CYTIP
CCDC148
PKP4
TANC1
PLA2R1
ITGB6
FAP
KCNH7
GRB14
AC019197.1
SCN2A
CSRNP3
GALNT3
TTC21B
SCN1A-AS1
SCN1A
SCN9A
SCN7A
AC073050.1
STK39
SPC25
DHRS9
LRP2
MYO3B
ITGA6
RAPGEF4
CHN1
AC093459.1
OSBPL6
CCDC141
SESTD1
ZNF385B
LINC01934
ITGA4
PPP1R1C
PDE1A
FRZB
AC021851.2
ZNF804A
AC009315.1
CALCRL
TFPI
COL3A1
COL5A2
SLC40A1
MFSD6
STAT4
MYO1B
NABP1
CAVIN2
AC098617.1
AC010983.1
AC064834.1
HECW2
CCDC150
PGAP1
BOLL
PLCL1
AC011997.2
SATB2
LINC01877
SGO2
GPR1
ADAM23
KLF7
AC009226.1
PTH2R
CPS1
ERBB4
AC093865.1
IKZF2
SPAG16
AC068051.1
BARD1
SNHG31
ABCA12
FN1
LINC00607
MARCH4
IGFBP2
IGFBP5
AC007563.2
DIRC3
PLCD4
CHPF
INHA
LINC02832
AC019211.1
AC067956.1
SGPP2
KCNE4
AP1S3
SERPINE2
FAM124B
DOCK10
