fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,4926787c29adf937c3a30401db82ec5c2488136f0f517feedac920e83615743f,1
0.003125,False,5aa77d2c8536442575cea70eba51960b12ddb584142866dd30ea94184ff05f83,5
0.00625,False,19ac7aeea2a4aff5d4bb2390c3483ba6972c5eec0c4be71204bff13d302de123,10
0.0125,False,b8992511fb9dec5518a522fd9713c3c3e0691007296a7d18cb29bbb5fe3d1205,20
0.025,False,495e40e0634a2c99dce3e133ecfdaff08396c80022236ab3abc410f7b6cb63ca,40
0.05,False,7936af713dd8e7b5bd5b1d6fdeebda5312ed0939fb1289f8b34f9b1e3c8a1d82,80
0.2,False,e87f7c931a1652a9d175ea7e736ef4d2598ccd939e39f8203e91a6b98c76ce12,320
0.5,False,9eb95d520e7da98029ba7c241e9c3ccf9420fc7700edad8c3734661ef2df5f73,800
1.0,False,6d9902cf961840514694995228546e9d95173d5048f07ff662b475c9c3091aa2,1600
