fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,1b3c98e7fee5c4967eb6ff3035ede1be24b58deda48112db66f688691739d9de,1
0.003125,False,fc4dde27e222abf3691b2b4da6dac76c20e74c5579d32f04f7b1f69b093448f3,5
0.00625,False,84e5c6d2af9e4790068ecf2b09e8c4fa853fd12629ad4cee8f65ab9ac85dabeb,10
0.0125,False,de12c0c9d409019780652979220352f63df6dbbec653d01437a3310332554fb7,20
0.025,False,e4b116c870102a4fb482aecf8b1c576ecf66822d7fc4c3e80d901983ea291843,40
0.05,False,10f4a938f3017768754a1a2db71511538ed000a4f97346e2ca65e93f530cda3b,80
0.2,False,bbeb233e2476cfa7944eced57814857185866dc1e36ff62fbcb886caad73f545,320
0.5,False,327d34020824004c20bceaafbc5af922b21bb55cbab69b02b92bcea57ab8490d,800
1.0,False,e157b3d895511b5eebcb4e4a59e31eeb078465da06bb25467e7fee33fd24bbc9,1600
