graph_id,head_id,macro_delta_ari,macro_delta_nmi,macro_delta_q,worst_dataset_mean_delta_q,paired_q_wins,paired_q_total,delta_q_std,spatial_gate_pass_both,mean_effective_runtime_seconds,peak_gpu_allocated_mib,peak_rss_mib,complete_cells
G00_SP18_F20_CORR_UNION,H07_EQUAL3_AFFINITY_SPATIAL05,0.028070891403525387,0.04877253430144346,0.038421712852484406,-0.005830453052190543,5,10,0.053151881890376514,True,27.219152141176163,943.36083984375,1252.01953125,10
G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0.025677657520110985,0.04707640482106536,0.03637703117058818,-0.005354411096670541,6,10,0.0501573441847709,True,25.9737117677927,943.36083984375,1252.01953125,10
G00_SP18_F20_CORR_UNION,H08_EQUAL3_AFFINITY_SPATIAL10,0.024884010929701553,0.047105684090713064,0.03599484751020731,-0.0071240222683111145,4,10,0.051713308292565964,True,26.95198097843677,943.36083984375,1252.01953125,10
G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,0.0017664882559483535,0.006334125988322631,0.00405030712213549,-0.0014377169935760326,7,10,0.016161490127192552,False,27.940010138601064,939.830078125,1266.59765625,10
G04_SP10_F10_EUC_UNION,H07_EQUAL3_AFFINITY_SPATIAL05,0.031010877358248236,0.05821090006391214,0.044610888711080196,0.0077790780253242375,10,10,0.04503476511472088,True,27.37366029229015,939.830078125,1266.59765625,10
G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0.03249355995852996,0.0590036120796467,0.04574858601908832,0.008270401379070647,10,10,0.04562012105774485,True,26.2985771805048,939.830078125,1266.59765625,10
G04_SP10_F10_EUC_UNION,H08_EQUAL3_AFFINITY_SPATIAL10,0.029492268282743206,0.056881301321675445,0.043186784802209346,0.006672597635681077,10,10,0.04524969095960357,True,27.347683057188988,939.830078125,1266.59765625,10
