stage,dataset,graph_id,seed,head_id,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib,checkpoint_file_sha256,cluster_file_sha256
R1,a1,G00_SP18_F20_CORR_UNION,0,H00_FUSED_PCA20_MCLUST_EEE,0.2775974946617373,0.3961175777608735,0.3368575362113054,0.5635943368968506,0.4783803317174876,0.5260364341033084,0.4364056631031494,22.988198567181826,6.36909362860024,29.357292195782065,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,4fca57e8b1fb4e71768a2f021bce565cc7e09e40f31944b7d6b1d986b8a893a3
R1,a1,G00_SP18_F20_CORR_UNION,0,H01_FUSED_DIRECT_MCLUST_EEE,0.2125054729206024,0.3606488874924305,0.2865771802065164,0.5789367234903208,0.5202529682474342,0.4811618636097899,0.4210632765096792,22.988198567181826,26.12502616457641,49.11322473175824,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,6e0123d42ae96f081e0e5d35351cebc253320feb9b87145e111d61cc9746ce72
R1,a1,G00_SP18_F20_CORR_UNION,0,H02_FUSED_PCA20_MCLUST_BIC,0.2286130831377283,0.3842878432193928,0.3064504631785605,0.5936434556486565,0.5314497569256146,0.4817522294732773,0.4063565443513435,22.988198567181826,17.76171514391899,40.74991371110082,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,e2b73e7118daef07fd07892f9b3af0c601883633ef89c0214354f0aa1089fe64
R1,a1,G00_SP18_F20_CORR_UNION,0,H03_CONCAT_PRIVATE_PCA20_MCLUST_EEE,0.2250296285583946,0.3622967136668653,0.2936631711126299,0.5927766541462005,0.5487481763042126,0.4577445683576117,0.4072233458537995,22.988198567181826,7.1460911724716425,30.134289739653468,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,0f78c63bbb4ffae7ad42167e1bf1e66b74ebd172dfcb98b26b9fafe1e7c61d84
R1,a1,G00_SP18_F20_CORR_UNION,0,H04_RELIABILITY_CONCAT3_PCA20_MCLUST_EEE,0.2287205154487488,0.365875891366865,0.2972982034078069,0.5938168159491476,0.5516174644919205,0.454749540777399,0.4061831840508524,22.988198567181826,10.91276690736413,33.90096547454596,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,05f02571a496c40d4df7775838bd13d9498c36db74736c1efda2edc519df1f04
R1,a1,G00_SP18_F20_CORR_UNION,0,H05_EQUAL3_AFFINITY_SPECTRAL,0.2653134568525383,0.3952915016961548,0.3303024792743465,0.6403062698642011,0.5804083296270155,0.4312394497720568,0.3596937301357988,22.988198567181826,4.511720275506377,27.499918842688203,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,c23c0e578f8ae9fafbcb2d5c90cea9f84015d2a70ed055fc095fadea5763df28
R1,a1,G00_SP18_F20_CORR_UNION,0,H06_AGREEMENT3_AFFINITY_SPECTRAL,0.2784031949954822,0.3999295326823624,0.3391663638389223,0.6806125397284022,0.5776972101257262,0.4333808982446586,0.3193874602715978,22.988198567181826,2.6110415272414684,25.59924009442329,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,80ebfb2b8a8c7c7f2bde0dde245b9e957b2b304ee25212b93e6a292a7fdc3d55
R1,a1,G00_SP18_F20_CORR_UNION,0,H07_EQUAL3_AFFINITY_SPATIAL05,0.2614574912281547,0.3922760022640107,0.3268667467460827,0.6447847442935568,0.5852155530491662,0.4264137999942489,0.3552152557064432,22.988198567181826,5.1922594625502825,28.180458029732108,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,3749a31295356af5d0c99f3b252c78a028bbb530b936ce69fe7a39bb1c4454e8
R1,a1,G00_SP18_F20_CORR_UNION,0,H08_EQUAL3_AFFINITY_SPATIAL10,0.2601803485250442,0.3922547229628343,0.3262175357439393,0.6468361745160358,0.5868218334518984,0.4247671978214311,0.3531638254839642,22.988198567181826,4.878883764147759,27.867082331329584,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,0318113404c4b8313f1bc8918f9ae0b674aacd1b476df70f170e41cac10d61cd
R1,a1,G00_SP18_F20_CORR_UNION,0,H10_MCLUST_POSTERIOR_MRF05,0.2772583104634361,0.3959347499599822,0.3365965302117091,0.5679283444091303,0.4832622329577788,0.5211589754743454,0.4320716555908697,22.988198567181826,7.411731716245413,30.39993028342724,768.0126953125,1134.05859375,50d56b443fb88e215b8f65ee9d0b57cdf458eae4a3cc5a09a84d111f630461af,791c849bfe71948029bd3db1e3e3603bd546b44cc827619938b6930927be80d5
