lane,neighbourhood_rows,ari_median,ari_min,ari_max,nmi_median,nmi_min,nmi_max,rows_within_0.005_ari_of_headline,sharp_single_peak
A1,11,0.2760026589984753,0.2378585233108772,0.2760026589984753,0.4217398394121822,0.3870210962339493,0.4217398394121822,7,False
D1,24,0.3617220320973921,0.2909700437482788,0.3651735437579217,0.4487343718206685,0.4153729062866438,0.4541090013588941,14,False
MISAR_E15_5_S1,11,0.5414237853091904,0.5281817095184671,0.5414237853091904,0.6667977615565593,0.6517627241519711,0.6667977615565593,7,False
MISAR_E15_5_S1_K12,24,0.45306683974287776,0.3854810094410527,0.4541171509938244,0.5986289047196983,0.5854914771454695,0.6071906236254658,15,False
P22,10,0.5939121542899773,0.5213362776873849,0.5955516462857395,0.7142428513607495,0.6906392083137012,0.7179305602206435,9,False
P22_3DOT_K18,24,0.7410612434972846,0.7136244587696193,0.7459390507181689,0.7543363429866353,0.7474584651975156,0.7661213526325692,13,True
tonsil_s1,11,0.2365355019438236,0.2310984290267136,0.2365355019438236,0.3171179292228705,0.3113490921242823,0.3171179292228705,10,False
tonsil_s2,11,0.2582642450087792,0.238674332577684,0.2582642450087792,0.3143240809985105,0.2890868082741017,0.3143240809985105,7,False
tonsil_s3,11,0.350644182009914,0.2663137137803856,0.350644182009914,0.3097714630576775,0.2203922676426024,0.3097714630576775,7,False
