lane,dataset,n,k,kit_path,start_source,start_partition_sha256,candidate_lineage,operator_path,feature_graph_energy_label_reads,label_contact,final_partition_sha256
A1,A1,3484,10,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\A1.npz,parent_frontier,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,COARSE_e49c1eb6eba29668,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a
D1,D1,3359,10,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\D1.npz,parent_frontier,e0ea6a38f83d5814e6d58f7746bc0b47f3657de1d700b00393259a457c29581f,COARSE_1bff3e4d1c4b5c84>REFINE_1e9e7bd1ede5214a>REFINE_709aa511c3fd0ee0,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426
tonsil_s1,tonsil_s1,4326,4,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s1.npz,parent_frontier,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da,COARSE_0388234583f93edf,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,e295e970c84d33c1ec13ad3be498846ee59c3b4c3cb3f3b6ee5c35ed73ccb6da
tonsil_s2,tonsil_s2,4519,4,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s2.npz,parent_frontier,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196,COARSE_894b53b16bf2fab1,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,b56c96f9aa3c3463a0fb10094ed18b971aa96c78966e50609a578247ca8d6196
tonsil_s3,tonsil_s3,4521,4,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\tonsil_s3.npz,parent_frontier,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,COARSE_6f0fe04e060b0169,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43
P22,P22,9196,9,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\P22.npz,night15f_authority,3fb0397efa846c8df34debc9a63b54e343261e525450a00d2e319513861ab4e8,COARSE_37bb46957925373f,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,331a1acf7adb1e499510522f2e852081032b0d97beed69a6dfbca8865f0a8e26
MISAR_E15_5_S1,MISAR_E15_5_S1,1949,7,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\MISAR_E15_5_S1.npz,parent_frontier,0c47bba6e9d2070df15578c8d6ab5effb1db01f01cb4d9c75edc8e5fa0873416,COARSE_70f0dc1c240066ff,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,0c47bba6e9d2070df15578c8d6ab5effb1db01f01cb4d9c75edc8e5fa0873416
P22_3DOT_K18,P22,9196,18,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\P22.npz,parent_frontier,46b19a74b8f4733a3b87e3df1dc7ea6ce0e0fcbde11db81c1dbe0301e71fc118,COARSE_88657eb555e0ca10>REFINE_aa5c94e91a7dd7b1,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,42dfcd5e8d40a93668bfdd9365cdd2f3d09cda3dafda59034a058edf30cb7735
MISAR_E15_5_S1_K12,MISAR_E15_5_S1,1949,12,D:\文档\ChatGPT\博士第一篇科研论文项目\night15b_delivery_20260824\working\local_compute_kit\MISAR_E15_5_S1.npz,parent_frontier,b101f14c516a9b304bc93e4205199cbe6078389a72c4a9dbf173c2d254d29d4f,COARSE_419f6576191f3e9c>REFINE_0f97866c2a7b9050,common start bank > shared numeric repair/structured decoder > guard > evaluator,0,independent evaluator and cross-run benchmark HPO only,22f4c1c539d33a791db6c6752eee0121f203e39ec08fb7891685bd129a20acd9
