lane,stage,candidate_id,parent_candidate_id,start_name,start_partition_sha256,config_json,complexity,status,failure,partition_key,exact_k,finite,min_cluster_size,cluster_sizes,normalized_cluster_entropy,graph_same_fraction,partition_sha256,repair_enabled,repair_threshold,repair_merged_clusters,repair_split_clusters,repair_boundary_moves,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,evaluated_observations,source_stage,source_directory
A1,coarse,COARSE_9fbf2f4865b07135,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.1,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1"",""merge_boundary_weight"":0.25,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":9,""split_cluster_score"":""boundary"",""split_mode"":""pca_quantile"",""split_quantile"":0.6}",2,PASS,,p_ccfeb61413f6411b7420ac918999ee75fae466304ed4bd852bbd27fcbb90e393,1,1,100,"[276,278,409,730,248,205,100,314,320,604]",0.9460047672816602,0.7932831499710481,ccfeb61413f6411b7420ac918999ee75fae466304ed4bd852bbd27fcbb90e393,1,53,0,0,1007,0.153461799985962,0.1921410834833023,0.3585190729662045,0.3544567683215884,0.3376008472948958,0.7508623470602165,0.2497472294698569,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_2b63081a8672f7c2,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.0,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.03,""seed"":0,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,11,0,0,0,0.0010299000132363,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_6c75714d88f6d134,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":1,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,18,0,0,0,0.0009590999979991,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_36602001e2a39e14,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":2,""split_cluster_score"":""mean"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,27,0,0,0,0.000965500017628,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_160f06b1728f4c6e,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.25,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":3,""split_cluster_score"":""sse"",""split_mode"":""pca_quantile"",""split_quantile"":0.35}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,35,0,0,0,0.0009510999952908,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_217a18a3119b73d2,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.15,""seed"":4,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.65}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,53,0,0,0,0.0009826000023167,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_6663bcfd176713b6,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.0,""boundary_refine_sweeps"":0,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.2,""seed"":5,""split_cluster_score"":""boundary"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",1,PASS,,p_ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,1,109,"[276,330,436,664,231,190,109,288,381,579]",0.95258285321046,0.5418975928530069,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,1,70,0,0,0,0.0009436999971512,0.2516395431949381,0.4030725377983389,0.3993064993927984,0.3888151214141628,0.4951060116220841,0.5061453001443901,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_b4870b96fe3e7d7f,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.02,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.25,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.05,""seed"":6,""split_cluster_score"":""mean"",""split_mode"":""pca_quantile"",""split_quantile"":0.5}",2,PASS,,p_06c72cb7ace839fa4c1cdb59fe0570b95d98d9ad64b41ef346cc5a2f13259af8,1,1,121,"[288,261,412,729,240,206,121,304,325,598]",0.9488342958721376,0.7860038051120853,06c72cb7ace839fa4c1cdb59fe0570b95d98d9ad64b41ef346cc5a2f13259af8,1,18,0,0,951,0.1528527000045869,0.1924114337367619,0.3636887455265328,0.3596640177464091,0.3375694034921423,0.7417901459934799,0.2595497991460758,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_44dbeefe08cc4065,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":1,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""clusterwise"",""min_cluster_fraction_of_equal"":0.075,""seed"":7,""split_cluster_score"":""sse"",""split_mode"":""kmeans2"",""split_quantile"":0.5}",2,PASS,,p_eb0a045efa094e5e8f2f9817b8f063745eaed8d4adfbe983ecae084e2bc7673e,1,1,112,"[274,279,409,730,245,197,112,314,320,604]",0.947076447990108,0.7914633137563074,eb0a045efa094e5e8f2f9817b8f063745eaed8d4adfbe983ecae084e2bc7673e,1,27,0,0,995,0.153227800008608,0.1918448116368796,0.3605650915456389,0.3565170854303842,0.3372719184842927,0.7489561744050655,0.251857249199744,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
A1,coarse,COARSE_9b9d38236a77cc57,,teacher_02,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,"{""boundary_refine_beta"":0.05,""boundary_refine_sweeps"":2,""enabled"":true,""feature_mode"":""molecular_resnet_w0.1_coord_w0.03"",""merge_boundary_weight"":0.75,""merge_mode"":""pointwise"",""min_cluster_fraction_of_equal"":0.1,""seed"":8,""split_cluster_score"":""boundary"",""split_mode"":""pca_quantile"",""split_quantile"":0.4}",2,PASS,,p_dc57f6f4c2628dd0f331e476c6b38a9d22a3d6a76d8afc0af6e7ee376ec5100f,1,1,103,"[294,268,396,732,250,198,103,320,301,622]",0.9447978029371276,0.8351393829100835,dc57f6f4c2628dd0f331e476c6b38a9d22a3d6a76d8afc0af6e7ee376ec5100f,1,35,0,0,1255,0.280374900001334,0.1825201242605969,0.3549621200062391,0.3508739834924441,0.3294628165771086,0.7948647836638525,0.2058650618089573,3484,coarse_primary,D:\文档\ChatGPT\博士第一篇科研论文项目\night16b_local_work\working\coarse_primary_other
