lane,boundary_precision,boundary_recall,boundary_f1,cmbf_boundary_auc,support_inverse_auc,conflict_true_boundary_mean,conflict_nonboundary_mean,wrong_observations_after_hungarian,wrong_within_1_hop_of_true_boundary_fraction,wrong_within_2_hop_of_true_boundary_fraction,trust_correct_mean,trust_wrong_mean
A1,0.534839527027027,0.5510115292582118,0.5428051001821493,0.5941005189089521,0.5764018346420361,0.4519885182380676,0.4223918616771698,1949,0.9425346331452027,0.9881990764494613,0.5894663333892822,0.628581166267395
D1,0.5320561941251596,0.4476681710724264,0.4862278244631185,0.5674833287323944,0.5212148252996764,0.4741680920124054,0.49902018904685974,1409,0.9581263307310149,0.9950319375443577,0.5914400815963745,0.5901901125907898
tonsil_s1,0.46765001676164936,0.36992840095465396,0.4130885401243708,0.6061327015724396,0.5722049152177707,0.47030526399612427,0.475581556558609,2104,0.8940114068441065,0.9600760456273765,0.6142447590827942,0.6668286323547363
tonsil_s2,0.48653846153846153,0.323943661971831,0.38893159108378167,0.5440048077573709,0.5199726237660286,0.43873026967048645,0.43704500794410706,2126,0.9397930385700847,0.989181561618062,0.651841402053833,0.6969099640846252
tonsil_s3,0.4431137724550898,0.3693482090428655,0.4028823058446757,0.5982309096638938,0.5829620683184846,0.43398261070251465,0.4422796070575714,1499,0.9659773182121414,0.9939959973315544,0.6331440806388855,0.6429327130317688
P22,0.2788244159758855,0.18896833503575078,0.22526636225266364,0.5421118973252506,0.5248916258775322,0.5173748135566711,0.5279887318611145,3170,0.4637223974763407,0.5876971608832807,0.664126992225647,0.6160488724708557
MISAR_E15_5_S1,0.38694638694638694,0.24665676077265974,0.30127041742286753,0.5985575345902241,0.5726105246907625,0.4244930148124695,0.4434598982334137,683,0.5841874084919473,0.718887262079063,0.6322073340415955,0.6118714809417725
