family,lane,variant,partition_sha256,changed_observations,producer_label_reads,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,neighbor_agreement,evaluated_observations,min_cluster_size,cluster_sizes
RNA_PROTEIN,A1,STRONG_START_ONLY,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0.2760026589984753,0.42173983941218224,0.4179696235567275,0.41627457695164916,0.46910324814852733,0.42173983941218224,0.2901324418328055,0.41691915002284924,0.6082388948630987,3484,114,"[277,773,568,182,307,790,168,114,121,184]"
RNA_PROTEIN,A1,CMBF_TPR_FULL,8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b,3,0,0.2760037787216815,0.4216898282359679,0.41791929249969284,0.41628023289323707,0.46905020495327543,0.4216898282359679,0.2898402271894445,0.41756897342677124,0.6077425758954421,3484,114,"[274,773,569,182,307,790,168,114,121,186]"
RNA_PROTEIN,A1,BOUNDARY_STATE_DISABLED,ca9d48a450e7d8c0415f41b62830e764174dc9e788d8f96131c70445d02ed20e,14,0,0.27501996959305935,0.4184796386332043,0.4146872582273788,0.41549621481437077,0.4653592145466004,0.4184796386332043,0.2907368989465641,0.41534058191729484,0.607825295723385,3484,113,"[275,770,574,182,307,791,167,113,122,183]"
RNA_PROTEIN,A1,CONFLICT_STATE_DISABLED,37edefd43cb5fa5e334c27cbe31af1fa9d2113716697d80fb2279f06d31529d8,7,0,0.27582225034370245,0.42005905490487383,0.41627857834489496,0.41607820675977003,0.467320850897797,0.42005905490487383,0.29034938076352357,0.4165688946968712,0.6073289767557284,3484,114,"[276,770,570,182,307,790,168,114,121,186]"
RNA_PROTEIN,A1,TRUST_GATE_DISABLED,1f5720db7ad4dc49c16df2c89d5885f85f2552731b3238649270a3f27bb799d6,4,0,0.276090227054327,0.421789489879399,0.41801970684717343,0.41634879436238015,0.46917479770400333,0.42178948987939896,0.2888365103003914,0.41970114532769914,0.6074944164116138,3484,114,"[273,773,569,182,307,790,168,114,121,187]"
RNA_PROTEIN,A1,GENERIC_REPAIR_ONLY,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0,0,0.2760026589984753,0.42173983941218224,0.4179696235567275,0.41627457695164916,0.46910324814852733,0.42173983941218224,0.2901324418328055,0.41691915002284924,0.6082388948630987,3484,114,"[277,773,568,182,307,790,168,114,121,184]"
RNA_PROTEIN,A1,DIRECTIONAL_EDGE_ONLY,dfa4a355e30d8bd5f6a3368794b964f840fea39fdc67c7d658261bc27d1af8b3,247,0,0.2701735955868352,0.4106791005139488,0.40684484692059364,0.410953378201007,0.4578101224172953,0.4106791005139488,0.29499689306453486,0.40695265503580946,0.627926213913475,3484,113,"[263,737,578,182,305,803,190,113,126,187]"
RNA_PROTEIN,D1,STRONG_START_ONLY,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,0,0,0.36517354375792177,0.44457744301444424,0.44061811600342027,0.5042383351628853,0.45546088076390423,0.44457744301444424,0.3527990913927712,0.29460288001229723,0.6640926640926641,3359,55,"[998,90,1082,133,212,370,93,209,55,117]"
RNA_PROTEIN,D1,CMBF_TPR_FULL,47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334,5,0,0.36647786249458353,0.4481582291179582,0.44422690581631913,0.505082035057397,0.45951721078927493,0.44815822911795816,0.35772217116151317,0.28518937020115226,0.6655512655512655,3359,58,"[996,92,1081,133,212,369,92,209,58,117]"
RNA_PROTEIN,D1,BOUNDARY_STATE_DISABLED,47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334,5,0,0.36647786249458353,0.4481582291179582,0.44422690581631913,0.505082035057397,0.45951721078927493,0.44815822911795816,0.35772217116151317,0.28518937020115226,0.6655512655512655,3359,58,"[996,92,1081,133,212,369,92,209,58,117]"
