stage,family,lane,candidate_or_variant,status,failure,partition_sha256,absolute_ari,absolute_nmi,wall_seconds,notes
stage0_superseded,RNA_PROTEIN,A1,CMBF_5fb57a26473d7456,SUPERSEDED,,d05f102fe3045db2678aae81d04587307e36d3670050d7ec5f5b3a8136a4c1e7,0.2609951007338764,0.39999308832673514,0.06381700001657009,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_d5b6b03ee1610378,SUPERSEDED,,f6956d3cd0225cebdaf1ab609d1afa93a36f9c695e4fb407cb3886c80205e2dc,0.2368001337038835,0.3761750797842186,0.06682810001075268,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_7ad6f62d358cbe63,SUPERSEDED,,956bbbeabfe6b32f2973748e26de927fde9d8d43931ab2e4eec8815a4a7a2844,0.2503857182311384,0.3990989102606739,0.1900968000118155,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_f756fa0a1253641c,SUPERSEDED,,a7fe37d13aa06d868a240ac88cdf690052af118c65fd984f9916f158008509d5,0.2400464113794229,0.39141234502614836,0.19067510002059862,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_d66f45277f66d31e,SUPERSEDED,,951d5e260e7ade6e1a97c8f8fb4e170c68b90d533ce9a552b9bfa320a9ba9ab7,0.26064424336409087,0.400778314260406,0.10282470000674948,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_5d15ee6783ed020a,SUPERSEDED,,3618e30c5be246b1130d73a3fb53c1fca84baf0103263fe22527893b67f029e5,0.26269436633586296,0.4038306120269819,0.12910160000319593,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_48610f9ad4bc6af2,SUPERSEDED,,2f9fde057e840c85915cc13b4c32123f64a6b9bf3634b2b9778460359d8675f7,0.24476770704309886,0.3923228805057734,0.18613019998883829,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_44739cedebc46e5d,SUPERSEDED,,0bfb1a5b87b5cb674d467594793d71a4e08630c77956e0d58841036e1b4b9c8a,0.24512373803125548,0.3873863311733557,0.08519709997926839,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_e74f89f6154ed3d1,SUPERSEDED,,8d93e7ec797df37d660774f21c267f0c07c6f5083730d75b1721df4ce97e37fd,0.2509588582581122,0.3979045815620174,0.0995921999856364,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_22e5cfb195d932d4,SUPERSEDED,,3da8c055940571d9d7e2c4e6d4a4155897026082b2715e9f0bccb48757c02364,0.2586304121166475,0.4015042269708788,0.08703080000123009,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_d4975dd3d74ecdbc,SUPERSEDED,,e16532c76ef00b9e720a766724ca643ced35bb6eecee4386875c7a72026d818f,0.23724484314486777,0.3748916859683736,0.0706423000083305,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_97bfeefd0d099e7a,SUPERSEDED,,27ca6bb16d2866985284c410a9a45e8e6882ee5635cbde04c36d37f18fedb0b1,0.2520765720539497,0.394339596275809,0.046728899993468076,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_2fce1fbbd4bc10b2,SUPERSEDED,,cbce8294fb3b9d39acf70b3d6c8c42faff4a3e4515a2f8ece0a20fc84ce3f921,0.2519802733836073,0.4020043806723639,0.09946919998037629,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_eb31e7b8cf738c32,SUPERSEDED,,5c0b9d067c62a743fdbbc059f20d45711336b3212e00bfe059c88575df1c4288,0.2582913948728681,0.4082411738690444,0.09893559999181889,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_0937d54b33dd40d1,SUPERSEDED,,e9a15bbba7345bac661ed29018aead1d756687ff97d3a072349d6054bc5894b9,0.24126014201112683,0.38256554315769076,0.10368849997757934,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_833cc7e58f8da466,SUPERSEDED,,c22016e7a19b543c7fc01b5ce472b15e49c4193484113c64d19d76dda70a8ef8,0.2673709253337474,0.40799808493166306,0.042853199993260205,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_ffa1ad6966b30f6e,SUPERSEDED,,e4b65498e6715ba182f4f059c052415c2cea63ccdc5018088e2d50ab5a6bba9e,0.2357730024678706,0.37429377569388755,0.13232209999114275,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_f87089bf274fea25,SUPERSEDED,,faef0e38685603f1abfafb3b16626fd90e240bd1bc8ce989d53e1398e0fe34f2,0.25392529635405814,0.3928826654780452,0.08426750000216998,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_5c5ea4015651bd35,SUPERSEDED,,7a8f27731f27af354e9156f413a42e88fffa9ce7ca804ce814feea2356bbfced,0.25244698109697083,0.4003632587080926,0.0969799000013154,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_36e81709dcbccbca,SUPERSEDED,,d14ea9beeddfc29c9b04c4d2826527a85b534e50ae587d93f6adb021ea73d489,0.2396873532705764,0.37725987294042806,0.1253939000016544,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_c40410d7e5ee0c1d,SUPERSEDED,,e29bd6a66e75a2e27c728984f51bd9221f43442a577678917a250c971ae37f93,0.2608002698525229,0.40307944528570583,0.04172060001292266,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_2fec2fe061c26f58,SUPERSEDED,,fc564350daaa4b62a4ba348b8dc3e559585995e3c83d301fcce693f01acffedd,0.22715271748511823,0.3671064317528192,0.1246281000203453,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_3aaa4a9e7d8d2b21,SUPERSEDED,,c0a213c3b4ad3dce319248f2b91039f1b96c6b52c12f5111a2d5445612df5a26,0.26417997284627237,0.40369421603778216,0.0410676000174135,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_bd9500628e0b125a,SUPERSEDED,,cc9a9f00b6e0aae2e666205b07e50c2d955aa1485fda0b521e4ad04dfe7e4dc7,0.2530779798122258,0.3931777236157299,0.043100800015963614,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_99bfe5df73bd19c1,SUPERSEDED,,ac201414b1b36eeae8f9f38bccf82f49acaa2218cb51e6c85631914c1eada9ae,0.2510949237733166,0.403565312131628,0.18298280000453815,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_a8259b5ae27e7eb9,SUPERSEDED,,324bfd60c05bb7001bf8b26219264c25fefeb06f8664b9d0c1363cc0d78b9a3f,0.24910472547784746,0.39058646111812834,0.04331139998976141,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_118dbed1e432e5d7,SUPERSEDED,,65a9e54b610724b6ca6a2cfc0e791d13263be257315458669e382fd0ff7a0928,0.24383164994027284,0.38538854828379254,0.06459319998975843,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_3ba43c2ee389abc7,SUPERSEDED,,b7ec4a403741b7363282ddb2ff05c8bcfb4c6675ea2400d73fa31c35197de5b6,0.2611424384569448,0.4011321730166052,0.08092609999584965,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_faeec5a80a0e4ed4,SUPERSEDED,,6fba7fce1202b29c398faf1e0f2b7cb36992d3dd926e58069cd13ea9cfa9830b,0.25271570159743034,0.3931087746660716,0.12393709999741986,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_b3350c2365dc2d29,SUPERSEDED,,1654e80c476f6cf11a510a9b6764a089e4e16b2057efc9f3886c9893a937ce0a,0.23565145418057343,0.37521676578933033,0.12643869998282753,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_75135cc1c9d99dff,SUPERSEDED,,cd0af119a2d1ec7269a9b9fe0aeb8b36723d58cb232063de91206c54df4ef225,0.2439221309458932,0.3919300900748692,0.1832513000117615,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_4ee65e17e4988304,SUPERSEDED,,cfff9e0f9246e8c5b896b4a51289ff4dabc48b74e069cdf5b060b0e572c273b0,0.25300875730526823,0.38943854166309055,0.06398940001963638,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_2278ba95f165704e,SUPERSEDED,,d49a94f2bd69533eb6eaa8109982af7bcfa243c67b00cd94496e3fc0d77abb45,0.2475538728865772,0.39035385680122364,0.08081459999084473,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_56dcd8708d21ae45,SUPERSEDED,,0ce1e6618d8c49ac9bcfec4bf140223c42b972e6ebdea72b82810c75ca056f84,0.25098985873700275,0.39868839222537084,0.09565339999971911,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
