family,lane,study,physical_unit,role,total_observations,evaluated_observations,K,night16b_frontier_ari,night16b_frontier_nmi,matched_strong_start_ari,matched_strong_start_nmi,family_frozen_ari,family_frozen_nmi,delta_vs_strong_start_ari,delta_vs_strong_start_nmi,delta_vs_night16b_frontier_ari,delta_vs_night16b_frontier_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,neighbor_agreement,changed_observations,minimum_cluster_size,cluster_sizes,partition_sha256,config_id,best_ari,median_ari,mean_ari,min_ari,best_nmi,median_nmi,mean_nmi,min_nmi,winning_deterministic_replays,wall_seconds,peak_gpu_mib,producer_label_reads,dense_n_by_n_count
RNA_PROTEIN,A1,GSE263617,lymph node A1,discovery,3484,3484,10,0.2760026589984753,0.42173983941218224,0.2760026589984753,0.42173983941218224,0.2760037787216815,0.4216898282359679,1.1197232062110096e-06,-5.001117621433737e-05,1.1197232062110096e-06,-5.001117621433737e-05,0.41791929249969284,0.41628023289323707,0.46905020495327543,0.4216898282359679,0.2898402271894445,0.41756897342677124,0.6077425758954421,3,114,"[274,773,569,182,307,790,168,114,121,186]",8c3430f4db406f6d537ef7eb5e6691f8c5fd509adcd6aab968fd08b2481ebc2b,CMBF_f9449aa1499e111c,0.2760037787216815,0.2760037787216815,0.2760037787216815,0.2760037787216815,0.4216898282359679,0.4216898282359679,0.4216898282359679,0.4216898282359679,2,0.06304140001884662,0,0,0
RNA_PROTEIN,D1,GSE263617,lymph node D1,frozen_transfer,3359,3359,10,0.3651735437579217,0.4445774430144442,0.36517354375792177,0.44457744301444424,0.36647786249458353,0.4481582291179582,0.0013043187366617581,0.0035807861035139776,0.0013043187366618136,0.003580786103514033,0.44422690581631913,0.505082035057397,0.45951721078927493,0.44815822911795816,0.35772217116151317,0.28518937020115226,0.6655512655512655,5,58,"[996,92,1081,133,212,369,92,209,58,117]",47f5ba48cd016d19087cc0c813ba5d1f3b6ad0b1348c66778b136659e3a45334,CMBF_f9449aa1499e111c,0.36647786249458353,0.36647786249458353,0.36647786249458353,0.36647786249458353,0.4481582291179582,0.4481582291179582,0.4481582291179582,0.4481582291179582,2,0.06056640000315383,0,0,0
RNA_PROTEIN,tonsil_s1,Zenodo 12654113,tonsil slice 1,discovery,4326,4326,4,0.23653550194382364,0.3171179292228705,0.23653550194382364,0.3171179292228705,0.23668286718251594,0.31736524060791105,0.00014736523869229856,0.0002473113850405273,0.00014736523869229856,0.0002473113850405273,0.3167667297349248,0.5033588064073908,0.35651116046522324,0.31736524060791105,0.3535481099947831,0.29411687004203885,0.7997187625552431,3,478,"[478,1304,1141,1403]",61d64ed233b9bd5e8d800da195123f337eb1b1fcdaee08cec1068601738d5e0b,CMBF_f9449aa1499e111c,0.23668286718251594,0.23668286718251594,0.23668286718251594,0.23668286718251594,0.31736524060791105,0.31736524060791105,0.31736524060791105,0.31736524060791105,2,0.07235219998983666,0,0,0
RNA_PROTEIN,tonsil_s2,Zenodo 12654113,tonsil slice 2,frozen_transfer,4519,4518,4,0.25826424500877926,0.31432408099851056,0.25826424500877926,0.31432408099851056,0.2587853670379758,0.31654623862882414,0.0005211220291965191,0.0022221576303135815,0.0005211220291965191,0.0022221576303135815,0.3159733485923322,0.5158460787106333,0.34576251609552017,0.31654623862882414,0.38708506304917056,0.22500956575824918,0.8332800613693025,8,445,"[1001,1403,445,1670]",cd8233e38ed63e2a28b5833aa9da4d2402d0358c9613deaa6a353e4313339c0d,CMBF_f9449aa1499e111c,0.2587853670379758,0.2587853670379758,0.2587853670379758,0.2587853670379758,0.31654623862882414,0.31654623862882414,0.31654623862882414,0.31654623862882414,2,0.07499280001502484,0,0,0
RNA_PROTEIN,tonsil_s3,Zenodo 12654113,tonsil slice 3,frozen_transfer,4521,4460,4,0.350644182009914,0.3097714630576775,0.350644182009914,0.3097714630576775,0.35128336225091983,0.31024922882536426,0.0006391802410058434,0.0004777657676867664,0.0006391802410058434,0.0004777657676867664,0.309607242029315,0.615016726276322,0.3157600416355239,0.31024922882536426,0.32538063077922214,0.3480947044111666,0.7935857586888951,3,294,"[2471,574,1182,294]",ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd,CMBF_f9449aa1499e111c,0.35128336225091983,0.35128336225091983,0.35128336225091983,0.35128336225091983,0.31024922882536426,0.31024922882536426,0.31024922882536426,0.31024922882536426,2,0.07379850000143051,0,0,0
RNA_CHROMATIN,P22,AtlasXplore/Fan,mouse brain P22,discovery,9196,9196,9,0.5955516462857395,0.7179305602206435,0.5955516462857395,0.7179305602206435,0.5959576919633218,0.7180057752361862,0.0004060456775822896,7.521501554275112e-05,0.0004060456775822896,7.521501554275112e-05,0.717518466586666,0.6558322730162267,0.7298003565931807,0.7180057752361862,0.4759391120780742,0.044328459510758804,0.9583966742158657,10,163,"[1153,624,1481,803,1018,1524,610,1820,163]",ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d,CMBF_fbed48fa34f0c773,0.5959576919633218,0.5959576919633218,0.5959576919633218,0.5959576919633218,0.7180057752361862,0.7180057752361862,0.7180057752361862,0.7180057752361862,2,0.18869430001359433,0,0,0
RNA_CHROMATIN,MISAR_E15_5_S1,MISAR-seq,E15.5 S1,discovery,1949,1949,7,0.5414237853091904,0.6667977615565593,0.5414237853091904,0.6667977615565593,0.5416365903694235,0.6669488935833199,0.00021280506023302337,0.0001511320267605365,0.00021280506023302337,0.0001511320267605365,0.6651935851132983,0.6332069965196186,0.7051794837732301,0.6669488935833199,0.4799287696183175,0.048258962397380756,0.936631055173423,1,125,"[295,437,178,267,355,292,125]",1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,CMBF_fbed48fa34f0c773,0.5416365903694235,0.5416365903694235,0.5416365903694235,0.5416365903694235,0.6669488935833199,0.6669488935833199,0.6669488935833199,0.6669488935833199,2,0.03342010002234019,0,0,0
