dataset,graph_id,head_id,seed,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib,checkpoint_file_sha256,cluster_file_sha256
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,0,0.21639294442065724,0.34792863944036273,0.28216079193050997,0.6303736079511436,0.5796260115815904,0.42630856602491685,0.3696263920488564,26.330935108475387,6.8537345211952925,33.18466962967068,741.99560546875,1130.4140625,4890ff89c1be7947a0df8c4d9cbdf3f6b6660fd3cd93f163b49c91f158eddbcf,4d259bd87493f554e9e30161fd555fb55dc9f46b1a8c66e4a11ddecd37ba4959
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,1,0.21257178689861403,0.3467683674270881,0.2796700771628511,0.6107352412884685,0.5387216971376508,0.46591608539962415,0.38926475871153154,23.7369417026639,6.060862632468343,29.79780433513224,741.4765625,1160.94140625,d7bf733e4bf432b5ba32662e3c1a0fd49405b1004ea6a726ae8058aa7bca82e9,f781a4cd5be56b03f7d8ef555c3ba1d5e720c29a0215169e842f79858f1b052d
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,2,0.20980068383125347,0.3585548660959585,0.28417777496360597,0.6408513950425099,0.5972821768192402,0.40989971060133296,0.3591486049574901,24.513854605145752,6.7695088451728225,31.283363450318575,741.4765625,1166.171875,e035b8b9a50d1b03d78dd1fdd6bf333db2806e7d43b635b0169e05990af75eee,369a89d9133c9afa9a36bc16237277b0c662829558d49ca48fde9e2cb5df7cb0
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,3,0.18975948410843171,0.33428952848868154,0.2620245062985566,0.6316309424021075,0.5824752157407591,0.42137096034113364,0.3683690575978925,20.28786595351994,4.494707406498492,24.782573360018432,741.4765625,1196.34375,47979f864832490de12f878140ef754e644040a9a6944b8d5539948d2c4c14bd,afc88870a27202f58f97aedcfd980380a53ef2466bd12095893ac21a0d877c9c
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,4,0.21781738904897302,0.3576758337968496,0.2877466114229113,0.624565920249072,0.565124479163319,0.44084894271946434,0.375434079750928,22.730383798480034,7.120901493355632,29.851285291835666,741.4765625,1196.34375,a49df80472448d2844a90801bec6d34dcf45ca4109699402177719c3591ba58a,e3373413c271f93b01cb70f00d6a44d089554941223707824a55a7f6bae2114e
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,5,0.20539095004621322,0.34665009327314694,0.27602052165968005,0.595527481738714,0.5331459291520958,0.4700222619925015,0.40447251826128605,26.215744741261005,7.076377854682505,33.29212259594351,741.4765625,1196.34375,d1f540aba6eb9ea56ab325a934bbd40cc5900a2266ea201542fc2d686587d457,a4a88a9a40ea37fa03ec747fd16d46dbf4874381913b7a14190281b9b9755750
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,6,0.21711455707186447,0.3458021661740119,0.2814583616229382,0.650850197581128,0.5966560154412746,0.4080244897166535,0.34914980241887195,21.991154582239687,5.199903103522956,27.191057685762644,741.4765625,1202.51953125,1266f3ee2e5905b69adbb418f18e4ee5f5d670c90c9466222c65c9e2180828ec,7304ea1fd9882674e581b77a64a2133847ce3bc7912f8548deaf9675a6448a0b
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,7,0.21088288527150134,0.3548787794366874,0.28288083235409434,0.5906178900730451,0.5386290484551803,0.46686604503877654,0.4093821099269549,22.187626232393086,5.691915265284479,27.879541497677565,741.4765625,1204.05859375,cf906000f94180b665793fd1ef676848c25e099061e3ac232862f7b377272da4,0154e75631e063779ea46bb1ead7c0f80d5c96b1966dc68b1e295410682e20dc
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,8,0.2028635255615211,0.34839061809849525,0.2756270718300082,0.6512393725302359,0.614853019231872,0.3902936701481779,0.3487606274697641,24.03880866803229,6.407806809991598,30.446615478023887,741.4765625,1219.2734375,8f0d529fe1365fcb99bfbebdf3aa8d0912455ef3aba7a1dc8b37bee22c83feb0,1ecf4f36bac48d738ce16428176a40933852b4a314816a5da60540c45d35a284
d1,G00_SP18_F20_CORR_UNION,H00_FUSED_PCA20_MCLUST_EEE,9,0.21241576457885084,0.34597275303527586,0.27919425880706333,0.6259729373727697,0.5741604254520741,0.4313090615908563,0.3740270626272303,21.242768396623433,6.180312088690698,27.42308048531413,741.4765625,1219.2734375,a3d59a08e16612cc619fdf831f88b0ad1a6715d18d433100e2edff5ecdb9e3be,e6cac19a0d5dbf186dec2efd0cf12f0360b95c7b8d1661b9b924badd968b61fa
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0,0.26897966484088515,0.3834066386139437,0.3261931517274144,0.6478565441264519,0.5819146034611704,0.42775311458055426,0.3521434558735481,26.330935108475387,5.094770540483296,31.425705648958683,741.99560546875,1130.4140625,4890ff89c1be7947a0df8c4d9cbdf3f6b6660fd3cd93f163b49c91f158eddbcf,d7b09c427782d4441fbf460bfe9d00da1bf5b64b1ebbe81b1c99cd5aa9a12287
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,1,0.2612262704354895,0.38625738165308454,0.32374182604428703,0.650850197581128,0.5869080919403874,0.421502699605304,0.34914980241887195,23.7369417026639,4.544951022602618,28.281892725266516,741.4765625,1160.94140625,d7bf733e4bf432b5ba32662e3c1a0fd49405b1004ea6a726ae8058aa7bca82e9,930bdfe3a70e304abcc0f53854af77bb4596acd23a304c333c9d40fdcf5be01d
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,2,0.23438466107508507,0.3813416102419294,0.30786313565850726,0.6582445216141779,0.5997515532076142,0.4101016969792918,0.3417554783858221,24.513854605145752,4.62473083846271,29.138585443608463,741.4765625,1166.171875,e035b8b9a50d1b03d78dd1fdd6bf333db2806e7d43b635b0169e05990af75eee,d438dfa10ea6e410590472eb5b7bb15ef1794f6ee01c49757ec92c82825d591c
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,3,0.2690121490167299,0.3908277014807905,0.3299199252487602,0.6477367979882649,0.5787470224376997,0.4304451245888467,0.3522632020117351,20.28786595351994,4.165369468741119,24.45323542226106,741.4765625,1196.34375,47979f864832490de12f878140ef754e644040a9a6944b8d5539948d2c4c14bd,e314a86f1d00f7f2e7ed0b14d7ce5cd15f981b356507f738dc5806c98a714334
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,4,0.24780388040764517,0.38403131423825126,0.3159175973229482,0.6575859178541492,0.5983449531535303,0.411281241751506,0.3424140821458508,22.730383798480034,5.181291945278645,27.91167574375868,741.4765625,1196.34375,a49df80472448d2844a90801bec6d34dcf45ca4109699402177719c3591ba58a,6966400c4c459fa40ae16b8750bca3748f41b4706c073d822e776057f74ac9a1
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,5,0.2613202290088677,0.3875356082662348,0.32442791863755127,0.6504011495629266,0.5831228807235885,0.4257173294663187,0.3495988504370734,26.215744741261005,3.8148279013112187,30.030572642572224,741.4765625,1196.34375,d1f540aba6eb9ea56ab325a934bbd40cc5900a2266ea201542fc2d686587d457,512403840667d0e0d44a0632d7bf1e55b9fe21fcffdb9016a0c174faf9b81037
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,6,0.23848328782815564,0.3666222524397436,0.30255277013394966,0.6786612381750688,0.6257742286381729,0.3845137038033678,0.32133876182493115,21.991154582239687,3.9267909293994308,25.917945511639118,741.4765625,1202.51953125,1266f3ee2e5905b69adbb418f18e4ee5f5d670c90c9466222c65c9e2180828ec,d5deba70e7238bf90efad824af2b10a0c1f393fea981b397fe080cd1a631d164
d1,G00_SP18_F20_CORR_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,7,0.2589153969336651,0.3840655454010764,0.32149047116737073,0.6506406418393007,0.5881802992018814,0.421245918507511,0.3493593581606993,22.187626232393086,3.4521035319194198,25.639729764312506,741.4765625,1204.05859375,cf906000f94180b665793fd1ef676848c25e099061e3ac232862f7b377272da4,809fe26ccfdcc72acc10ee9de5c4c621effbf46a199b6224d0d6ba2eff05a33a
