cpu_peak_rss_mib,dataset,gpu_peak_allocated_mib,gpu_peak_reserved_mib,runtime_seconds,seed,variant
1436.9140625,a1,599.73193359375,638.0,11.244683433324099,0,C0
1420.1953125,a1,599.73193359375,638.0,11.393526148051023,1,C0
1436.9140625,a1,599.73193359375,638.0,13.587238360196352,2,C0
1436.9140625,a1,599.73193359375,638.0,11.35947317443788,3,C0
1275.26171875,a1,599.12548828125,638.0,15.689648199826479,4,C0
1413.59765625,a1,599.73193359375,638.0,16.398925479501486,0,C1
1436.9140625,a1,599.73193359375,638.0,11.382398249581456,1,C1
1436.9140625,a1,599.73193359375,638.0,9.42106544226408,2,C1
1420.1953125,a1,599.73193359375,638.0,12.140991428866982,3,C1
1420.1953125,a1,599.73193359375,638.0,10.59584617242217,4,C1
1420.1953125,a1,747.1728515625,840.0,10.483221776783466,0,IGE
1420.1953125,a1,747.1728515625,840.0,16.876406881958246,1,IGE
1436.9140625,a1,747.1728515625,840.0,9.418231796473265,2,IGE
1420.1953125,a1,747.1728515625,840.0,12.351429672911763,3,IGE
1375.81640625,a1,747.1728515625,840.0,10.455779880285263,4,IGE
1436.9140625,a1,599.73193359375,638.0,10.903566831722856,0,ILN
1420.1953125,a1,599.73193359375,638.0,14.084382385015488,1,ILN
1436.9140625,a1,599.73193359375,638.0,11.181247651576996,2,ILN
1436.9140625,a1,599.73193359375,638.0,12.13081369549036,3,ILN
1436.9140625,a1,599.73193359375,638.0,22.605461109429598,4,ILN
1436.9140625,placenta,363.65185546875,386.0,8.268314423039556,0,C0
1375.81640625,placenta,363.65185546875,386.0,7.107673307880759,1,C0
1436.9140625,placenta,363.65185546875,386.0,7.4080438911914825,2,C0
1420.1953125,placenta,363.65185546875,386.0,8.232471991330385,3,C0
1436.9140625,placenta,363.65185546875,386.0,7.1863852720707655,4,C0
1419.01171875,placenta,363.65185546875,386.0,7.300472730770707,0,C1
1436.9140625,placenta,363.65185546875,386.0,6.937399150803685,1,C1
1420.1953125,placenta,363.65185546875,386.0,7.247004687786102,2,C1
1420.1953125,placenta,363.65185546875,386.0,6.7969022784382105,3,C1
1420.1953125,placenta,363.65185546875,386.0,7.635726703330874,4,C1
1436.9140625,placenta,444.79833984375,514.0,7.21368352137506,0,IGE
1436.9140625,placenta,444.79833984375,514.0,6.403512919321656,1,IGE
1419.01171875,placenta,444.79833984375,514.0,7.129488453269005,2,IGE
1436.9140625,placenta,444.79833984375,514.0,6.915815258398652,3,IGE
1305.64453125,placenta,444.79833984375,514.0,7.560274345800281,4,IGE
1420.1953125,placenta,363.65185546875,386.0,7.810011584311724,0,ILN
1436.9140625,placenta,363.65185546875,386.0,9.641574118286371,1,ILN
1436.9140625,placenta,363.65185546875,386.0,7.174551935866475,2,ILN
1436.9140625,placenta,363.65185546875,386.0,9.30098956823349,3,ILN
1420.1953125,placenta,363.65185546875,386.0,8.926089445129037,4,ILN
1420.1953125,p22,1117.46923828125,1224.0,47.88591055944562,0,C0
1421.81640625,p22,1117.46923828125,1224.0,52.08270048163831,1,C0
1436.9140625,p22,1117.46923828125,1224.0,52.83393349684775,2,C0
1420.1953125,p22,1117.46923828125,1224.0,48.35932311043143,3,C0
1420.1953125,p22,1117.46923828125,1224.0,48.23670323379338,4,C0
1420.1953125,p22,1117.46923828125,1224.0,48.40195086970925,0,C1
1420.1953125,p22,1117.46923828125,1224.0,51.32792526856065,1,C1
1420.1953125,p22,1117.46923828125,1224.0,49.73909311555326,2,C1
1413.59765625,p22,1117.46923828125,1224.0,48.35409435816109,3,C1
1436.9140625,p22,1117.46923828125,1224.0,48.01674233190715,4,C1
1420.1953125,p22,1511.49072265625,1586.0,48.157305259257555,0,IGE
1436.9140625,p22,1511.49072265625,1586.0,48.74043668247759,1,IGE
1436.9140625,p22,1511.49072265625,1586.0,47.34622322767973,2,IGE
1436.9140625,p22,1511.49072265625,1586.0,47.877124674618244,3,IGE
1419.01171875,p22,1511.49072265625,1586.0,53.99132922664285,4,IGE
1436.9140625,p22,1117.46923828125,1224.0,48.752594996243715,0,ILN
1436.9140625,p22,1117.46923828125,1224.0,51.71539852581918,1,ILN
1375.81640625,p22,1117.46923828125,1224.0,48.11842867359519,2,ILN
1436.9140625,p22,1117.46923828125,1224.0,47.77771447971463,3,ILN
1436.9140625,p22,1117.46923828125,1224.0,47.84470999985933,4,ILN
