ami_delta,ari_delta,contrast,cpu_peak_rss_mib_delta,dataset,embedding_davies_bouldin_delta,embedding_silhouette_delta,fmi_delta,gpu_peak_allocated_mib_delta,gpu_peak_reserved_mib_delta,homogeneity_delta,hungarian_balanced_accuracy_delta,hungarian_macro_f1_delta,hungarian_weighted_f1_delta,nmi_delta,runtime_seconds_delta,seed,spatial_cluster_moran_mean_delta,spatial_neighbor_agreement_delta,v_measure_delta
0.010276952204576306,0.007441666199499292,IGE-C0,-16.71875,a1,-0.0887615993575821,0.029097765684127808,0.00969406967019909,147.44091796875,202.0,0.0070939950887131675,0.01978493982415991,0.01124364871389999,0.009238354372682778,0.010254693241822765,-0.7614616565406322,0,-0.03730302525954332,-0.0060753922694221085,0.010254693241822821
0.02565066129843574,0.08223272008148047,IGE-C0,0.0,a1,-0.4003953188903291,0.07603725045919418,0.08050893383225127,147.44091796875,202.0,0.015502602097510143,-0.014241960810029486,0.05910142263508833,0.09790608581040133,0.025621483449368265,5.482880733907223,1,-0.022434483057055532,0.03838180890419707,0.025621483449368265
-0.010048954236758278,0.018212521361973516,IGE-C0,0.0,a1,-0.26585422263233993,0.014026105403900146,0.019872287993578763,147.44091796875,202.0,-0.017196481716118373,0.05057495085999908,0.014276575032571015,0.02440786366824671,-0.009927435944745877,-4.169006563723087,2,-0.052956284801427556,-0.007175660160734787,-0.009927435944745822
0.003598251992034507,0.03233658889475338,IGE-C0,-16.71875,a1,-0.12202729445781646,0.07435867935419083,0.033286163426975546,147.44091796875,202.0,-0.0024848994781856426,0.004209705432999478,0.025591795095251002,0.03269126650108084,0.003640994628959615,0.9919564984738827,3,-0.05669140035514597,-0.01071565250669726,0.0036409946289596706
0.027731295006114876,0.03361340344834776,IGE-C0,100.5546875,a1,-0.007811566418496785,0.02328990399837494,0.0357875695976943,148.04736328125,202.0,0.022984493109057702,0.1612148145642251,0.058123313964594414,0.0295341238052666,0.027641842987988996,-5.233868319541216,4,-0.05903356218272482,-0.02082536037759919,0.02764184298798894
0.0033087101296231936,0.001077305742541751,C1-C0,-23.31640625,a1,0.16843286964610016,-0.00843818485736847,3.7311918769211694e-05,0.0,0.0,0.005502399021912241,0.050187506096347145,0.011080600943517094,-0.0010830452238165256,0.003271227964559642,5.154242046177387,0,0.01774431388693931,0.018561040949100716,0.0032712279645596976
0.013681568639686947,0.033102733646447696,C1-C0,16.71875,a1,-0.015914419438320504,0.003280244767665863,0.03338792003405111,0.0,0.0,0.008633276589677275,0.021587729317804616,0.020910375303653583,0.059576273304999317,0.01366370390084981,-0.011127898469567299,1,0.020212291098613777,0.028144533741548683,0.013663703900849755
-0.009864693480913733,0.04193776731918275,C1-C0,0.0,a1,-0.3758845195551679,-0.01514667272567749,0.05057316272695739,0.0,0.0,-0.03170588369256122,0.008126296254451215,0.007045895302187022,0.04639929314878738,-0.009594743325724908,-4.166172917932272,2,0.07306327871402662,0.10701301186375811,-0.009594743325724853
-0.010700722627011217,0.003272822140287013,C1-C0,-16.71875,a1,0.013785233961340904,-0.001620858907699585,0.008407259126026412,0.0,0.0,-0.020365648302686945,-0.07984414564579656,0.007159583718356843,-0.0008732700339045274,-0.01055020205934526,0.7815182544291019,3,-0.016167868433787036,-0.015818344176553145,-0.010550202059345204
-0.002041508332636277,-0.004413412598890831,C1-C0,144.93359375,a1,-0.021935920205465642,-0.0029955729842185974,-0.0039058194802989443,0.6064453125,0.0,-0.002383089881037692,-0.0006585697360129705,-0.0018966545871610396,-0.0050741436363958,-0.002028341675164469,-5.093802027404308,4,-0.0016143677926503397,-0.0013235106518688644,-0.002028341675164469
-0.043949407489665304,-0.04112682819713931,ILN-C0,0.0,a1,0.20091792055442648,-0.01815582811832428,-0.03610829992869585,0.0,0.0,-0.04986718229005149,-0.07292724891059299,-0.0458864060645095,-0.043875510938289564,-0.043674974755350926,-0.341116601601243,0,0.023004868510952403,0.022308330144151012,-0.04367497475535098
0.004821240259746562,0.047009979232684046,ILN-C0,0.0,a1,0.12388110905864869,-0.002975091338157654,0.056479981363857346,0.0,0.0,-0.019226566703842873,0.04990668751376798,0.07262879617931695,0.08394101643000079,0.005016182238425426,2.690856236964464,1,0.0039029901576536075,0.06341688990942729,0.00501618223842526
-0.04472622780637242,-0.02032760901962477,ILN-C0,0.0,a1,-0.1831662002897385,-0.00439191609621048,-0.011797040750207044,0.0,0.0,-0.05855560141852845,-0.054021567199303455,-0.028170927130839685,-0.004891124398318403,-0.04435690553913363,-2.405990708619356,2,-0.003993127778836758,0.006681336905217439,-0.04435690553913357
-0.02409232743280526,-0.003971649153668211,ILN-C0,0.0,a1,0.3608893529385684,-0.011087767779827118,-0.0015451647769356702,0.0,0.0,-0.030701181704950564,-0.10906787302969234,-0.01326096735024418,0.0087786332355006,-0.02390564382099175,0.7713405210524797,3,0.027956766569744107,-0.0005102691669855997,-0.02390564382099164
-0.008072634419387548,-0.017355972645327317,ILN-C0,161.65234375,a1,0.29262210926907084,-0.013030901551246643,-0.01708751181563023,0.6064453125,0.0,-0.006411202456769904,0.026366273982931343,-0.00022982095634438426,-0.022430749162915653,-0.008051870916338522,6.915812909603119,4,-0.022288825107899646,-0.013506187013649695,-0.008051870916338522
