dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,rms,seed
a1,True,0.013049177825450897,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,192000,encoder1.weight,2.978053844194609e-05,0
a1,True,0.006599122658371925,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,192000,decoder1.weight,1.5060368103431838e-05,0
a1,True,0.004598002415150404,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,1920,encoder2.weight,0.00010493456813992964,0
a1,False,0.0,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,1920,decoder2.weight,0.0,0
a1,True,8.140075078699738e-05,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,4096,attention1.w_omega,1.271886711886973e-06,0
a1,True,4.749799700221047e-05,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,64,attention1.u_omega,5.9372493322881076e-06,0
a1,True,0.0010647946037352085,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,4096,attention2.w_omega,1.6637415499685727e-05,0
a1,True,0.0005156940314918756,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,64,attention2.u_omega,6.446175129107306e-05,0
a1,True,0.00514050992205739,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,4096,cross_attention.w_omega,8.032046841435025e-05,0
a1,True,0.002823023358359933,L_rna_recon_raw,398400,2.6070167614280158e-05,0.00027077400995156615,64,cross_attention.u_omega,0.0003528779188470833,0
a1,True,0.6294499635696411,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,192000,encoder1.weight,0.001436516443619215,0
a1,False,0.0,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,192000,decoder1.weight,0.0,0
a1,True,0.27796489000320435,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,1920,encoder2.weight,0.006343651457799977,0
a1,True,0.2294539362192154,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,1920,decoder2.weight,0.005236545720700576,0
a1,True,0.005181470420211554,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,4096,attention1.w_omega,8.096047961374413e-05,0
a1,True,0.002960177604109049,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,64,attention1.u_omega,0.00037002220227484695,0
a1,True,0.03316774591803551,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,4096,attention2.w_omega,0.0005182460150443362,0
a1,True,0.01691598631441593,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,64,attention2.u_omega,0.002114498345029102,0
a1,True,0.1490754336118698,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,4096,cross_attention.w_omega,0.002329303719959462,0
a1,True,0.08246301114559174,L_mod2_recon_raw,208320,0.0016345303375010988,0.5565663408517305,64,cross_attention.u_omega,0.010307876221358654,0
a1,True,0.9030687212944031,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,192000,encoder1.weight,0.002060962941775412,0
a1,False,0.0,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,192000,decoder1.weight,0.0,0
a1,True,0.07264561206102371,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,1920,encoder2.weight,0.0016579015862991518,0
a1,True,0.09806999564170837,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,1920,decoder2.weight,0.0022381312098778768,0
a1,True,0.008942321874201298,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,4096,attention1.w_omega,0.0001397237703652322,0
a1,True,0.006322059314697981,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,64,attention1.u_omega,0.0007902574185529735,0
a1,False,0.0,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,4096,attention2.w_omega,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,64,attention2.u_omega,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,4096,cross_attention.w_omega,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020378274528114544,0.8305481454864041,64,cross_attention.u_omega,0.0,0
a1,True,0.19682902097702026,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,192000,encoder1.weight,0.00044919870567618984,0
a1,True,0.20066608488559723,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,192000,decoder1.weight,0.0004579555819822069,0
a1,True,0.18612541258335114,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,1920,encoder2.weight,0.004247711870458788,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,1920,decoder2.weight,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,4096,attention1.w_omega,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,64,attention1.u_omega,0.0,0
a1,True,0.08044097572565079,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,4096,attention2.w_omega,0.0012568902196895596,0
a1,True,0.0502437949180603,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,64,attention2.u_omega,0.006280474314457168,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,4096,cross_attention.w_omega,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258117153233,0.1226463930851591,64,cross_attention.u_omega,0.0,0
a1,True,0.0075089228339493275,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,192000,encoder1.weight,1.713669382562985e-05,1
a1,True,0.006174502428621054,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,192000,decoder1.weight,1.4091309610492755e-05,1
a1,True,0.0022935152519494295,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,1920,encoder2.weight,5.23420843038554e-05,1
a1,False,0.0,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,1920,decoder2.weight,0.0,1
a1,True,5.085621160105802e-05,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,4096,attention1.w_omega,7.946282712553233e-07,1
a1,True,3.3674969017738476e-05,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,64,attention1.u_omega,4.209371281853496e-06,1
a1,True,0.00021218844631221145,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,4096,attention2.w_omega,3.31544450509185e-06,1
a1,True,0.000150082545587793,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,64,attention2.u_omega,1.876031802658462e-05,1
a1,True,0.002504493109881878,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,4096,cross_attention.w_omega,3.913270559239658e-05,1
a1,True,0.0013278874102979898,L_rna_recon_raw,398400,1.645515830747991e-05,0.00010787565839381126,64,cross_attention.u_omega,0.00016598593535625605,1
a1,True,0.7813582420349121,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,192000,encoder1.weight,0.0017831980482688895,1
a1,False,0.0,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,192000,decoder1.weight,0.0,1
a1,True,0.1780034303665161,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,1920,encoder2.weight,0.0040623538779064,1
a1,True,0.1880314201116562,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,1920,decoder2.weight,0.004291210579416686,1
a1,True,0.0029114449862390757,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,4096,attention1.w_omega,4.5491330785439176e-05,1
a1,True,0.00195161288138479,L_mod2_recon_raw,208320,0.0018350134088361792,0.7014705635539783,64,attention1.u_omega,0.0002439516113199921,1
