corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,dataset,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,seed,step,variant
0.0020378274496471,0.0030567411744707,0.2388105443984039,0.0005607258153889,0.0056072581538891,0.4380718863266201,a1,True,True,True,True,0.0,0.0016345303377444,0.0040863258443611,0.3192477359978362,2.6070167542817933e-05,4.953331833135407e-05,0.0038698332771397,0,0,C0
0.0017996474120075,0.0026994711180112,0.225867916577759,0.0005275118794945,0.0052751187949457,0.4413753805198556,a1,True,True,True,True,0.005,0.0015713774115181,0.0039284435287953,0.3286974805257683,2.5533678297450336e-05,4.851398876515564e-05,0.0040592223766169,0,1,C0
0.0013036692410338,0.0019555038615507,0.2067256435024405,0.0004089504716047,0.0040895047160475,0.432321055792121,a1,True,True,True,True,0.025,0.0013505774571939,0.0033764436429848,0.3569399675295078,1.9980941101340803e-05,3.796378809254752e-05,0.0040133331759306,0,5,C0
0.0012253937652927,0.0018380906479391,0.2416714732021806,0.0002915647253097,0.0029156472530979,0.3833482139654566,a1,True,True,True,True,0.05,0.0011295869929475,0.0028239674823687,0.3712941918856484,1.4755621818140644e-05,2.803568145446722e-05,0.0036861209467143,0,10,C0
0.0012243498568589,0.0018365247852884,0.321155091739034,0.0001513572873609,0.0015135728736099,0.2646801387989962,a1,True,True,True,True,0.1,0.000935408325169,0.0023385208129225,0.4089396844648763,1.572612562268457e-05,2.987963868310068e-05,0.0052250849970932,0,20,C0
0.0011237944669184,0.0016856917003777,0.3696339361095132,8.810936233123845e-05,0.0008810936233123,0.1932038367353739,a1,True,True,True,True,0.2,0.0007826258139939,0.0019565645349849,0.4290302017603321,1.9518724617008214e-05,3.7085576772315606e-05,0.0081320253947806,0,40,C0
0.001022980810488,0.001534471215732,0.3893999776527934,6.555430877497891e-05,0.0006555430877497,0.1663559805508779,a1,True,True,True,True,0.4,0.0006841883662139,0.0017104709155347,0.4340631022962598,2.111529141799045e-05,4.011905369418186e-05,0.0101809395000688,0,80,C0
0.0009924983386811,0.0014887475080216,0.3939020559015142,6.13170237736577e-05,0.0006131702377365,0.162236387272287,a1,True,True,True,True,0.5,0.0006552351689425,0.0016380879223564,0.433415469639356,2.077939244432708e-05,3.9480845644221445e-05,0.0104460871868426,0,100,C0
0.0008305465051837,0.0012458197577755,0.4050140824528972,4.782636331766843e-05,0.0004782636331766,0.1554827697607752,a1,True,True,True,True,1.0,0.0005266462215274,0.0013166155538187,0.428029686593852,1.8574876727727898e-05,3.5292265782683006e-05,0.0114734611924754,0,200,C0
0.0016125346098109,0.0024188019147164,0.171906223292651,0.0007032873005339,0.0070328730053396,0.4998320159617166,a1,True,True,True,True,0.0,0.0018350134078675,0.0045875335196689,0.3260397458744311,1.6455158308026794e-05,3.1264800785250905e-05,0.0022220148712011,1,0,C0
0.0013946656216932,0.0020919984325398,0.1615225124565902,0.0006576617148311,0.0065766171483111,0.5077784518082349,a1,True,True,True,True,0.005,0.0017011286281642,0.0042528215704107,0.3283589578259659,1.5951627858756993e-05,3.0308092931638284e-05,0.0023400779092088,1,1,C0
0.0013603217423363,0.0020404826135045,0.1947696857271198,0.0004924535948679,0.0049245359486795,0.4700605203535136,a1,True,True,True,True,0.025,0.0013927338125848,0.003481834531462,0.3323506963296146,1.5544188150080445e-05,2.9533957485152843e-05,0.0028190975897519,1,5,C0
0.0017841692037562,0.0026762538056343,0.2936381164944454,0.0003254566160923,0.0032545661609235,0.3570904506471595,a1,True,True,True,True,0.05,0.0012612906284712,0.003153226571178,0.3459714879402056,1.5829527732122532e-05,3.007610269103281e-05,0.0032999449181894,1,10,C0
0.0015153659598211,0.0022730489397316,0.3439019545803672,0.0001477820622633,0.0014778206226337,0.2235875311610892,a1,True,True,True,True,0.1,0.0011317982121995,0.0028294955304989,0.4280897900640341,1.5378499459758248e-05,2.921914897354067e-05,0.0044207241945093,1,20,C0
0.001481284239461,0.0022219263591915,0.4017979350229125,8.653713327635294e-05,0.0008653713327635,0.1564878210720368,a1,True,True,True,True,0.2,0.0009628949770881,0.0024072374427204,0.4353083213553573,1.8644470041222192e-05,3.542449307832216e-05,0.0064059225496933,1,40,C0
0.0013259182829686,0.0019888774244529,0.4211319438468122,5.7076280638272577e-05,0.0005707628063827,0.1208553363682213,a1,True,True,True,True,0.4,0.0008493725464458,0.0021234313661146,0.4496228715971018,2.085404636272493e-05,3.962268808917736e-05,0.0083898481878646,1,80,C0
0.0012764746172162,0.0019147119258244,0.4244848538868426,5.278243808888936e-05,0.0005278243808888,0.1170167961966721,a1,True,True,True,True,0.5,0.0008112935090655,0.0020282337726638,0.4496522453459222,2.100098726262857e-05,3.990187579899428e-05,0.008846104570563,1,100,C0
0.00103885070108,0.00155827605162,0.4271052219760423,4.28427838148542e-05,0.0004284278381485,0.1174270545471763,a1,True,True,True,True,1.0,0.0006496960831792,0.001624240207948,0.4451852249393495,1.974488326142568e-05,3.751527819670879e-05,0.0102824985374317,1,200,C0
0.0019525214241975,0.0029287821362963,0.2159907610712767,0.0005544109353139,0.0055441093531393,0.4088649626090779,a1,True,True,True,True,0.0,0.0020183594962876,0.0050458987407191,0.372123107345473,2.1561218828363157e-05,4.096631577388999e-05,0.0030211689741723,2,0,C0
0.0016685559490882,0.0025028339236324,0.1969075706086502,0.0005200848088135,0.0052008480881356,0.4091707214249209,a1,True,True,True,True,0.005,0.0019868645039808,0.0049671612599521,0.3907856798980414,2.097953987340632e-05,3.986112575947201e-05,0.0031360280683874,2,1,C0
0.0011915172160529,0.0017872758240794,0.174465278996845,0.0003967088571779,0.0039670885717797,0.3872481265376131,a1,True,True,True,True,0.025,0.0017839800559201,0.0044599501398003,0.4353589048590444,1.57853422157853e-05,2.999215020999207e-05,0.0029276896064973,2,5,C0
