dataset,delta,interpretation,metric,night2c_value,night2c_variant_code,night3af_value,night3af_variant,paired_preprocessing_test,seed
placenta,-0.025872442839951826,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.5042117930204573,V0,0.47833935018050544,C0,False,0
placenta,-0.034527259025858736,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.5083500788796766,V0,0.4738228198538179,C0,False,0
placenta,-0.06357478243243642,diagnostic bridge across different preprocessing,ari,0.5114512620798337,V0,0.4478764796473973,C0,False,1
placenta,-0.015873373693628623,diagnostic bridge across different preprocessing,nmi,0.5658158290796529,V0,0.5499424553860243,C0,False,1
placenta,0.030084235860409148,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4590854392298436,V0,0.4891696750902527,C0,False,1
placenta,0.0307641365286776,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4237260726707011,V0,0.4544902091993787,C0,False,1
placenta,-0.004748769826205201,diagnostic bridge across different preprocessing,ari,0.458733444617932,V0,0.45398467479172677,C0,False,2
placenta,0.0031723721651439885,diagnostic bridge across different preprocessing,nmi,0.5243418116291204,V0,0.5275141837942644,C0,False,2
placenta,-0.000601684717208173,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4969915764139591,V0,0.4963898916967509,C0,False,2
placenta,-0.002921753245005043,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4924119444223578,V0,0.48949019117735276,C0,False,2
placenta,0.029440626172190287,diagnostic bridge across different preprocessing,ari,0.4594693170474976,V0,0.4889099432196879,C0,False,3
placenta,-0.011892975413060891,diagnostic bridge across different preprocessing,nmi,0.5511655790087705,V0,0.5392726035957096,C0,False,3
placenta,-0.02948255114320092,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.5084235860409145,V0,0.4789410348977136,C0,False,3
placenta,-0.06713180737709018,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4705107275578772,V0,0.403378920180787,C0,False,3
placenta,0.07507419146915789,diagnostic bridge across different preprocessing,ari,0.409709035986823,V0,0.4847832274559809,C0,False,4
placenta,0.07512554415733397,diagnostic bridge across different preprocessing,nmi,0.5086566545638403,V0,0.5837821987211743,C0,False,4
placenta,-0.031889290012033666,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4879663056558363,V0,0.45607701564380265,C0,False,4
placenta,-0.035079370581406366,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4607078430418777,V0,0.4256284724604713,C0,False,4
placenta,-0.00019782028768144944,diagnostic bridge across different preprocessing,ari,0.671116888267659,V1,0.6709190679799776,C1,False,0
placenta,0.0009634732902260579,diagnostic bridge across different preprocessing,nmi,0.7263021531066333,V1,0.7272656263968593,C1,False,0
placenta,0.0018050541516245744,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.427797833935018,V1,0.4296028880866426,C1,False,0
placenta,0.002245083391949343,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.3696717694244064,V1,0.3719168528163557,C1,False,0
placenta,-0.004779804891471007,diagnostic bridge across different preprocessing,ari,0.715648267534057,V1,0.710868462642586,C1,False,1
placenta,-0.007115762451709529,diagnostic bridge across different preprocessing,nmi,0.7495531549831859,V1,0.7424373925314763,C1,False,1
placenta,0.0036101083032490933,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4296028880866426,V1,0.4332129963898917,C1,False,1
placenta,0.005037149755750925,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.3765011934615206,V1,0.38153834321727154,C1,False,1
placenta,0.00010057203277069604,diagnostic bridge across different preprocessing,ari,0.6558135150515498,V1,0.6559140870843205,C1,False,2
placenta,-0.005159072954159516,diagnostic bridge across different preprocessing,nmi,0.7346460616765714,V1,0.7294869887224119,C1,False,2
placenta,0.005415162454873612,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4223826714801444,V1,0.427797833935018,C1,False,2
placenta,0.009219458433210093,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.3574187648831671,V1,0.3666382233163772,C1,False,2
placenta,0.0754436161070835,diagnostic bridge across different preprocessing,ari,0.640742480864106,V1,0.7161860969711895,C1,False,3
placenta,0.037365399211260475,diagnostic bridge across different preprocessing,nmi,0.7060200424437125,V1,0.743385441654973,C1,False,3
placenta,0.0030084235860409203,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4296028880866426,V1,0.4326113116726835,C1,False,3
placenta,-0.01708819117089172,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4042836604901161,V1,0.3871954693192244,C1,False,3
placenta,0.03630643655625332,diagnostic bridge across different preprocessing,ari,0.622338607208952,V1,0.6586450437652053,C1,False,4
placenta,0.024659724163625718,diagnostic bridge across different preprocessing,nmi,0.7014341094539046,V1,0.7260938336175303,C1,False,4
placenta,-0.008423586040914532,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.4392298435619735,V1,0.43080625752105894,C1,False,4
placenta,-0.04398239567128853,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.4132827247570202,V1,0.3693003290857317,C1,False,4
p22,0.00039223216767875213,diagnostic bridge across different preprocessing,ari,0.4204565819181242,V0,0.42084881408580294,C0,False,0
p22,0.0008056806308200937,diagnostic bridge across different preprocessing,nmi,0.5441625774140656,V0,0.5449682580448857,C0,False,0
p22,-0.00040098956067846636,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8034743366681165,V0,0.803073347107438,C0,False,0
p22,4.852834839075282e-05,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7472004371576515,V0,0.7472489655060423,C0,False,0
p22,0.01642442160962143,diagnostic bridge across different preprocessing,ari,0.3836305087942693,V0,0.40005493040389073,C0,False,1
p22,-0.008382385851443463,diagnostic bridge across different preprocessing,nmi,0.5511872721554538,V0,0.5428048863040104,C0,False,1
p22,-0.014122988255763413,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8389177359721618,V0,0.8247947477163984,C0,False,1
p22,-0.0008699121319478698,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7895116986117109,V0,0.788641786479763,C0,False,1
p22,-0.03272801008423931,diagnostic bridge across different preprocessing,ari,0.43595210281183,V0,0.4032240927275907,C0,False,2
p22,-0.021163547037387875,diagnostic bridge across different preprocessing,nmi,0.5694827216373555,V0,0.5483191745999676,C0,False,2
p22,0.0033846237494562503,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8288182361896477,V0,0.8322028599391039,C0,False,2
p22,0.003445873454975046,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7868877437626867,V0,0.7903336172176617,C0,False,2
p22,-0.03948499364812336,diagnostic bridge across different preprocessing,ari,0.4570737954960654,V0,0.41758880184794206,C0,False,3
p22,-0.027816266322845173,diagnostic bridge across different preprocessing,nmi,0.5816649717197064,V0,0.5538487053968613,C0,False,3
p22,-0.01226076555023925,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8364302414093084,V0,0.8241694758590692,C0,False,3
p22,-0.0017070894673191228,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7844167515555541,V0,0.782709662088235,C0,False,3
p22,-0.02062145481975164,diagnostic bridge across different preprocessing,ari,0.4115250071301984,V0,0.39090355231044677,C0,False,4
p22,0.008586707607686428,diagnostic bridge across different preprocessing,nmi,0.5453322463368929,V0,0.5539189539445794,C0,False,4
p22,0.01621628969117017,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.830714441061331,V0,0.8469307307525011,C0,False,4
p22,0.005247657694563479,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7925362268377946,V0,0.797783884532358,C0,False,4
p22,-0.032868632637780726,diagnostic bridge across different preprocessing,ari,0.4564911527115706,V1,0.42362252007378987,C1,False,0
p22,-0.033555722240368735,diagnostic bridge across different preprocessing,nmi,0.5806989813048601,V1,0.5471432590644913,C1,False,0
p22,-0.018880491518051268,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8205197912135711,V1,0.8016392996955198,C1,False,0
p22,-0.009010916254561407,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7545355896615428,V1,0.7455246734069814,C1,False,0
p22,0.0015496860584361394,diagnostic bridge across different preprocessing,ari,0.395393230903325,V1,0.39694291696176115,C1,False,1
p22,0.003221747014659826,diagnostic bridge across different preprocessing,nmi,0.5358747121899359,V1,0.5390964592045957,C1,False,1
p22,0.004784688995215336,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8215528490648107,V1,0.8263375380600261,C1,False,1
p22,0.005476872840342706,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7844840537209603,V1,0.789960926561303,C1,False,1
p22,-0.004987679677132928,diagnostic bridge across different preprocessing,ari,0.4424075817001967,V1,0.43741990202306374,C1,False,2
p22,-0.0054796431064177975,diagnostic bridge across different preprocessing,nmi,0.574316009708467,V1,0.5688363666020492,C1,False,2
p22,0.00500217485863419,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8307008481948673,V1,0.8357030230535015,C1,False,2
p22,0.0024761842228006037,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7907277660787417,V1,0.7932039503015423,C1,False,2
p22,0.011683700642561856,diagnostic bridge across different preprocessing,ari,0.4079024790565694,V1,0.41958617969913126,C1,False,3
p22,-0.01701677094619858,diagnostic bridge across different preprocessing,nmi,0.5729596030237759,V1,0.5559428320775773,C1,False,3
p22,-0.018703784254023526,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8437296107003045,V1,0.825025826446281,C1,False,3
p22,-0.008729082256300424,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7922670661082769,V1,0.7835379838519765,C1,False,3
p22,-0.018431084548502008,diagnostic bridge across different preprocessing,ari,0.4116812654654588,V1,0.3932501809169568,C1,False,4
p22,0.010416307637913347,diagnostic bridge across different preprocessing,nmi,0.5456468231594398,V1,0.5560631307973531,C1,False,4
p22,0.0156046107003045,diagnostic bridge across different preprocessing,spatial_neighbor_agreement,0.8309998912570683,V1,0.8466045019573728,C1,False,4
p22,0.005031928292182797,diagnostic bridge across different preprocessing,spatial_cluster_moran_mean,0.7932888739862125,V1,0.7983208022783953,C1,False,4
