L_corr1_raw,L_corr2_raw,L_mod2_recon_raw,L_rna_recon_raw,checkpoint_state_sha256,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_modality2_attention,cross_omics_rna_attention,dataset,embedding_finite,embedding_l2_mean,fraction_of_training,gradient_norm,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,modality2_feature_attention,modality2_spatial_attention,rna_feature_attention,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,rna_spatial_attention,seed,step,total_loss,variant,wall_seconds
0.1522112637758255,0.2183651030063629,1.1005653142929075,1.00249981880188,93423d0b3e69c181cac2f7edec8b556b4be6d5ca7ad0073e4f8a9ed0f08b9252,1.5,0.2283169031143188,0.0323023028200924,10.0,2.1836509704589844,0.3089432010464722,0.4865572452545166,0.5134426951408386,a1,True,2.2362663745880127,0.0,4.334748682438831,2.5,2.751413345336914,0.3892702898997178,0.5064956545829773,0.4935042858123779,0.5000942349433899,1.9,1.9047496318817136,0.2694842062337175,0.4999057352542877,0,0,7.068130850791931,C0,0.0328730959445238
0.1395523250102996,0.2067739367485046,1.0885218381881714,1.002344250679016,6af9f2935663a6967bf164ce2b6a8b806355ca6b54db4bf02b787a3bd905f0bd,1.5,0.2093284875154495,0.0303250391432985,10.0,2.067739486694336,0.2995496772388509,0.4871130883693695,0.5128868818283081,a1,True,2.1989378929138184,0.005,4.334748675751254,2.5,2.721304655075073,0.3942304803587778,0.5066009163856506,0.493399053812027,0.5000826120376587,1.9,1.904453992843628,0.2758948032590727,0.4999173581600189,0,1,6.902826622128487,C0,0.1142939683049917
0.1143485382199287,0.1660816967487335,1.048891544342041,1.0018552541732788,26319f1c96c840248c03c4fe8b33bec0d10bfe84b873a38df9ba195c76e51946,1.5,0.1715228110551834,0.0269770818943649,10.0,1.6608169078826904,0.2612130331812407,0.4890529811382293,0.5109469890594482,a1,True,2.0883617401123047,0.025,3.220283139656493,2.5,2.6222288608551025,0.4124237603725865,0.5069934725761414,0.4930064976215362,0.5001437664031982,1.9,1.9035249948501587,0.2993861245518078,0.4998562037944793,0,5,6.358093574643135,C0,0.2821473907679319
0.1091207638382911,0.1281395703554153,1.013992190361023,1.0016202926635742,4cb00ad71ce0256e4b9f73af0c31b50e70e7ad6937ac81d0f23fec83ea6a3f50,1.5,0.163681149482727,0.0278220921381212,10.0,1.281395673751831,0.2178082730551427,0.4917463362216949,0.5082536339759827,a1,True,2.037300109863281,0.05,2.2835632322423978,2.5,2.534980535507202,0.4308893372884588,0.5073832273483276,0.4926167726516723,0.5002425312995911,1.9,1.903078556060791,0.3234802975182771,0.4997574687004089,0,10,5.883135914802551,C0,0.4658747166395187
0.112129233777523,0.0878090560436248,0.9677166938781738,1.0016274452209473,b88620460be56349653eefc50f1545d8a131562539af48ef1cade3517da23cc9,1.5,0.1681938469409942,0.0313287835862713,10.0,0.8780905604362488,0.1635583562501299,0.4948654174804687,0.5051345229148865,a1,True,2.0524706840515137,0.1,1.291630280292953,2.5,2.4192917346954346,0.4506316287237198,0.507769763469696,0.4922302365303039,0.5003219246864319,1.9,1.9030921459198,0.3544812314398789,0.4996780753135681,0,20,5.368668287992477,C0,0.7616242486983538
0.1153188273310661,0.0638293996453285,0.9156128764152528,1.0020235776901243,2e5acdb289dfb640bf344fe8039047487f253c9ad0f5ca4d91f4401e621bba71,1.5,0.1729782372713089,0.0345669627251148,10.0,0.638293981552124,0.1275529489491279,0.5008336901664734,0.4991663098335266,a1,True,2.182804584503174,0.2,0.7806013947418994,2.5,2.289032220840454,0.457426857288844,0.5074359774589539,0.4925639927387237,0.5002830028533936,1.9,1.9038447141647337,0.3804532310369132,0.499716967344284,0,40,5.004149153828621,C0,1.2386086490005257
0.1161133870482444,0.0512327402830123,0.8621817231178284,1.0019876956939695,110b1f571e3e67466ecccb569b6d985b3dd88ec86d439242e57a3fd6d1b46142,1.5,0.1741700768470764,0.0367003875013339,10.0,0.5123274326324463,0.1079554860717165,0.4991622567176819,0.5008377432823181,a1,True,2.303056478500366,0.4,0.5887959617318762,2.5,2.155454397201538,0.4541883028977866,0.5049239993095398,0.4950759708881378,0.5010324120521545,1.9,1.9037766456604004,0.4011558235291628,0.4989675879478454,0,80,4.745728552341461,C0,2.0918844006955624
0.115636758506298,0.0481457449495792,0.8433412313461304,1.0017694234848022,56674baaee7b200d3958e748c946025b3b7b26c6a49e2b66c88083cb96c5c70a,1.5,0.1734551340341568,0.0371692682092518,10.0,0.4814574420452118,0.1031703148734405,0.4945055544376373,0.5054944157600403,a1,True,2.334474802017212,0.5,0.5478479314875003,2.5,2.1083531379699707,0.4517937373337806,0.5034394860267639,0.4965605139732361,0.501659631729126,1.9,1.9033619165420528,0.4078666795835269,0.4983403980731964,0,100,4.6666276305913925,C0,2.5560905914753675
0.1112530529499054,0.038856316357851,0.780094563961029,1.000009536743164,410fb97f9f1946b716f6c25d0d870f1fde8b5165effcb1302dd6b032bd45764f,1.5,0.1668795794248581,0.0378781312358191,10.0,0.3885631561279297,0.0881956095044269,0.4684684872627258,0.5315314531326294,a1,True,2.5170068740844727,1.0,0.4221388307522807,2.5,1.950236439704895,0.4426623800144529,0.497441828250885,0.5025581121444702,0.5005698204040527,1.9,1.9000180959701536,0.4312638792453009,0.4994301497936249,0,200,4.405697271227837,C0,4.562991484999657
0.127107948064804,0.243711233139038,1.1146094799041748,1.0018126964569092,7738537747df9a95a022d0659f696a41c6125cd1632673ceb3bd9af5bd1352cd,1.5,0.1906619220972061,0.0260547473334274,10.0,2.437112331390381,0.3330415707504667,0.5016589164733887,0.4983410835266113,a1,True,2.0959432125091557,0.0,5.166379377812914,2.5,2.7865238189697266,0.3807901087078016,0.4996657371520996,0.5003342628479004,0.499798834323883,1.9,1.9034440517425537,0.2601135732083042,0.5002011656761169,1,0,7.317742124199867,C0,0.0364812444895505
