corr1_gradient_share_latter_max,corr1_gradient_share_latter_min,corr1_gradient_share_persistent_above_090,corr1_gradient_share_persistent_below_001,corr1_scalar_latter_max,corr1_scalar_latter_min,corr2_gradient_share_latter_max,corr2_gradient_share_latter_min,corr2_gradient_share_persistent_above_090,corr2_gradient_share_persistent_below_001,corr2_scalar_latter_max,corr2_scalar_latter_min,cross_omics_modality2_attention_latter_mean,cross_omics_modality2_attention_persistent_above_095,cross_omics_modality2_attention_persistent_below_005,cross_omics_rna_attention_latter_mean,cross_omics_rna_attention_persistent_above_095,cross_omics_rna_attention_persistent_below_005,dataset,mod2_recon_gradient_share_latter_max,mod2_recon_gradient_share_latter_min,mod2_recon_gradient_share_persistent_above_090,mod2_recon_gradient_share_persistent_below_001,mod2_recon_scalar_latter_max,mod2_recon_scalar_latter_min,modality2_feature_attention_latter_mean,modality2_feature_attention_persistent_above_095,modality2_feature_attention_persistent_below_005,modality2_spatial_attention_latter_mean,modality2_spatial_attention_persistent_above_095,modality2_spatial_attention_persistent_below_005,rna_feature_attention_latter_mean,rna_feature_attention_persistent_above_095,rna_feature_attention_persistent_below_005,rna_recon_gradient_share_latter_max,rna_recon_gradient_share_latter_min,rna_recon_gradient_share_persistent_above_090,rna_recon_gradient_share_persistent_below_001,rna_recon_scalar_latter_max,rna_recon_scalar_latter_min,rna_spatial_attention_latter_mean,rna_spatial_attention_persistent_above_095,rna_spatial_attention_persistent_below_005,seed,variant
0.4050140824528972,0.3939020559015142,False,False,0.0378781312358191,0.0371692682092518,0.162236387272287,0.1554827697607752,False,False,0.1031703148734405,0.0881956095044269,0.4814870208501815,False,False,0.5185129344463348,False,False,a1,0.433415469639356,0.428029686593852,False,False,0.4517937373337806,0.4426623800144529,0.5004406571388245,False,False,0.49955931305885315,False,False,0.5011147260665894,False,False,0.0114734611924754,0.0104460871868426,False,False,0.4312638792453009,0.4078666795835269,0.49888527393341064,False,False,0,C0
0.4271052219760423,0.4244848538868426,False,False,0.0379563059896639,0.0376990112476605,0.1174270545471763,0.1170167961966721,False,False,0.0979064806248059,0.0848060249101367,0.5018196851015091,False,False,0.4981802999973297,False,False,a1,0.4496522453459222,0.4451852249393495,False,False,0.4569949999910718,0.4472525479666758,0.49548885226249695,False,False,0.5045111179351807,False,False,0.5014068782329559,False,False,0.0102824985374317,0.008846104570563,False,False,0.4299851211335235,0.4073995081364616,0.49859312176704407,False,False,1,C0
0.4367530487647013,0.4313165718624934,False,False,0.0392528683451404,0.0391938236275764,0.1061247151445451,0.1052594297684302,False,False,0.0871334869703033,0.074901336249349,0.5072011798620224,False,False,0.492798775434494,False,False,a1,0.4543004414604112,0.4488642196219994,False,False,0.4593104551706659,0.4496836581390456,0.49709779024124146,False,False,0.502902165055275,False,False,0.5010986030101776,False,False,0.009123301844869,0.00825827153255,False,True,0.4362211819840288,0.4143031895138903,0.49890136718749994,False,False,2,C0
0.4114648578707412,0.3988429500264935,False,False,0.0377874547488968,0.0376577908409667,0.1597491419058811,0.1470357347801798,False,False,0.0924060709784223,0.0794485021335743,0.49472542107105255,False,False,0.5052745491266251,False,False,a1,0.4315145446536247,0.4303081024181421,False,False,0.4564663957184955,0.4477434522667813,0.49899424612522125,False,False,0.5010057389736176,False,False,0.5023110508918762,False,False,0.0111913049309368,0.0098933634140005,False,False,0.4351502547586775,0.4133400785541853,0.4976889193058014,False,False,3,C0
0.4149683013471369,0.4015596780008275,False,False,0.0382594050649057,0.037952708094518,0.1405577866455388,0.1317979727843777,False,False,0.0866602181978773,0.0739557102153314,0.496551513671875,False,False,0.503448486328125,False,False,a1,0.4465813323399497,0.4406120850100418,False,False,0.4569000064941521,0.4461560608209392,0.496987521648407,False,False,0.5030124485492706,False,False,0.4990935176610946,False,False,0.0126216408584436,0.0113012030136839,False,False,0.4416288238988236,0.4184870672134524,0.5009064376354218,False,False,4,C0
0.4033171882781448,0.3899667875886939,False,False,0.0245642667754533,0.024277124035147,0.1600385787280931,0.154239704710586,False,False,0.0676709203564022,0.0568365616212408,0.4809238016605377,False,False,0.5190761685371399,False,False,a1,0.4300447565138897,0.4135792034942094,False,False,0.2964400381963885,0.2850209745230851,0.5004501789808273,False,False,0.4995497763156891,False,False,0.5013137459754944,False,False,0.0288639035170597,0.0199498771693232,False,False,0.6335781970802206,0.6116119174120622,0.4986862391233444,False,False,0,C1
0.4253679764973488,0.4204999462843802,False,False,0.0245904951162196,0.0245292213479587,0.116829577651997,0.1152231218440953,False,False,0.0642165055725166,0.054664775010658,0.5013477206230164,False,False,0.49865227937698364,False,False,a1,0.4470179910535818,0.4364029470873826,False,False,0.2999404150236446,0.2882210807666173,0.4955026358366012,False,False,0.5044973194599152,False,False,0.501470148563385,False,False,0.0213994987632714,0.0172589408179428,False,False,0.632584922874766,0.6112525842876191,0.4985298067331314,False,False,1,C1
0.4357987782663363,0.4278364633731105,False,False,0.0254900498043882,0.0253162447022853,0.1049679944628552,0.1047612397270587,False,False,0.0568368122666162,0.0480540523117868,0.5069394558668137,False,False,0.49306052923202515,False,False,a1,0.4512186317055142,0.4368510376076552,False,False,0.2996957568704015,0.288200130988865,0.4971090406179428,False,False,0.502890944480896,False,False,0.5011074542999268,False,False,0.0225889443989497,0.0159769104585201,False,False,0.6384295719970627,0.617977381058594,0.4988925158977508,False,False,2,C1
0.4108001777070751,0.395879861515393,False,False,0.0245978557909554,0.02435961333306,0.1575401105862274,0.1459630454928807,False,False,0.0603254257733114,0.0510271506994695,0.4943383038043976,False,False,0.50566166639328,False,False,a1,0.4274613553179494,0.4152160813800646,False,False,0.2980674179017997,0.2872976262383921,0.49899354577064514,False,False,0.5010064393281937,False,False,0.5024077892303467,False,False,0.0280206954199793,0.0191186725804301,False,False,0.6373156097290783,0.6170093005339334,0.4975922107696533,False,False,3,C1
0.413873089338408,0.3970836016595841,False,False,0.0246463144641369,0.0245377401528842,0.1387646515663881,0.1304027704229363,False,False,0.0563341188114203,0.0472658503055931,0.4963331073522568,False,False,0.5036668628454208,False,False,a1,0.4425721405104313,0.4249571203505601,False,False,0.2971790812299846,0.2848241948291587,0.49700506031513214,False,False,0.5029949247837067,False,False,0.49912920594215393,False,False,0.0307670198880954,0.0215796062635964,False,False,0.6432636404011112,0.6219490598057108,0.5008707642555237,False,False,4,C1
