bootstrap_ci_high,bootstrap_ci_low,bootstrap_replicates,ci_is_descriptive_only,dataset,max,mean,median,metric,min,n,sd,variant
0.22836219090275917,0.19327476297849125,10000,True,a1,0.23483086988572793,0.21209139116054992,0.2173704085683602,ari,0.1790590687718973,5,0.02222543522456397,C0
0.36990136779000726,0.3516325814068942,10000,True,a1,0.3745700010418497,0.36102214793366727,0.36399571518949236,nmi,0.3458089417987382,5,0.011693064372827584,C0
0.36589891660425244,0.34806613159360816,10000,True,a1,0.3705998248144313,0.3569890076582638,0.35994057598484086,ami,0.34169871616795405,5,0.011736747852319089,C0
0.36951179524093475,0.33479837279394403,10000,True,a1,0.3748428786928593,0.35370426611450123,0.3609979267400335,fmi,0.32065566941505325,5,0.021861355662847304,C0
0.42264398368881084,0.4063721976430914,10000,True,a1,0.42820092309980673,0.4150629691711356,0.414308574572317,homogeneity,0.39952782001595133,5,0.010728547083972074,C0
0.36990136779000726,0.3516325814068942,10000,True,a1,0.3745700010418496,0.3610221479336673,0.3639957151894923,v_measure,0.3458089417987382,5,0.011693064372827557,C0
0.32563867492384296,0.29179624470477034,10000,True,a1,0.3367823684450282,0.3090518965717847,0.31676852858786925,hungarian_macro_f1,0.2836363188489127,5,0.022183612194505285,C0
0.49113286313450466,0.4415971722585931,10000,True,a1,0.49680508310042576,0.46882720537723266,0.47366874416555443,hungarian_weighted_f1,0.41716183083639097,5,0.03225455746950654,C0
0.43428238260364005,0.3542757607995221,10000,True,a1,0.4619320731393527,0.3950438092883052,0.4027662959272179,hungarian_balanced_accuracy,0.320470614184181,5,0.050968938818079366,C0
0.5981598418165582,0.5541682612578135,10000,True,a1,0.6016073478760046,0.5779117234341115,0.5936822298762597,spatial_neighbor_agreement,0.5382861334353871,5,0.027835818567998744,C0
0.5469027034532037,0.5111625957706758,10000,True,a1,0.5473407431450432,0.5291703858997423,0.54526756600544,spatial_cluster_moran_mean,0.5012846792525752,5,0.023952416051830325,C0
0.12094565629959106,0.0950818657875061,10000,True,a1,0.125228151679039,0.10801376104354858,0.11231166124343872,embedding_silhouette,0.08787252753973007,5,0.016539094202103328,C0
2.196872000716609,2.0491802386096394,10000,True,a1,2.2112214462911344,2.127604623583275,2.176004675292622,embedding_davies_bouldin,1.9975520983577888,5,0.0936085793086503,C0
14.403131226822733,11.320367872714996,10000,True,a1,15.689648199826479,12.654913863167167,11.393526148051023,runtime_seconds,11.244683433324099,5,1.958114965532952,C0
599.73193359375,599.36806640625,10000,True,a1,599.73193359375,599.61064453125,599.73193359375,gpu_peak_allocated_mib,599.12548828125,5,0.2712105886772206,C0
