dataset,hungarian_f1,seed,true_domain,variant
a1,0.33423180592991913,2,capsule,IGE
a1,0.596918085969181,2,cortex,IGE
a1,0.46913580246913583,2,follicle,IGE
a1,0.17751479289940827,2,hilum,IGE
a1,0.43552036199095023,2,medulla cords,IGE
a1,0.6015485407980942,2,medulla sinuses,IGE
a1,0.03508771929824561,2,medulla vessels,IGE
a1,0.7902097902097901,2,pericapsular adipose tissue,IGE
a1,0.0704225352112676,2,subcapsular sinus,IGE
a1,0.0,2,trabeculae,IGE
a1,0.3353658536585366,3,capsule,IGE
a1,0.6793893129770994,3,cortex,IGE
a1,0.3957597173144876,3,follicle,IGE
a1,0.15637860082304528,3,hilum,IGE
a1,0.3582458307597282,3,medulla cords,IGE
a1,0.6243032329988851,3,medulla sinuses,IGE
a1,0.12722646310432567,3,medulla vessels,IGE
a1,0.6956521739130436,3,pericapsular adipose tissue,IGE
a1,0.05128205128205128,3,subcapsular sinus,IGE
a1,0.0,3,trabeculae,IGE
a1,0.37790697674418605,4,capsule,IGE
a1,0.5430346051464064,4,cortex,IGE
a1,0.45967741935483875,4,follicle,IGE
a1,0.16,4,hilum,IGE
a1,0.38369304556354916,4,medulla cords,IGE
a1,0.6273148148148148,4,medulla sinuses,IGE
a1,0.11089866156787762,4,medulla vessels,IGE
a1,0.7083333333333334,4,pericapsular adipose tissue,IGE
a1,0.10179640718562874,4,subcapsular sinus,IGE
a1,0.0,4,trabeculae,IGE
a1,0.05909797822706065,0,capsule,ILN
a1,0.58147512864494,0,cortex,ILN
a1,0.3106267029972752,0,follicle,ILN
a1,0.0,0,hilum,ILN
a1,0.4244762954796031,0,medulla cords,ILN
a1,0.4716459197786999,0,medulla sinuses,ILN
a1,0.06896551724137931,0,medulla vessels,ILN
a1,0.6738131699846861,0,pericapsular adipose tissue,ILN
a1,0.13043478260869568,0,subcapsular sinus,ILN
a1,0.0099009900990099,0,trabeculae,ILN
a1,0.21513944223107573,1,capsule,ILN
a1,0.5818181818181818,1,cortex,ILN
a1,0.3959731543624161,1,follicle,ILN
a1,0.28368794326241137,1,hilum,ILN
a1,0.4952290076335877,1,medulla cords,ILN
a1,0.45616348055372447,1,medulla sinuses,ILN
a1,0.0552995391705069,1,medulla vessels,ILN
a1,0.807495741056218,1,pericapsular adipose tissue,ILN
a1,0.27184466019417475,1,subcapsular sinus,ILN
a1,0.0,1,trabeculae,ILN
a1,0.3072916666666667,2,capsule,ILN
a1,0.5620689655172414,2,cortex,ILN
a1,0.3914590747330961,2,follicle,ILN
a1,0.0,2,hilum,ILN
a1,0.48782911077993046,2,medulla cords,ILN
a1,0.46661775495231106,2,medulla sinuses,ILN
a1,0.07865168539325842,2,medulla vessels,ILN
a1,0.7348484848484849,2,pericapsular adipose tissue,ILN
a1,0.05734767025089605,2,subcapsular sinus,ILN
a1,0.0,2,trabeculae,ILN
a1,0.3117505995203837,3,capsule,ILN
a1,0.5568965517241379,3,cortex,ILN
a1,0.3873239436619718,3,follicle,ILN
a1,0.0,3,hilum,ILN
a1,0.49265905383360525,3,medulla cords,ILN
a1,0.48937540244687705,3,medulla sinuses,ILN
a1,0.08778625954198473,3,medulla vessels,ILN
a1,0.5766871165644172,3,pericapsular adipose tissue,ILN
a1,0.13259668508287292,3,subcapsular sinus,ILN
a1,0.0,3,trabeculae,ILN
a1,0.25966850828729277,4,capsule,ILN
a1,0.5415549597855228,4,cortex,ILN
a1,0.30606860158311344,4,follicle,ILN
a1,0.0,4,hilum,ILN
a1,0.35145964510589583,4,medulla cords,ILN
a1,0.44062499999999993,4,medulla sinuses,ILN
a1,0.05907172995780591,4,medulla vessels,ILN
a1,0.8636363636363636,4,pericapsular adipose tissue,ILN
a1,0.0670391061452514,4,subcapsular sinus,ILN
a1,0.0,4,trabeculae,ILN
placenta,0.8358208955223881,0,EVT,C0
placenta,0.0,0,EVT-progenitor,C0
placenta,0.8349514563106797,0,Endothelial,C0
placenta,0.11475409836065573,0,Erythroblasts,C0
placenta,0.5655172413793104,0,FIB1,C0
placenta,0.6960784313725491,0,FIB2,C0
placenta,0.7428571428571428,0,Hofbauer cells,C0
placenta,0.7852564102564104,0,STB,C0
placenta,0.03418803418803419,0,STB-progenitor,C0
placenta,0.7361647361647363,0,vCTB,C0
placenta,0.8869565217391304,1,EVT,C0
placenta,0.02531645569620253,1,EVT-progenitor,C0
placenta,0.8761904761904762,1,Endothelial,C0
placenta,0.10778443113772454,1,Erythroblasts,C0
placenta,0.5714285714285714,1,FIB1,C0
placenta,0.5652951699463328,1,FIB2,C0
placenta,0.7345844504021448,1,Hofbauer cells,C0
placenta,0.7784615384615384,1,STB,C0
placenta,0.0,1,STB-progenitor,C0
placenta,0.7866323907455013,1,vCTB,C0
placenta,0.8721804511278195,2,EVT,C0
placenta,0.09210526315789473,2,EVT-progenitor,C0
placenta,0.6991869918699187,2,Endothelial,C0
placenta,0.12307692307692307,2,Erythroblasts,C0
placenta,0.6363636363636364,2,FIB1,C0
placenta,0.5907473309608541,2,FIB2,C0
placenta,0.5,2,Hofbauer cells,C0
placenta,0.7993630573248409,2,STB,C0
placenta,0.0,2,STB-progenitor,C0
placenta,0.7807881773399016,2,vCTB,C0
placenta,0.8244274809160305,3,EVT,C0
placenta,0.0,3,EVT-progenitor,C0
placenta,0.9199999999999999,3,Endothelial,C0
placenta,0.10084033613445378,3,Erythroblasts,C0
placenta,0.5850340136054422,3,FIB1,C0
placenta,0.5856164383561644,3,FIB2,C0
placenta,0.5098039215686275,3,Hofbauer cells,C0
placenta,0.8816568047337279,3,STB,C0
placenta,0.04545454545454545,3,STB-progenitor,C0
placenta,0.789937106918239,3,vCTB,C0
placenta,0.7883211678832116,4,EVT,C0
placenta,0.0,4,EVT-progenitor,C0
placenta,0.863157894736842,4,Endothelial,C0
placenta,0.12063492063492065,4,Erythroblasts,C0
placenta,0.5850340136054422,4,FIB1,C0
placenta,0.5983193277310924,4,FIB2,C0
placenta,0.837772397094431,4,Hofbauer cells,C0
placenta,0.7944785276073618,4,STB,C0
placenta,0.0,4,STB-progenitor,C0
placenta,0.7889908256880734,4,vCTB,C0
placenta,0.8309859154929577,0,EVT,C1
placenta,0.0,0,EVT-progenitor,C1
placenta,0.9514563106796116,0,Endothelial,C1
placenta,0.2631578947368421,0,Erythroblasts,C1
placenta,0.9054726368159204,0,FIB1,C1
placenta,0.7775891341256366,0,FIB2,C1
placenta,0.9457013574660633,0,Hofbauer cells,C1
placenta,0.8522012578616353,0,STB,C1
placenta,0.0,0,STB-progenitor,C1
placenta,0.8401937046004844,0,vCTB,C1
placenta,0.8805970149253731,1,EVT,C1
placenta,0.0,1,EVT-progenitor,C1
placenta,0.9423076923076923,1,Endothelial,C1
placenta,0.20689655172413793,1,Erythroblasts,C1
placenta,0.679245283018868,1,FIB1,C1
placenta,0.9136904761904762,1,FIB2,C1
placenta,0.9183222958057395,1,Hofbauer cells,C1
placenta,0.834108527131783,1,STB,C1
placenta,0.0,1,STB-progenitor,C1
placenta,0.8539603960396039,1,vCTB,C1
placenta,0.8251748251748251,2,EVT,C1
placenta,0.023529411764705885,2,EVT-progenitor,C1
placenta,0.9433962264150944,2,Endothelial,C1
placenta,0.27631578947368424,2,Erythroblasts,C1
placenta,0.9199999999999999,2,FIB1,C1
placenta,0.7014388489208633,2,FIB2,C1
placenta,0.9457013574660633,2,Hofbauer cells,C1
placenta,0.8434504792332268,2,STB,C1
placenta,0.0,2,STB-progenitor,C1
placenta,0.835965978128797,2,vCTB,C1
placenta,0.8251748251748251,3,EVT,C1
placenta,0.0,3,EVT-progenitor,C1
placenta,0.9411764705882353,3,Endothelial,C1
placenta,0.24203821656050953,3,Erythroblasts,C1
placenta,0.6467065868263473,3,FIB1,C1
placenta,0.9246676514032497,3,FIB2,C1
placenta,0.9452954048140044,3,Hofbauer cells,C1
placenta,0.8352,3,STB,C1
placenta,0.0,3,STB-progenitor,C1
placenta,0.8422330097087378,3,vCTB,C1
placenta,0.8467153284671532,4,EVT,C1
placenta,0.0,4,EVT-progenitor,C1
placenta,0.9306930693069307,4,Endothelial,C1
placenta,0.27631578947368424,4,Erythroblasts,C1
placenta,0.8829787234042553,4,FIB1,C1
placenta,0.7145359019264449,4,FIB2,C1
placenta,0.9281045751633987,4,Hofbauer cells,C1
placenta,0.8240740740740741,4,STB,C1
placenta,0.0,4,STB-progenitor,C1
placenta,0.8606965174129354,4,vCTB,C1
placenta,0.7564102564102563,0,EVT,IGE
placenta,0.0,0,EVT-progenitor,IGE
placenta,0.703448275862069,0,Endothelial,IGE
placenta,0.01680672268907563,0,Erythroblasts,IGE
placenta,0.5675675675675677,0,FIB1,IGE
placenta,0.9037037037037038,0,FIB2,IGE
placenta,0.9010989010989011,0,Hofbauer cells,IGE
placenta,0.8362480127186008,0,STB,IGE
placenta,0.30303030303030304,0,STB-progenitor,IGE
placenta,0.7557354925775979,0,vCTB,IGE
placenta,0.7374999999999999,1,EVT,IGE
placenta,0.0,1,EVT-progenitor,IGE
placenta,0.30674846625766866,1,Endothelial,IGE
placenta,0.0,1,Erythroblasts,IGE
placenta,0.6514285714285715,1,FIB1,IGE
placenta,0.9269005847953217,1,FIB2,IGE
placenta,0.6136363636363636,1,Hofbauer cells,IGE
placenta,0.8357256778309411,1,STB,IGE
placenta,0.013986013986013984,1,STB-progenitor,IGE
placenta,0.7181688125894133,1,vCTB,IGE
placenta,0.7374999999999999,2,EVT,IGE
placenta,0.0,2,EVT-progenitor,IGE
placenta,0.6938775510204082,2,Endothelial,IGE
placenta,0.0,2,Erythroblasts,IGE
placenta,0.5771812080536912,2,FIB1,IGE
placenta,0.9039039039039038,2,FIB2,IGE
placenta,0.906318082788671,2,Hofbauer cells,IGE
