step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,False
1,0.000625,31bc35d54c4cb51df01d61a24c72c75e83440a0610053c6bc1c74a698ded1442,False
5,0.003125,d37f14ca1af7310680d8385a0fb71e25f1e93ecc5161a0c33ce273323e4baf4d,False
10,0.00625,4f49713cd75214d982d8f378691bd686e4124f1eee7f4db97e6762fd86f87679,False
20,0.0125,203fcd0d930c2320f0efe1bc3a28d8f45e2eff1a71472c8993cd7b7de6204a3c,False
40,0.025,145b76a46c565bb7a575e80e76c3f384395f7603df89611af2b8ff271f164e57,False
80,0.05,89bfbde64880acde88d27b54732d5c28dd1ebf367d4cf5bcb0f909b69f4cb8aa,False
320,0.2,590601a0c91ab90aa4139c65d8427bc362115abfe4a2cc4f0c17714c8b4b0ddf,False
800,0.5,da250398bd14f2f83c454e47be366d6476cc4f354d60826e983e62824e14bf3c,False
1600,1.0,d4f69661681f217a727e3cfa13a5d9bc8ed106cafe3ade0ee442f70c1a23b34d,True
