step,fraction_of_training,wall_seconds,gradient_norm,embedding_l2_mean,embedding_finite,total_loss,checkpoint_state_sha256,L_rna_recon_raw,rna_recon_coefficient,rna_recon_contribution,rna_recon_contribution_fraction,L_mod2_recon_raw,mod2_recon_coefficient,mod2_recon_contribution,mod2_recon_contribution_fraction,L_corr1_raw,corr1_coefficient,corr1_contribution,corr1_contribution_fraction,L_corr2_raw,corr2_coefficient,corr2_contribution,corr2_contribution_fraction,cross_omics_rna_attention,cross_omics_modality2_attention,rna_spatial_attention,rna_feature_attention,modality2_spatial_attention,modality2_feature_attention
0,0.0,0.040434904396533966,1.3570894374158968,2.243910074234009,True,4.0,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,1.0025205612182617,0.997485776036158,1.0,0.25,1.0298055410385132,0.9710571172403804,1.0,0.25,0.08353601396083832,11.97088480253354,1.0,0.25,0.11075493693351746,9.02894288668358,1.0,0.25,0.5038464665412903,0.4961535334587097,0.5009216666221619,0.4990783631801605,0.500211775302887,0.4997882544994354
1,0.000625,0.14453132823109627,1.357089437208893,2.2323789596557617,True,3.93938547372818,31bc35d54c4cb51df01d61a24c72c75e83440a0610053c6bc1c74a698ded1442,1.0024653673171997,0.997485776036158,0.9999449253082275,0.2538327188280698,1.0288522243499756,0.9710571172403804,0.9990742802619934,0.2536117084567719,0.08114416152238846,11.97088480253354,0.9713674187660217,0.24657841311648362,0.10732140392065048,9.02894288668358,0.9689988493919373,0.2459771595986747,0.5035899877548218,0.4964100122451782,0.500878632068634,0.49912136793136597,0.5001564025878906,0.49984362721443176
5,0.003125,0.34632277488708496,1.0135598730120157,2.19099760055542,True,3.735045552253723,d37f14ca1af7310680d8385a0fb71e25f1e93ecc5161a0c33ce273323e4baf4d,1.0022741556167603,0.997485776036158,0.9997541904449463,0.2676685401712693,1.0255153179168701,0.9710571172403804,0.9958339333534241,0.2666189526798512,0.07396434992551804,11.97088480253354,0.8854187726974487,0.23705702120906874,0.0945889949798584,9.02894288668358,0.854038655757904,0.2286554859398108,0.502518355846405,0.49748167395591736,0.5007140636444092,0.4992859661579132,0.49994537234306335,0.500054657459259
10,0.00625,0.5879348088055849,0.763394974309997,2.147634744644165,True,3.5439886450767517,4f49713cd75214d982d8f378691bd686e4124f1eee7f4db97e6762fd86f87679,1.0020897388458252,0.997485776036158,0.9995702505111694,0.28204668542032585,1.0221035480499268,0.9710571172403804,0.9925209283828735,0.2800575926679863,0.06850653141736984,11.97088480253354,0.8200838565826416,0.23140137813982223,0.08105196803808212,9.02894288668358,0.7318136096000671,0.20649434377186565,0.5010925531387329,0.4989074766635895,0.5005128979682922,0.49948710203170776,0.49971556663513184,0.5002844333648682
20,0.0125,0.9503104649484158,0.5118071775455495,2.0787265300750732,True,3.2814682722091675,203fcd0d930c2320f0efe1bc3a28d8f45e2eff1a71472c8993cd7b7de6204a3c,1.001844882965088,0.997485776036158,0.9993259906768799,0.3045362343254071,1.0165363550186157,0.9710571172403804,0.9871148467063904,0.3008149903707098,0.06167092174291611,11.97088480253354,0.738255500793457,0.22497718690311905,0.06166524067521095,9.02894288668358,0.5567719340324402,0.16967158840076405,0.49805209040641785,0.5019479393959045,0.500063955783844,0.4999360740184784,0.49940118193626404,0.5005988478660583
40,0.025,1.564620703458786,0.296402229366467,1.9884698390960693,True,3.003088653087616,145b76a46c565bb7a575e80e76c3f384395f7603df89611af2b8ff271f164e57,1.001624584197998,0.997485776036158,0.999106228351593,0.3326928851482174,1.0078219175338745,0.9710571172403804,0.9786526560783386,0.3258820398365996,0.0527857206761837,11.97088480253354,0.6318917870521545,0.2104139637710918,0.04357519745826721,9.02894288668358,0.3934379816055298,0.13101111124409123,0.4929157495498657,0.507084310054779,0.4992501735687256,0.5007498264312744,0.4993409812450409,0.5006590485572815
80,0.05,2.6834865882992744,0.18102589237310593,1.881999135017395,True,2.7596217691898346,89bfbde64880acde88d27b54732d5c28dd1ebf367d4cf5bcb0f909b69f4cb8aa,1.0014454126358032,0.997485776036158,0.9989275336265564,0.36197987158211903,0.995063066482544,0.9710571172403804,0.9662630558013916,0.3501432937619801,0.041082024574279785,11.97088480253354,0.49178820848464966,0.17820855523582424,0.0335192009806633,9.02894288668358,0.30264297127723694,0.1096682794200766,0.48836827278137207,0.5116317868232727,0.4986140727996826,0.5013859272003174,0.5003572702407837,0.4996427297592163
320,0.2,8.960642321035266,0.08227968107103915,1.6900875568389893,True,2.287388175725937,590601a0c91ab90aa4139c65d8427bc362115abfe4a2cc4f0c17714c8b4b0ddf,1.0013394355773926,0.997485776036158,0.9988217949867249,0.43666475396976895,0.9443228840827942,0.9710571172403804,0.9169914722442627,0.4008901864473623,0.015293574891984463,11.97088480253354,0.1830776333808899,0.08003785073462115,0.02087700366973877,9.02894288668358,0.18849727511405945,0.08240720884824763,0.48955675959587097,0.5104432702064514,0.4994294345378876,0.5005705952644348,0.5118415355682373,0.4881584942340851
800,0.5,21.60627675242722,0.04522472584503894,1.79652738571167,True,2.008583351969719,da250398bd14f2f83c454e47be366d6476cc4f354d60826e983e62824e14bf3c,1.000461459159851,0.997485776036158,0.9979460835456848,0.49684076220538625,0.8753558993339539,0.9710571172403804,0.8500205874443054,0.42319408184416746,0.004982197657227516,11.97088480253354,0.059641316533088684,0.029693224567753872,0.011183519847691059,9.02894288668358,0.10097536444664001,0.050271931382692404,0.47490671277046204,0.5250933170318604,0.5024434328079224,0.4975565969944,0.5634939074516296,0.43650612235069275
1600,1.0,42.37290752492845,0.017572287495921737,1.7350980043411255,True,1.8640992362052202,d4f69661681f217a727e3cfa13a5d9bc8ed106cafe3ade0ee442f70c1a23b34d,0.996620237827301,0.997485776036158,0.9941145181655884,0.5332948476441227,0.8286340236663818,0.9710571172403804,0.8046509623527527,0.4316567201598102,0.0015483431052416563,11.97088480253354,0.018535038456320763,0.009943160801917858,0.005183188710361719,9.02894288668358,0.046798717230558395,0.025105271394149257,0.3864547312259674,0.6135452389717102,0.5024644732475281,0.4975355565547943,0.7052039504051208,0.29479604959487915
