step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,False
1,0.000625,f06fa82d928924cd7382162d6158f426a1008ca33def5a51db73731e05a307fe,False
5,0.003125,2514378439771b4354eb7e6fbf01dbfaab5d0b4a34fe3c39fa58926745fd0146,False
10,0.00625,5714f43cc1b10de41982d55cd3b7d4f6d95ab7bd07be2c714b884fb13c71f959,False
20,0.0125,dea82b34e55ee1cd4bc6cd64061863d575ee2299b1e9bdf7a3f8193b0a06fe94,False
40,0.025,e22ae5fd77780a10825ab4b16fc3088b775ee660da4005aa1479cf4074f60614,False
80,0.05,5135234e3549753669c2c4d226921f259e56b7daa69131727630ae0379b1c873,False
320,0.2,b0e29c43c49dafce05d64f6cc065d50a913c7c44f839082075fd4d7f52ced744,False
800,0.5,c7c4d1e16590bdea8217c879732e227fb5b465784af3156bef1c0a2542c716a6,False
1600,1.0,dcfee936e9ec8574e42be4307f9e9ca08331e4f766754fa0d39566beaed4c867,True
