formal_phase,dataset,family,study,filter_id,reference_method,model_seed_count,endpoint_row_count,ari_mean,ari_sd,ari_min,ari_max,nmi_mean,nmi_sd,nmi_min,nmi_max,ami_mean,fmi_mean,homogeneity_mean,v_measure_mean,morans_i_mean,gearys_c_mean,reference_ari_mean,reference_nmi_mean,delta_ari_mean,delta_ari_min,delta_nmi_mean,delta_nmi_min,ari_win_rate,nmi_win_rate,joint_win_rate
CONFIRMATION,D1,RNA+protein,lymph_node,W00_IDENTITY,SIMPLE_CONCAT,3,60,0.2369578383045185,0.009401311323392069,0.2214691828866586,0.2569080640939202,0.3951427003007696,0.004727203883548595,0.3871353846779318,0.4040734536257788,0.3912795408502822,0.371551712493563,0.45097318053549346,0.3951427003007696,0.5066644004044015,0.4946015420827558,0.2303196543352076,0.35225082891175674,0.006638183969310877,-0.028400042422057903,0.04289187138901284,0.02304213335911498,0.6,1.0,0.6
CONFIRMATION,D1,RNA+protein,lymph_node,W01_FIXED_LOW60,SIMPLE_CONCAT,3,60,0.23295302531162054,0.0038769775347901794,0.2260759875573401,0.24051201760952,0.39922592757741604,0.003707119753904244,0.3916664362941029,0.4052250574307235,0.39537262730846634,0.36879804281026696,0.4538796368533024,0.39922592757741604,0.6703656099483464,0.3307404969603063,0.2303196543352076,0.35225082891175674,0.0026333709764129517,-0.023135621123699407,0.04697509866565929,0.028981594329882288,0.48333333333333334,1.0,0.48333333333333334
CONFIRMATION,D1,RNA+protein,lymph_node,W02_TCF_FINAL,SIMPLE_CONCAT,3,60,0.24189206959900078,0.003948905467294534,0.2287162386515439,0.2480812114067108,0.40430453224092666,0.002597935929281942,0.39697468180344,0.4088185848330188,0.40048965900314837,0.37646855593057704,0.4603291771103091,0.40430453224092666,0.6359209436186791,0.3652872262251789,0.2303196543352076,0.35225082891175674,0.011572415263793163,-0.011852991840059807,0.05205370332916994,0.037882585844763506,0.7833333333333333,1.0,0.7833333333333333
CONFIRMATION,tonsil_s2,RNA+protein,tonsil,W00_IDENTITY,SIMPLE_CONCAT,3,60,0.14282341145117244,0.00654720693411417,0.1348531096048286,0.1514480596843213,0.22766807179025064,0.004432767037100593,0.2204093833639929,0.2330300951393327,0.22703837054493167,0.42481467961861763,0.2555775472591529,0.22766807179025064,0.6864278340569884,0.3130985781475121,0.17398964253057397,0.2664118884461374,-0.03116623107940157,-0.08378946382878469,-0.03874381665588676,-0.05736259678397962,0.08333333333333333,0.016666666666666666,0.0
CONFIRMATION,tonsil_s2,RNA+protein,tonsil,W01_FIXED_LOW60,SIMPLE_CONCAT,3,60,0.1246811395155484,0.006892886905569372,0.109757995959107,0.1314986213750744,0.20732162054875064,0.011039422806913555,0.1942457805555954,0.2224877774344918,0.20667651854051886,0.4114149747985768,0.23313796114423682,0.2073216205487506,0.7309763849730486,0.2684785469142621,0.17398964253057397,0.2664118884461374,-0.0493085030150256,-0.1038589325734647,-0.059090267897386764,-0.08187201324615823,0.0,0.0,0.0
CONFIRMATION,tonsil_s2,RNA+protein,tonsil,W02_TCF_FINAL,SIMPLE_CONCAT,3,60,0.14282341145117244,0.00654720693411417,0.1348531096048286,0.1514480596843213,0.22766807179025064,0.004432767037100593,0.2204093833639929,0.2330300951393327,0.22703837054493167,0.42481467961861763,0.2555775472591529,0.22766807179025064,0.6864278340569884,0.3130985781475121,0.17398964253057397,0.2664118884461374,-0.03116623107940157,-0.08378946382878469,-0.03874381665588676,-0.05736259678397962,0.08333333333333333,0.016666666666666666,0.0
CONFIRMATION,tonsil_s3,RNA+protein,tonsil,W00_IDENTITY,SIMPLE_CONCAT,3,60,0.11242951862691747,0.018494316410422873,0.0984381295897921,0.1395709602582531,0.19965818786635475,0.011268551181883172,0.1889047318287866,0.2168295259299548,0.1989905842974826,0.4107965723106889,0.22636205396501763,0.19965818786635475,0.7151003188626182,0.28617832033275603,0.18232146756410478,0.24337633868531328,-0.06989194893718732,-0.0990597592425595,-0.043718150818958544,-0.06318479331518789,0.05,0.0,0.0
CONFIRMATION,tonsil_s3,RNA+protein,tonsil,W01_FIXED_LOW60,SIMPLE_CONCAT,3,60,0.07469842798735321,0.004054932859535345,0.0662977439346658,0.0778976109932278,0.1739696333331611,0.0025393516401432475,0.1680556931421677,0.1768867909650771,0.17328371427193684,0.3815786816303913,0.1980947549102193,0.1739696333331611,0.758680578728727,0.243306941230145,0.18232146756410478,0.24337633868531328,-0.10762303957675158,-0.12882116683866118,-0.06940670535215218,-0.0830840478681554,0.0,0.0,0.0
CONFIRMATION,tonsil_s3,RNA+protein,tonsil,W02_TCF_FINAL,SIMPLE_CONCAT,3,60,0.11242951862691747,0.018494316410422873,0.0984381295897921,0.1395709602582531,0.19965818786635475,0.011268551181883172,0.1889047318287866,0.2168295259299548,0.1989905842974826,0.4107965723106889,0.22636205396501763,0.19965818786635475,0.7151003188626182,0.28617832033275603,0.18232146756410478,0.24337633868531328,-0.06989194893718732,-0.0990597592425595,-0.043718150818958544,-0.06318479331518789,0.05,0.0,0.0
DEVELOPMENT,A1,RNA+protein,lymph_node,W00_IDENTITY,C00_G04_MODEL_SEED0,3,60,0.2256994384392884,0.004435583212477582,0.218714216638928,0.2333281411849362,0.38529530785706334,0.0026481213133379743,0.3809524449726916,0.3901688800477693,0.38143405722451545,0.36515910315092664,0.4453413683265559,0.38529530785706334,0.5210707799104868,0.4798436358990886,0.22510203127512074,0.3785373186084362,0.0005974071641676639,-0.019873081750625105,0.006757989248627133,-0.0014838183550565653,0.5833333333333334,0.9833333333333333,0.5833333333333334
DEVELOPMENT,A1,RNA+protein,lymph_node,W01_FIXED_LOW60,C00_G04_MODEL_SEED0,3,60,0.21215229070879343,0.004434439420976932,0.2047837878881369,0.2227399879818911,0.38456481541390536,0.0027795105712227273,0.3791550231628001,0.389928839747225,0.38068139646673893,0.35414068809884647,0.44233957117234557,0.38456481541390536,0.6860281591828328,0.31470215046823913,0.22510203127512074,0.3785373186084362,-0.012949740566327328,-0.031115923412263824,0.006027496805469131,-0.003654853530061286,0.0,0.9666666666666667,0.0
DEVELOPMENT,A1,RNA+protein,lymph_node,W02_TCF_FINAL,C00_G04_MODEL_SEED0,3,60,0.2256994384392884,0.004435583212477582,0.218714216638928,0.2333281411849362,0.38529530785706334,0.0026481213133379743,0.3809524449726916,0.3901688800477693,0.38143405722451545,0.36515910315092664,0.4453413683265559,0.38529530785706334,0.5210707799104868,0.4798436358990886,0.22510203127512074,0.3785373186084362,0.0005974071641676639,-0.019873081750625105,0.006757989248627133,-0.0014838183550565653,0.5833333333333334,0.9833333333333333,0.5833333333333334
DEVELOPMENT,MISAR_E15_5_S1,RNA+ATAC,MISAR,W00_IDENTITY,RNA_ONLY,3,60,0.20351506137888492,0.028600244753307295,0.1466389854906986,0.2451393133947084,0.37107713403759135,0.026386780378374445,0.3122754347566868,0.4090193869619193,0.36751441800485707,0.374479265670126,0.3712165733735295,0.37107713403759135,0.6820375428112919,0.32328279621102346,0.2056080240521288,0.3113181926289595,-0.002092962673243886,-0.0789963793646313,0.05975894140863187,-0.004277026256781391,0.4666666666666667,0.95,0.4666666666666667
DEVELOPMENT,MISAR_E15_5_S1,RNA+ATAC,MISAR,W01_FIXED_LOW60,RNA_ONLY,3,60,0.2916030168156232,0.03255775236061716,0.2447871665604629,0.3720685526164294,0.4712964461934455,0.023733644197394675,0.4375545753715379,0.5408069438900288,0.46836797555903215,0.4385916303933522,0.4792748734964813,0.4712964461934455,0.8222073455119752,0.1788438626717548,0.2056080240521288,0.3113181926289595,0.0859949927634944,0.002082432145756291,0.15997825356448606,0.09921842285598587,1.0,1.0,1.0
DEVELOPMENT,MISAR_E15_5_S1,RNA+ATAC,MISAR,W02_TCF_FINAL,RNA_ONLY,3,60,0.27063466548139714,0.02960411041211375,0.2283391054448304,0.3120064541554376,0.44877484001351753,0.021262174774020755,0.4154091983518799,0.4824164738133756,0.4456987443762353,0.4235992993575352,0.45385028855859905,0.44877484001351753,0.8054449521243706,0.19605186641741668,0.2056080240521288,0.3113181926289595,0.06502664142926831,-0.019085310992191296,0.13745664738455804,0.0722823728620472,0.9,1.0,0.9
DEVELOPMENT,P22,RNA+ATAC,P22,W00_IDENTITY,N02_HIER_MODEL_SEED0,3,60,0.31379905122727975,0.02291603554003746,0.2894355335253983,0.3451649440637863,0.4944382223006856,0.018759063224983007,0.4726340773441843,0.5196837931083285,0.493580299669622,0.41109216950336985,0.5108916573445754,0.4944382223006856,0.6028496950393427,0.39893009114038,0.4387191368138937,0.5822273223834245,-0.12492008558661398,-0.1496001817959563,-0.0877891000827389,-0.10975476161299558,0.0,0.0,0.0
DEVELOPMENT,P22,RNA+ATAC,P22,W01_FIXED_LOW60,N02_HIER_MODEL_SEED0,3,60,0.46423006183810017,0.0116486203628628,0.4487805916704345,0.4766960610740738,0.6143771774566404,0.0030558840682561603,0.5948518935357299,0.6201473100513999,0.6137120542596082,0.5437411556421637,0.6251873641442371,0.6143771774566404,0.852747132256324,0.1494199468546264,0.4387191368138937,0.5822273223834245,0.025510925024206387,0.009821849210816525,0.032149855073215994,0.012535230848125689,1.0,1.0,1.0
DEVELOPMENT,P22,RNA+ATAC,P22,W02_TCF_FINAL,N02_HIER_MODEL_SEED0,3,60,0.46840016613880314,0.012151923379226732,0.4517018889708457,0.4806661895796629,0.6204911242192824,0.0035285145453944,0.6056115715870224,0.6243396148818401,0.619836562235339,0.547347421646162,0.6313221894533674,0.6204911242192824,0.8691671701592036,0.13300486708933418,0.4387191368138937,0.5822273223834245,0.029681029324909392,0.012848553576300603,0.038263801835857855,0.0233722782682525,1.0,1.0,1.0
DEVELOPMENT,tonsil_s1,RNA+protein,tonsil,W00_IDENTITY,SIMPLE_CONCAT,3,60,0.10836954692213446,0.0035921352927648755,0.1044115649084089,0.1133123308057572,0.23682714230812152,0.0018276148537371263,0.2332601778740181,0.239184183216089,0.236155419589246,0.42010267210272834,0.26499377094389887,0.23682714230812152,0.643911256382813,0.35363196848399236,0.1759575836461544,0.2802487485138649,-0.06758803672401993,-0.109221122733704,-0.04342160620574341,-0.062259638348442004,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,RNA+protein,tonsil,W01_FIXED_LOW60,SIMPLE_CONCAT,3,60,0.09084549121754776,0.0017868888896838675,0.0882595118116993,0.0924635696082951,0.2148367521993898,0.0016541526547371298,0.2123893890571292,0.2175606731649777,0.21415761730566213,0.39875960593647963,0.24453479956964924,0.2148367521993898,0.7233266191780156,0.276106826244093,0.1759575836461544,0.2802487485138649,-0.08511209242860665,-0.1254020259392146,-0.06541199631447511,-0.0848110475296768,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,RNA+protein,tonsil,W02_TCF_FINAL,SIMPLE_CONCAT,3,60,0.10836954692213446,0.0035921352927648755,0.1044115649084089,0.1133123308057572,0.23682714230812152,0.0018276148537371263,0.2332601778740181,0.239184183216089,0.236155419589246,0.42010267210272834,0.26499377094389887,0.23682714230812152,0.643911256382813,0.35363196848399236,0.1759575836461544,0.2802487485138649,-0.06758803672401993,-0.109221122733704,-0.04342160620574341,-0.062259638348442004,0.0,0.0,0.0
