dataset,phase,method,candidate_id,filter_id,model_seed,endpoint_seed,endpoint_n_init,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,endpoint_wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,endpoint_reused,endpoint_reuse_of_filter_id,source_endpoint_wall_seconds,formal_phase,reference_absolute_ari,reference_absolute_nmi,reference_ami,reference_fmi,reference_homogeneity,reference_v_measure,reference_morans_i,reference_gearys_c,reference_method,delta_ari,delta_nmi,win_ari,win_nmi,win_both,family,study,semantic_lane
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,10,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,27f5e75c3b4db44c9d190edcc26c1194a2b0ac6ef252ee6bce4a139ec2b898d5,2.5821265392005444,0.2294395500869787,0.3891785786505035,0.3853419507797935,0.3685193012819836,0.4498762676192803,0.3891785786505035,0.5171870250428655,0.4837451835355866,False,,2.5821265392005444,DEVELOPMENT,0.2229730673315901,0.3777332663300939,0.3738753586075533,0.3604581561699407,0.4424022483147337,0.377733266330094,0.4958978598769096,0.5031889184299478,C00_G04_MODEL_SEED0,0.006466482755388581,0.011445312320409573,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,11,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,2d5ad77fe78ea7107e986f48f0e923a91e56771ec8efbc8b740be65ce24ce753,2.693202774971724,0.2247276459022119,0.3849644368411521,0.3811097674761906,0.3639034698253575,0.4459905355089282,0.3849644368411521,0.5165476107253801,0.4839593128434468,False,,2.693202774971724,DEVELOPMENT,0.2232758759037565,0.3774687803028641,0.3736092453394113,0.3607334660526144,0.4420934448450968,0.3774687803028641,0.4976455737401234,0.5015850672450994,C00_G04_MODEL_SEED0,0.0014517699984553933,0.007495656538287987,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,12,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,115d26efc806b3c30bc2111ccc6e08c7d91159939f172a0abc8a173d6bf0e9ef,2.70658128336072,0.2319261985180097,0.3898067751406467,0.3859767064822451,0.3706211283617051,0.4509168476437761,0.3898067751406467,0.5165119597834719,0.4846038671650601,False,,2.70658128336072,DEVELOPMENT,0.2236643423036179,0.3779083593043196,0.374051681166229,0.3610857469767721,0.4426238010013353,0.3779083593043196,0.4973409718210025,0.5018367588197652,C00_G04_MODEL_SEED0,0.008261856214391794,0.011898415836327114,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,13,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,5a160b92c18ae807aaba4ccc0a3e1e1d71b98147466de4bf269ff7b015df0e7b,2.816394967958331,0.231001813617751,0.3869137330334713,0.3830634953402166,0.3698754967447663,0.4473270702806879,0.3869137330334712,0.5171328453944791,0.4841493549332405,False,,2.816394967958331,DEVELOPMENT,0.2236609110821508,0.3776949908435632,0.3738369952511425,0.361082416274152,0.4423745152893,0.3776949908435631,0.4969673788516004,0.5022105663360675,C00_G04_MODEL_SEED0,0.007340902535600186,0.009218742189908091,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,14,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,979a31d6c39ec315527b8a53ed49b99ed1ee7b7d51d1c6f9f32f222b39bc186a,2.7923896573483944,0.2201949186058949,0.3822495353042009,0.3783840297701403,0.3594882541529058,0.4435425045492695,0.3822495353042009,0.5231122917968973,0.4779309854181273,False,,2.7923896573483944,DEVELOPMENT,0.24006800035652,0.3837333536592575,0.379891728708409,0.3768362481430036,0.4469714611911546,0.3837333536592575,0.5109056362084231,0.4883274585922418,C00_G04_MODEL_SEED0,-0.019873081750625105,-0.0014838183550565653,False,False,False,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,15,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,09392f3925f087711aabf83bf3faf230aef56fef110f8081d27b5678f37f62b8,2.903224848210812,0.2309256373634244,0.3885607465123539,0.3847287166640887,0.3694755674947552,0.4501768171370497,0.3885607465123539,0.5188576060635255,0.4820069588134877,False,,2.903224848210812,DEVELOPMENT,0.2311324512472901,0.3796912479562077,0.3758388074490639,0.3681661435618044,0.44391517809977,0.3796912479562077,0.5147209974177187,0.4843771802312152,C00_G04_MODEL_SEED0,-0.00020681388386570299,0.008869498556146216,False,True,False,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,16,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,34e71dc9acb3cd02db019492d3e6537e3fdfedf828acb611f3df7765ad477b1b,2.80671726167202,0.2313531426004793,0.3867916602686393,0.382940449878675,0.3702050961754611,0.4471608345969899,0.3867916602686393,0.5190300859399966,0.4822917359648216,False,,2.80671726167202,DEVELOPMENT,0.2253119354759267,0.3800068299435286,0.3761619106965697,0.362640754529371,0.4449351130481712,0.3800068299435285,0.4964022501180291,0.5026412964743158,C00_G04_MODEL_SEED0,0.006041207124552583,0.006784830325110736,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,17,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,a8735b6dff49c2407ed7a6ce065849f23979de2c61d103a6b0cebf0e55304bd0,2.677533796057105,0.2310416794885922,0.3887147747439701,0.3848834257138505,0.3695934566208345,0.4503222163846812,0.38871477474397,0.5194226533193256,0.4814840091771818,False,,2.677533796057105,DEVELOPMENT,0.2290620847198345,0.3784902487034844,0.3746311600759864,0.3662510865135904,0.4426044264512683,0.3784902487034844,0.5155023057217184,0.4836015592159874,C00_G04_MODEL_SEED0,0.0019795947687576976,0.010224526040485682,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,18,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,57073964f2e5e27b1e4b55df62bf5706398f1a5003135e52abc50721b3a457cc,2.819199161604047,0.2272851239790965,0.3853166365123821,0.3814574365955838,0.3664427543173626,0.4455792968540072,0.3853166365123822,0.5185469522788885,0.4828510734074573,False,,2.819199161604047,DEVELOPMENT,0.223241782167267,0.3778232423876394,0.3739658448680962,0.3607036466062924,0.4425013986781484,0.3778232423876393,0.4990969449322528,0.5001307530437146,C00_G04_MODEL_SEED0,0.004043341811829498,0.007493394124742703,True,True,True,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
A1,FORMAL_DEVELOPMENT_CYCLE3,NIGHT14A_UNIFIED_TCF,C15_BAL_XREC_600_WEAK_ALIGN,W00_IDENTITY,0,19,10,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,0731ba54dfbfb3a839d1ba6059ab939d763c603f6f1ff6bc3a62539bffaf5c1c,9aec37bcc8d3b227de2fccd88c3546553261afb8026a0ec2a0fa6a860fad1e7f,2.9982411973178387,0.2228098366040699,0.3830351337495061,0.3791701157639936,0.3619816066012245,0.4439247048366096,0.3830351337495061,0.5126878077204153,0.4884525179260801,False,,2.9982411973178387,DEVELOPMENT,0.223137169349578,0.378226778161104,0.3743721791687404,0.3606008966459008,0.4430124501062932,0.378226778161104,0.497221302435383,0.5020477499892407,C00_G04_MODEL_SEED0,-0.0003273327455081132,0.004808355588402091,False,True,False,RNA+protein,lymph_node,COMMON_HEAD_ROBUSTNESS
