formal_phase,dataset,model_seed,filter_id,topology_correlation,global_disagreement,roughness_ratio,frequency_gate,integrity_score,integrity_gate,raw_global_gate,global_gate,joint_support_mean,conflict_mean,conflict_q90,trust_mean,trust_evidence_fraction,beta_low_mean,beta_high_mean,exact_identity_fallback,dense_n_by_n_count
DEVELOPMENT,A1,0,W00_IDENTITY,0.4256223142147064,0.2871888279914856,0.2507957518100738,0.0368021540343761,0.8367459177970886,1.0,0.0368021540343761,0.0368021540343761,0.8986577987670898,0.0619118846952915,0.1196069717407226,0.9999999403953552,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,A1,0,W01_FIXED_LOW60,0.4256223142147064,0.2871888279914856,0.2507957518100738,0.0368021540343761,0.8367459177970886,1.0,0.0368021540343761,0.0368021540343761,0.8986577987670898,0.0619118846952915,0.1196069717407226,0.9999999403953552,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,A1,0,W02_TCF_FINAL,0.4256223142147064,0.2871888279914856,0.2507957518100738,0.0368021540343761,0.8367459177970886,0.8810465335845947,0.032424408942461,0.0,0.8986577987670898,0.0619118846952915,0.1196069717407226,0.928674340248108,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,A1,1,W00_IDENTITY,0.4165500402450561,0.2917249798774719,0.2469490468502044,0.0350920259952545,0.8387001156806946,1.0,0.0350920259952545,0.0350920259952545,0.9002079963684082,0.0615078955888748,0.1191598176956176,0.9999999403953552,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,A1,1,W01_FIXED_LOW60,0.4165500402450561,0.2917249798774719,0.2469490468502044,0.0350920259952545,0.8387001156806946,1.0,0.0350920259952545,0.0350920259952545,0.9002079963684082,0.0615078955888748,0.1191598176956176,0.9999999403953552,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,A1,1,W02_TCF_FINAL,0.4165500402450561,0.2917249798774719,0.2469490468502044,0.0350920259952545,0.8387001156806946,0.8870548605918884,0.0311285518109798,0.0,0.9002079963684082,0.0615078955888748,0.1191598176956176,0.9294958710670472,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,A1,2,W00_IDENTITY,0.3897196352481842,0.3051401972770691,0.241378054022789,0.0426268316805362,0.8419536352157593,1.0,0.0426268316805362,0.0426268316805362,0.902979850769043,0.0610262192785739,0.1169252395629882,0.9999999403953552,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,A1,2,W01_FIXED_LOW60,0.3897196352481842,0.3051401972770691,0.2413780391216278,0.0426267907023429,0.8419536352157593,1.0,0.0426267907023429,0.0426267907023429,0.902979850769043,0.0610262192785739,0.1169252395629882,0.9999999403953552,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,A1,2,W02_TCF_FINAL,0.3897196352481842,0.3051401972770691,0.241378054022789,0.0426268316805362,0.8419536352157593,0.8964706063270569,0.038213700056076,0.0,0.902979850769043,0.0610262192785739,0.1169252395629882,0.931097686290741,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,tonsil_s1,0,W00_IDENTITY,0.6778264045715332,0.1610867977142334,0.1384711265563964,2.914897549999296e-07,0.8827052116394043,1.0,2.914897549999296e-07,2.914897549999296e-07,0.9205719828605652,0.037866786122322,0.0847877264022827,1.0,1.0,0.0,0.0,0.0,0.0
