lane,config_id,wall_seconds,gpu_peak_mib,peak_rss_mib,optimizer_steps,checkpoint_bytes
A1_K10,FROZEN_RETAINED,2.0543138179928064,0.0,413.06640625,0,0
A1_K10,C01_FULL,7.4089455753564835,155.9384765625,1033.1796875,80,430448
A1_K10,C02_NO_GRAPH,6.625340204685926,139.51318359375,1015.1484375,80,430628
A1_K10,C03_NO_ANCHOR,7.593261651694775,155.9384765625,1023.58984375,80,430657
P22_K9,FROZEN_RETAINED,2.892737455666065,0.0,434.12890625,0,0
P22_K9,C01_FULL,18.45909557491541,380.0703125,1901.35546875,80,445616
P22_K9,C02_NO_GRAPH,19.186611220240593,337.556640625,1902.84375,80,445796
P22_K9,C03_NO_ANCHOR,19.993709890171885,380.0703125,1866.296875,80,445825
