lane,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator,family,changed_spots_vs_frozen_same_endpoint,changed_spots_vs_same_embedding_common_kmeans,historical_frontier_ari,historical_frontier_nmi,delta_ari_vs_historical_frontier,delta_nmi_vs_historical_frontier
A1_K10,C02_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,RAW_KMEANS_N1_S2,4d3a862abc14a03a06897aa0b89e389b1a8907e3dfe2b3892cd8300393e94a74,3484,3484,10,0.23316668634667645,0.38760878170655777,0.38379666487269626,0.3704381508825394,206,"[235, 206, 547, 564, 306, 258, 347, 356, 393, 272]",206,"[235, 206, 547, 564, 306, 258, 347, 356, 393, 272]",6.625340204685926,139.51318359375,1015.1484375,0.5591731657655479,0.5138860725439189,0.4902312610925791,RNA_PROTEIN,3330,3481,0.2760026589984753,0.42173983941218224,-0.042835972651798865,-0.03413105770562447
A1_K10,C02_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,1d8964d6a87b6eda46fd044e3b107fbca6a219722b35cfe989f17eb00aa11f25,3484,3484,10,0.2200356641335079,0.3844441647747469,0.3806005625490662,0.35915138861077706,212,"[310, 363, 643, 219, 258, 253, 377, 324, 212, 525]",212,"[310, 363, 643, 219, 258, 253, 377, 324, 212, 525]",6.625340204685926,139.51318359375,1015.1484375,0.5496043764852372,0.5211335310192421,0.48303534693047456,RNA_PROTEIN,2511,3383,0.2760026589984753,0.42173983941218224,-0.05596699486496742,-0.03729567463743533
A1_K10,C03_NO_ANCHOR,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,5ef860f8315cfb10b21f5d1f240cbe69c896527522fd5409a706ae91ed2d6765,3484,3484,10,0.2172107507400654,0.38725652359086243,0.38344770169736236,0.35573502935563656,205,"[295, 345, 205, 232, 420, 260, 351, 599, 333, 444]",205,"[295, 345, 205, 232, 420, 260, 351, 599, 333, 444]",7.593261651694775,155.9384765625,1023.58984375,0.6172957522500055,0.5830576250439715,0.4213799104352157,RNA_PROTEIN,3160,0,0.2760026589984753,0.42173983941218224,-0.05879190825840991,-0.034483315821319804
A1_K10,C03_NO_ANCHOR,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,5ef860f8315cfb10b21f5d1f240cbe69c896527522fd5409a706ae91ed2d6765,3484,3484,10,0.2172107507400654,0.38725652359086243,0.38344770169736236,0.35573502935563656,205,"[295, 345, 205, 232, 420, 260, 351, 599, 333, 444]",205,"[295, 345, 205, 232, 420, 260, 351, 599, 333, 444]",7.593261651694775,155.9384765625,1023.58984375,0.6172957522500055,0.5830576250439715,0.4213799104352157,RNA_PROTEIN,3170,0,0.2760026589984753,0.42173983941218224,-0.05879190825840991,-0.034483315821319804
A1_K10,C03_NO_ANCHOR,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S0,17da549885d0e428f4ee6ec012d473c48bd62da1ec9d45d4f59698bc6b9af30f,3484,3484,10,0.20993899544975084,0.37628940680487744,0.37238641585274934,0.350323236141874,188,"[366, 395, 188, 303, 642, 446, 196, 290, 200, 458]",188,"[366, 395, 188, 303, 642, 446, 196, 290, 200, 458]",7.593261651694775,155.9384765625,1023.58984375,0.7164950404924523,0.6828277118425035,0.3222653106337585,RNA_PROTEIN,3101,2922,0.2760026589984753,0.42173983941218224,-0.06606366354872448,-0.0454504326073048
A1_K10,C03_NO_ANCHOR,0,COMMON_GMM,RAW_GMM_DIAG_S0,8a679a111b2919602e27fd1104ac4cbb36629ac4067e16d2b220ca7fd572c68b,3484,3484,10,0.2035485247549449,0.37641956767092727,0.37252702427157725,0.343871545573932,162,"[471, 431, 502, 162, 418, 497, 268, 201, 231, 303]",162,"[471, 431, 502, 162, 418, 497, 268, 201, 231, 303]",7.593261651694775,155.9384765625,1023.58984375,0.608446278534164,0.5681754343277448,0.4320878787137624,RNA_PROTEIN,3299,3317,0.2760026589984753,0.42173983941218224,-0.07245413424353042,-0.04532027174125497
P22_K9,FROZEN_RETAINED,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,535b0f39096a98a1fbb3be7ca02bab1e689e4823938e0f1fcd9d7e26f989f6c0,9196,9196,9,0.47089720871135177,0.5998965493600618,0.5992171733497591,0.5477588212171083,731,"[2201, 1106, 783, 731, 768, 764, 922, 1021, 900]",731,"[2201, 1106, 783, 731, 768, 764, 922, 1021, 900]",2.892737455666065,0.0,434.12890625,0.8653507162550748,0.8359162639827755,0.16523395385966266,RNA_CHROMATIN,0,0,0.5955516462857395,0.7179305602206435,-0.12465443757438777,-0.11803401086058174
P22_K9,FROZEN_RETAINED,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S0,f2d344c359e841abcd0637f7cc0af31662d8804d611142be5cb2938e89774e62,9196,9196,9,0.47132322411722877,0.6002216856644577,0.5995429346238068,0.5481078162203644,732,"[770, 765, 1020, 732, 1109, 919, 900, 2197, 784]",732,"[770, 765, 1020, 732, 1109, 919, 900, 2197, 784]",2.892737455666065,0.0,434.12890625,0.8653075467493772,0.8358168527565688,0.16533655092295785,RNA_CHROMATIN,0,8462,0.5955516462857395,0.7179305602206435,-0.12422842216851077,-0.11770887455618584
P22_K9,FROZEN_RETAINED,0,NIGHT16H_FIXED_STRUCTURED,RAW_GMM_DIAG_S0,9ad3091668782bac96e41bc5894e6f8ed9ae7decb713dea5dddb2cd83b6d4d73,9196,9196,9,0.4995000353090365,0.6228867605634962,0.6222456322179828,0.572540443325294,663,"[725, 753, 885, 663, 1074, 907, 1049, 2232, 908]",663,"[725, 753, 885, 663, 1074, 907, 1049, 2232, 908]",2.892737455666065,0.0,434.12890625,0.8773590335791938,0.8514117184306327,0.14975377077419225,RNA_CHROMATIN,0,8504,0.5955516462857395,0.7179305602206435,-0.096051610976703,-0.09504379965714727
P22_K9,FROZEN_RETAINED,0,COMMON_GMM,RAW_GMM_DIAG_S0,9ad3091668782bac96e41bc5894e6f8ed9ae7decb713dea5dddb2cd83b6d4d73,9196,9196,9,0.4995000353090365,0.6228867605634962,0.6222456322179828,0.572540443325294,663,"[725, 753, 885, 663, 1074, 907, 1049, 2232, 908]",663,"[725, 753, 885, 663, 1074, 907, 1049, 2232, 908]",2.892737455666065,0.0,434.12890625,0.8773590335791938,0.8514117184306327,0.14975377077419225,RNA_CHROMATIN,0,8504,0.5955516462857395,0.7179305602206435,-0.096051610976703,-0.09504379965714727
