lane,candidate_id,arm,config_id,partition_sha256,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,peak_rss_mib,gpu_time_seconds,peak_gpu_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
P22_K9,IDENTITY_RETAINED,IDENTITY_RETAINED,IDENTITY,535b0f39096a98a1fbb3be7ca02bab1e689e4823938e0f1fcd9d7e26f989f6c0,0.4708972087113517,0.5998965493600618,0.5992171733497591,0.5477588212171083,9196,9196,9,731,"[2201, 1106, 783, 731, 768, 764, 922, 1021, 900]",731,"[2201, 1106, 783, 731, 768, 764, 922, 1021, 900]",78.25722036324441,172.2421875,0.0,0.0,0.8653507162550748,0.8359162639827755,0.1652339538596626
P22_K9,IDENTITY_FUSED,IDENTITY_FUSED,IDENTITY,cfc8d28a30991b6c615103679217e7e79f0ef8d867362db5313ba6f884d99fbf,0.4734598936695202,0.602213858047945,0.6015384806324727,0.5499412832680814,9196,9196,9,720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",78.25722036324441,172.2421875,0.0,0.0,0.8644333642726698,0.8349581196715545,0.1661582627863936
P22_K9,T01_BALANCED__L2_LOWPASS,L2_LOWPASS,T01_BALANCED,b451fd447a92da296563c90cf7dda2781c83284b3d03468d8b98ccf1720e8373,0.4750998887525123,0.6040219383077222,0.6033494425359727,0.5513977689948896,9196,9196,9,718,"[772, 910, 786, 718, 1025, 2201, 903, 758, 1123]",718,"[772, 910, 786, 718, 1025, 2201, 903, 758, 1123]",78.25722036324441,172.2421875,0.0,0.0,0.8669623777775326,0.8377599253874541,0.163381386679135
P22_K9,T01_BALANCED__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T01_BALANCED,5496d51f1648aa513b1b4047e3f8418a7fce896eb34e137317594784c4bc07b6,0.4727963110439651,0.6015059754731322,0.6008293775724601,0.5493729798806143,9196,9196,9,720,"[781, 773, 900, 720, 766, 1126, 1018, 920, 2192]",720,"[781, 773, 900, 720, 766, 1126, 1018, 920, 2192]",78.25722036324441,172.2421875,0.0,0.0,0.8649729830858492,0.8355795815827707,0.1655387242633686
P22_K9,T01_BALANCED__PRIVATE_ONLY,PRIVATE_ONLY,T01_BALANCED,cfc8d28a30991b6c615103679217e7e79f0ef8d867362db5313ba6f884d99fbf,0.4734598936695202,0.602213858047945,0.6015384806324727,0.5499412832680814,9196,9196,9,720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",78.25722036324441,172.2421875,0.0,0.0,0.8644333642726698,0.8349581196715545,0.1661582627863936
P22_K9,T01_BALANCED__FULL,FULL,T01_BALANCED,74166d25ed666b2bf15153b17a1e6c5ffc7040414dfa356d44b6b28faba1746e,0.4746409818549179,0.6033074392798201,0.6026337810785347,0.5509898334477099,9196,9196,9,718,"[773, 784, 1126, 2198, 760, 902, 915, 718, 1020]",718,"[773, 784, 1126, 2198, 760, 902, 915, 718, 1020]",78.25722036324441,172.2421875,0.0,0.0,0.8662069114390816,0.8369347437042901,0.1641869402433641
P22_K9,T01_BALANCED__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T01_BALANCED,df5b27102e9f82f4d7a3f7cdf9c06d54679e19258cd23b8684a2956eac77b42c,0.4735711588248158,0.6027351479554033,0.6020606153166908,0.5500479669828406,9196,9196,9,721,"[721, 784, 770, 902, 2195, 767, 1040, 1108, 909]",721,"[721, 784, 770, 902, 2195, 767, 1040, 1108, 909]",78.25722036324441,172.2421875,0.0,0.0,0.8633577241048512,0.833699163990055,0.1674512451484883
P22_K9,T02_MORE_TV__L2_LOWPASS,L2_LOWPASS,T02_MORE_TV,a0a8cbc2e90bf376da52d8ee437147015516cf6a95771ba155d5c2382cfce174,0.4763117855375705,0.6048434653348417,0.6041722821070118,0.5524621549451135,9196,9196,9,720,"[782, 916, 2206, 1013, 773, 752, 909, 1125, 720]",720,"[782, 916, 2206, 1013, 773, 752, 909, 1125, 720]",78.25722036324441,172.2421875,0.0,0.0,0.8676530898590454,0.8382710018517522,0.1628543017953016
P22_K9,T02_MORE_TV__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T02_MORE_TV,11adf516c22c1bdf619838d3eebae923b44b71a329031b40799c1d3a0552bd5f,0.4742469390492294,0.6032869213530937,0.6026131801379959,0.5506613809334961,9196,9196,9,718,"[769, 1123, 2200, 900, 1029, 763, 912, 782, 718]",718,"[769, 1123, 2200, 900, 1029, 763, 912, 782, 718]",78.25722036324441,172.2421875,0.0,0.0,0.8650737119314048,0.8356679894968758,0.1654717383395894
P22_K9,T02_MORE_TV__PRIVATE_ONLY,PRIVATE_ONLY,T02_MORE_TV,cfc8d28a30991b6c615103679217e7e79f0ef8d867362db5313ba6f884d99fbf,0.4734598936695202,0.602213858047945,0.6015384806324727,0.5499412832680814,9196,9196,9,720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",78.25722036324441,172.2421875,0.0,0.0,0.8644333642726698,0.8349581196715545,0.1661582627863936
