lane,alignment,rotation_sha256,orthogonality_error,pre_alignment_frobenius,post_alignment_frobenius,ordered_ids_sha256,carrier_sha256
P22_K9,SAME_SPOT_ORTHOGONAL_PROCRUSTES,10a482f51d4e52ba44ecf5221807d9fc0c105875ba814c52c77296eb605b0945,6.748403098993253e-15,134.44966360207673,121.50137993656574,72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,b86c3cfe2863bf893368840c09cd829d73d82a02c6af1c0e823ebed34654288b
MISAR_K7,SAME_SPOT_ORTHOGONAL_PROCRUSTES,73aaad4bb80f8ba5b4067f648dccfaa8770c1f399db5a2cb00d0d8c5e05359fb,8.820167758525162e-15,61.24294775918608,52.98655013865582,fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,ce87c6d4978dc5a85bdb266ac3fcd6042097f528f6efd263333ec9db46d2b5fc
HUMAN_HIPPOCAMPUS_K7,SAME_SPOT_ORTHOGONAL_PROCRUSTES,1b71e9ca24fbe52b0b58a278982c473b078cea6aa5524fa345a145e29a22d93f,8.89246143656673e-15,71.47003786293718,64.59266646919635,8180a8ea37747d084ad35a628cdf49763ac326393dc52aa08751b40284eb58d8,7f800a383d5c322ec2e8de8333ae0fcf2ef98daa8a4562d2859de4b51494bf0a
