step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,6.772303445601345e-06,6.7552434242010874e-06,0.0019057967152374471,0.0002078965898312381,0.00019947038535423606,0.056274804818037996,0.00020484190581174501,0.002291291498408911,0.6464216812195225,0.00011295366821043651,0.0010470599886145532,0.2953977172472021
1,0.000625,True,True,True,True,6.616229185480205e-06,6.599562328715744e-06,0.002002228952165974,0.00020315234469316825,0.0001949184280245177,0.05913593969758213,0.00018629171564141163,0.0020837954156971263,0.6321988192376725,0.00010904143799296282,0.0010107943250742253,0.30666301211257946
5,0.003125,True,True,True,True,6.058253205856621e-06,6.042991939114768e-06,0.0024328372979357357,0.00018859208515789575,0.00018094830671220506,0.07284765460604847,0.0001270658329016132,0.0014213149477982463,0.5722046383572854,9.445939633795506e-05,0.0008756214474583868,0.35251486973873025
10,0.00625,True,True,True,True,5.475562592738017e-06,5.461769174330099e-06,0.002936176000687004,0.0001769248067891748,0.00016975391187324643,0.09125749297636626,8.544793520931461e-05,0.0009557913783600047,0.5138210014428899,7.865925812782912e-05,0.0007291570360186328,0.39198532958005683
20,0.0125,True,True,True,True,4.601946919765304e-06,4.5903542152202885e-06,0.0035875708610033164,0.0001624731281779931,0.00015588797061885632,0.12183354807757717,5.4856909416245134e-05,0.0006136106265772858,0.47956464810744787,5.452393992926854e-05,0.0005054270199990335,0.3950142329539717
40,0.025,True,True,True,True,3.973157395002195e-06,3.963148665958998e-06,0.004900537377992838,0.00015185404028239267,0.000145699282308166,0.18016098791114216,3.538711968786955e-05,0.0003958282177305592,0.4894519837003161,2.8396080676050385e-05,0.00026322651030660446,0.32548649101054894
80,0.05,True,True,True,True,3.89314319470497e-06,3.883336028391554e-06,0.007111912667493228,0.0001433979614517045,0.0001375859346851367,0.2519738556236675,2.3253834790778136e-05,0.00026010944269617465,0.47636249526717667,1.5583246794357977e-05,0.00014445386740942194,0.2645517364416626
320,0.2,True,True,True,True,5.831206631121041e-06,5.8165173144483126e-06,0.017573125211547705,0.00012172590433110806,0.00011679226226956912,0.3528580656856042,1.1418882298559523e-05,0.00012772771190708808,0.3858967407785746,8.700586851259167e-06,8.065285982963428e-05,0.24367206832427354
800,0.5,True,True,True,True,5.754263497449344e-06,5.739768007222461e-06,0.02641705395920068,8.685788633151264e-05,8.333747115171754e-05,0.3835573963038269,6.793138999850373e-06,7.598572946383277e-05,0.3497212975941618,5.632486853827193e-06,5.221213011030843e-05,0.2403042521428107
1600,1.0,True,True,True,True,8.708428380698419e-06,8.686491092192273e-06,0.07124123992869129,4.7778234065854605e-05,4.5841746458646804e-05,0.37596571775064946,3.4893369560549754e-06,3.903052976787125e-05,0.3201043213221194,3.060673594001883e-06,2.8371888308381395e-05,0.2326887209985399
