step,fraction_of_training,state_sha256,state_file_saved
0,0.0,9a0afeaf662e33c8fa78e0d2e70433e838575f28ba1808277853f38ee8bf523a,False
1,0.005,e79e7d6832c239f1227d3d6ea6d08a3aa44d0c9cf1cc71775ae6b10d0c265e28,False
5,0.025,16d2c582b2c7e42823dd86f15b453c4fe458931037584fed99b1c0c1f55bf30a,False
10,0.05,620666fe115684f6fe9d0b70117207f1928d588b1f877a7439fef0d321ab8115,False
20,0.1,361a700edab1dfb402f466be0410937d0fdc53d62b48a88201b46b47eae7dc77,False
40,0.2,78c22ac3efb23739a4775c5ea8d6ab0fded1809216e2f643e4898f48125ef59f,False
80,0.4,8630ca74b16b8ee3c60b03a77c2f9bc36a58bd92dd9e5782a72ca4aa65bf541f,False
100,0.5,9c7e5423176322f6b2debd831e76bbb04df0d59fea47e0a63b976d275b9a9424,False
200,1.0,8e148fca123079dfbc90083bf18f5c97742f90554c5a99e25f2dfa3628941a1d,True
