lane,evidence,spearman_ari,spearman_nmi,candidate_count,diagnostic_label_reads_after_feature_lock
P22_K9,LEARNED,-0.4959582509094144,-0.5792970762349099,89,1
P22_K9,ZERO,-0.48113368198362805,-0.5650460145715743,89,1
P22_K9,PERMUTED,-0.6312339320943077,-0.6996858693242604,89,1
MISAR_K7,LEARNED,-0.5063804359382152,-0.5473862143985203,89,1
MISAR_K7,ZERO,-0.33970612027329256,-0.3816538454583671,89,1
MISAR_K7,PERMUTED,-0.7426603160349781,-0.7389806855070123,89,1
HUMAN_HIPPOCAMPUS_K7,LEARNED,-0.34182415783146414,-0.35075102718406276,77,1
HUMAN_HIPPOCAMPUS_K7,ZERO,-0.3442440833761523,-0.35148869761266055,77,1
HUMAN_HIPPOCAMPUS_K7,PERMUTED,-0.4152769105162484,-0.40504847994729143,77,1
