scope,config_id,molecular,topology,learned,uncertainty,dual_improvement_count,worst_min_delta,mean_delta_ari,mean_delta_nmi,weight_sum
DIRECT_ALL3,M0.5_T0.5_L2_U1,0.5,0.5,2.0,1.0,0,-0.4606432826519119,-0.24825343674665357,-0.1881654412503301,4.0
DIRECT_ALL3,M0.5_T1_L0.5_U0,0.5,1.0,0.5,0.0,0,-0.17109194117325038,-0.10426450735745603,-0.07056119286631175,2.0
DIRECT_ALL3,M0.5_T1_L0.5_U0.5,0.5,1.0,0.5,0.5,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,2.5
DIRECT_ALL3,M0.5_T1_L0.5_U1,0.5,1.0,0.5,1.0,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,3.0
DIRECT_ALL3,M0.5_T1_L1_U0,0.5,1.0,1.0,0.0,0,-0.17126051530862574,-0.10432069873591449,-0.07057948470723252,2.5
DIRECT_ALL3,M0.5_T1_L1_U0.5,0.5,1.0,1.0,0.5,0,-0.17126051530862574,-0.1021979799335863,-0.0681473004816902,3.0
DIRECT_ALL3,M0.5_T1_L1_U1,0.5,1.0,1.0,1.0,0,-0.4606432826519119,-0.24680610113735515,-0.18176853283261174,3.5
DIRECT_ALL3,M0.5_T1_L2_U0,0.5,1.0,2.0,0.0,0,-0.17102304044932481,-0.10424154044948085,-0.0704194333153297,3.5
DIRECT_ALL3,M0.5_T1_L2_U0.5,0.5,1.0,2.0,0.5,0,-0.17498025306791815,-0.10488522812931551,-0.0773869982155015,4.0
DIRECT_ALL3,M0.5_T1_L2_U1,0.5,1.0,2.0,1.0,0,-0.4606432826519119,-0.24825343674665357,-0.1881654412503301,4.5
DIRECT_ALL3,M0.5_T2_L0.5_U0,0.5,2.0,0.5,0.0,1,-0.030538656799897756,-0.007782754075148279,-0.0024319398720109575,3.0
DIRECT_ALL3,M0.5_T2_L0.5_U0.5,0.5,2.0,0.5,0.5,0,-0.098974557785588,-0.04372677401848307,-0.026157016907166136,3.5
DIRECT_ALL3,M0.5_T2_L0.5_U1,0.5,2.0,0.5,1.0,0,-0.098974557785588,-0.04372677401848307,-0.026157016907166136,4.0
DIRECT_ALL3,M0.5_T2_L1_U0,0.5,2.0,1.0,0.0,0,-0.17141331468347498,-0.10108651448593632,-0.06737521152734849,3.5
DIRECT_ALL3,M0.5_T2_L1_U0.5,0.5,2.0,1.0,0.5,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,4.0
DIRECT_ALL3,M0.5_T2_L1_U1,0.5,2.0,1.0,1.0,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,4.5
DIRECT_ALL3,M0.5_T2_L2_U0,0.5,2.0,2.0,0.0,0,-0.17153643028359716,-0.1044126703942383,-0.07062945649926666,4.5
DIRECT_ALL3,M0.5_T2_L2_U0.5,0.5,2.0,2.0,0.5,0,-0.17126051530862574,-0.1021979799335863,-0.0681473004816902,5.0
DIRECT_ALL3,M0.5_T2_L2_U1,0.5,2.0,2.0,1.0,0,-0.17126051530862574,-0.1021979799335863,-0.0681473004816902,5.5
DIRECT_ALL3,M1_T0.5_L0.5_U0,1.0,0.5,0.5,0.0,0,-0.4606432826519119,-0.2491709717450782,-0.18461449779775665,2.0
DIRECT_ALL3,M1_T0.5_L0.5_U0.5,1.0,0.5,0.5,0.5,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,2.5
DIRECT_ALL3,M1_T0.5_L0.5_U1,1.0,0.5,0.5,1.0,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,3.0
DIRECT_ALL3,M1_T0.5_L1_U0,1.0,0.5,1.0,0.0,0,-0.4606432826519119,-0.2578949509683675,-0.1946267003737198,2.5
DIRECT_ALL3,M1_T0.5_L1_U0.5,1.0,0.5,1.0,0.5,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,3.0
DIRECT_ALL3,M1_T0.5_L1_U1,1.0,0.5,1.0,1.0,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,3.5
DIRECT_ALL3,M1_T0.5_L2_U0,1.0,0.5,2.0,0.0,0,-0.4606432826519119,-0.2578949509683675,-0.1946267003737198,3.5
DIRECT_ALL3,M1_T0.5_L2_U0.5,1.0,0.5,2.0,0.5,0,-0.4606432826519119,-0.2550302893698923,-0.19116137917892503,4.0
DIRECT_ALL3,M1_T0.5_L2_U1,1.0,0.5,2.0,1.0,0,-0.4606432826519119,-0.2508395861098281,-0.18668663037896938,4.5
DIRECT_ALL3,M1_T1_L0.5_U0,1.0,1.0,0.5,0.0,0,-0.17049947224272316,-0.10406701771394695,-0.07013596856468536,2.5
DIRECT_ALL3,M1_T1_L0.5_U0.5,1.0,1.0,0.5,0.5,0,-0.17498025306791815,-0.1034378925200171,-0.07099008979778314,3.0
DIRECT_ALL3,M1_T1_L0.5_U1,1.0,1.0,0.5,1.0,0,-0.4606432826519119,-0.24680610113735515,-0.18176853283261174,3.5
DIRECT_ALL3,M1_T1_L1_U0,1.0,1.0,1.0,0.0,0,-0.17566077028845745,-0.10578745039585839,-0.07161839337147706,3.0
DIRECT_ALL3,M1_T1_L1_U0.5,1.0,1.0,1.0,0.5,0,-0.4606432826519119,-0.24680610113735515,-0.18176853283261174,3.5
DIRECT_ALL3,M1_T1_L1_U1,1.0,1.0,1.0,1.0,0,-0.4606432826519119,-0.24680610113735515,-0.18176853283261174,4.0
DIRECT_ALL3,M1_T1_L2_U0,1.0,1.0,2.0,0.0,0,-0.17566077028845745,-0.10578745039585839,-0.07161839337147706,4.0
DIRECT_ALL3,M1_T1_L2_U0.5,1.0,1.0,2.0,0.5,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,4.5
DIRECT_ALL3,M1_T1_L2_U1,1.0,1.0,2.0,1.0,0,-0.4606432826519119,-0.25031744902621406,-0.1861915414003227,5.0
DIRECT_ALL3,M1_T2_L0.5_U0,1.0,2.0,0.5,0.0,0,-0.17141331468347498,-0.10030884308965358,-0.06103479762177085,3.5
