lane,start_index,start_id,certificate_config_id,full_candidate_id,full_partition_sha256,absolute_ari,absolute_nmi,baseline_ari,baseline_nmi,delta_ari_vs_noop,delta_nmi_vs_noop,dual_gain_vs_noop,dominating_key_controls,byte_exact_key_controls,independent_dual_gain,strictly_beaten_key_controls,strict_independent_dual_gain,trusted_fraction,changed_from_initial,min_cluster_size_full
P22_K9,0,AUTHORITY_STRONG_START,Q80_S3_KEEP0_E1E6,AUTHORITY_STRONG_START__Q80_S3_KEEP0_E1E6__CCSR_FULL,ab704305e897c06975266bf6ed3e347c2ea6ca89cfbda4e92bb9fcc507f34d8d,0.5689654346493288,0.6846155863995468,0.5959576919633218,0.718005775236186,-0.026992257313993018,-0.033390188836639245,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_RANDOM_MASK_COUNT_MATCHED,,False,CCSR_CERTIFICATE_DISABLED,False,0.18464549804262723,423,170
P22_K9,0,AUTHORITY_STRONG_START,Q80_S3_KEEP1_E1E6,AUTHORITY_STRONG_START__Q80_S3_KEEP1_E1E6__CCSR_FULL,d4c838a8483b6d323ffb772fde3c49992075aa3b39bec9394160db489f704abf,0.5928748557187139,0.7131304490275349,0.5959576919633218,0.718005775236186,-0.0030828362446079227,-0.004875326208651165,False,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_RANDOM_MASK_COUNT_MATCHED,NIGHT15F_ORIGINAL_SELF_RETURN,False,CCSR_CERTIFICATE_DISABLED,False,0.18464549804262723,85,168
P22_K9,1,KMEANS_RETAINED_S0,Q50_S2_KEEP0_E1E6,KMEANS_RETAINED_S0__Q50_S2_KEEP0_E1E6__CCSR_FULL,814395340505cbe09481f441a5a93f8c492f73fd206ba257ee36d8447d54eedb,0.5018089959859294,0.631719986158054,0.4783709631885838,0.6071249240502686,0.02343803279734563,0.024595062107785393,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.49847759895606786,1086,689
P22_K9,1,KMEANS_RETAINED_S0,Q50_S2_KEEP1_E1E6,KMEANS_RETAINED_S0__Q50_S2_KEEP1_E1E6__CCSR_FULL,83c18caf3ee0638a4601e62e259f138ee95575d0a9f35168a79bdd4d7357e4fb,0.5120604521051632,0.6415174461486495,0.4783709631885838,0.6071249240502686,0.03368948891657936,0.03439252209838084,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.49847759895606786,914,704
P22_K9,1,KMEANS_RETAINED_S0,Q50_S3_KEEP0_E1E6,KMEANS_RETAINED_S0__Q50_S3_KEEP0_E1E6__CCSR_FULL,818c2961d730b1488d8f27aebd95b760c7cc44df06bd92159d50447ebe1c9072,0.5017285505359285,0.6339354657971956,0.4783709631885838,0.6071249240502686,0.023357587347344666,0.026810541746926986,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.47107438016528924,1111,677
P22_K9,1,KMEANS_RETAINED_S0,Q50_S3_KEEP1_E1E6,KMEANS_RETAINED_S0__Q50_S3_KEEP1_E1E6__CCSR_FULL,b9a97cb7265a945aff886f1f990cdbb12e701c8d6b237eb66365104fe31c6cc0,0.5122162564512976,0.6418722919503884,0.4783709631885838,0.6071249240502686,0.03384529326271385,0.034747367900119785,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.47107438016528924,918,703
P22_K9,1,KMEANS_RETAINED_S0,Q65_S2_KEEP0_E1E6,KMEANS_RETAINED_S0__Q65_S2_KEEP0_E1E6__CCSR_FULL,4a0d0a30cbededbb91a59d5fdcc248800079fc4958f27362a9176d883318d761,0.5016489307802585,0.6353399989760465,0.4783709631885838,0.6071249240502686,0.02327796759167472,0.028215074925777905,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3492822966507177,1123,671
P22_K9,1,KMEANS_RETAINED_S0,Q65_S2_KEEP1_E1E6,KMEANS_RETAINED_S0__Q65_S2_KEEP1_E1E6__CCSR_FULL,9848baa4d6b04597058f6c2acb1ad517a17ff36c6bc6ffbabd134954db522e93,0.512500070929862,0.6422419960207852,0.4783709631885838,0.6071249240502686,0.03412910774127825,0.03511707197051661,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3492822966507177,919,703
P22_K9,1,KMEANS_RETAINED_S0,Q65_S3_KEEP0_E1E6,KMEANS_RETAINED_S0__Q65_S3_KEEP0_E1E6__CCSR_FULL,3465336332ec0072174572c20b52db64e697b732bc3385d48d729c4b42a65017,0.5018251222162488,0.6358381985626138,0.4783709631885838,0.6071249240502686,0.023454159027664956,0.028713274512345177,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3330795998260113,1125,669
P22_K9,1,KMEANS_RETAINED_S0,Q65_S3_KEEP1_E1E6,KMEANS_RETAINED_S0__Q65_S3_KEEP1_E1E6__CCSR_FULL,af4d7c7d0825b357bf49b4bf988ff6dc1ff40616369d98cac32c1cbd0ec59893,0.51264198364018,0.6424089332375644,0.4783709631885838,0.6071249240502686,0.03427102045159619,0.035284009187295795,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3330795998260113,921,702
